製品コード,製品名,購入数量(kg),出荷数量(kg)
PRTR-P001,"溶剤系塗料 白 101",3938,2738
PRTR-P002,"2液ウレタン塗料 主剤 白 102",19626,10892
PRTR-P003,"2液ウレタン塗料 硬化剤 標準 103",6272,3898
PRTR-P004,"エポキシプライマー 赤さび 104",12802,9113
PRTR-P005,"ラッカーシンナー T-100 105",23815,19294
PRTR-P006,"ウレタンシンナー U-10 106",20331,15082
PRTR-P007,"洗浄用シンナー C-90 107",22116,14505
PRTR-P008,"接着剤（溶剤形） G-17 108",22509,19738
PRTR-P009,"接着剤（水性） W-1 109",1009,822
PRTR-P010,"樹脂ワニス V-10 110",2921,1977
PRTR-P011,"防錆油 R-1 111",8929,5659
PRTR-P012,"印刷インキ 墨 112",14522,11291
PRTR-P013,"離型剤 M-1 113",12819,10255
PRTR-P014,"床用コーティング 標準 114",1216,1139
PRTR-P015,"溶剤系塗料 黒 115",22129,19742
PRTR-P016,"2液ウレタン塗料 主剤 黒 116",12868,11728
PRTR-P017,"2液ウレタン塗料 硬化剤 速乾 117",758,618
PRTR-P018,"エポキシプライマー グレー 118",14882,11842
PRTR-P019,"ラッカーシンナー T-200 119",2759,2208
PRTR-P020,"ウレタンシンナー U-20 120",17350,13033
PRTR-P021,"洗浄用シンナー C-50 121",3472,2598
PRTR-P022,"接着剤（溶剤形） G-103 122",11023,6190
PRTR-P023,"接着剤（水性） W-2 123",23614,14218
PRTR-P024,"樹脂ワニス V-20 124",24589,18245
PRTR-P025,"防錆油 R-2 125",5557,4042
PRTR-P026,"印刷インキ 藍 126",1989,1263
PRTR-P027,"離型剤 M-5 127",1999,1161
PRTR-P028,"床用コーティング 重歩行 128",863,539
PRTR-P029,"溶剤系塗料 グレー 129",24302,20702
PRTR-P030,"2液ウレタン塗料 主剤 グレー 130",325,291
PRTR-P031,"2液ウレタン塗料 硬化剤 冬型 131",23615,17774
PRTR-P032,"エポキシプライマー 白 132",5774,5088
PRTR-P033,"ラッカーシンナー T-300 133",11387,7348
PRTR-P034,"ウレタンシンナー U-30 134",161,131
PRTR-P035,"洗浄用シンナー リサイクル 135",8663,5898
PRTR-P036,"接着剤（溶剤形） 速乾 136",18916,17244
PRTR-P037,"接着剤（水性） W-1 137",17365,11018
PRTR-P038,"樹脂ワニス 耐熱 138",9912,6675
PRTR-P039,"防錆油 R-1 139",13955,8634
PRTR-P040,"印刷インキ 紅 140",16897,12297
PRTR-P041,"離型剤 M-1 141",21836,18634
PRTR-P042,"床用コーティング 標準 142",11905,9022
PRTR-P043,"溶剤系塗料 赤さび 143",1657,1285
PRTR-P044,"2液ウレタン塗料 主剤 緑 144",2154,1244
PRTR-P045,"2液ウレタン塗料 硬化剤 標準 145",1518,1020
PRTR-P046,"エポキシプライマー 赤さび 146",23062,18661
PRTR-P047,"ラッカーシンナー 冬用 147",20105,14247
PRTR-P048,"ウレタンシンナー U-10 148",8443,7532
PRTR-P049,"洗浄用シンナー C-90 149",12330,9249
PRTR-P050,"接着剤（溶剤形） G-17 150",7878,5131
PRTR-P051,"接着剤（水性） W-2 151",539,452
PRTR-P052,"樹脂ワニス V-10 152",8367,4680
PRTR-P053,"防錆油 R-2 153",11776,8440
PRTR-P054,"印刷インキ 黄 154",16857,12179
PRTR-P055,"離型剤 M-5 155",15666,13924
PRTR-P056,"床用コーティング 重歩行 156",21497,15494
PRTR-P057,"溶剤系塗料 黄 157",18773,10766
PRTR-P058,"2液ウレタン塗料 主剤 白 158",3077,2879
PRTR-P059,"2液ウレタン塗料 硬化剤 速乾 159",4867,4181
PRTR-P060,"エポキシプライマー グレー 160",127,114
PRTR-P061,"ラッカーシンナー T-100 161",13788,8599
PRTR-P062,"ウレタンシンナー U-20 162",13499,8950
PRTR-P063,"洗浄用シンナー C-50 163",10995,9993
PRTR-P064,"接着剤（溶剤形） G-103 164",15145,9414
PRTR-P065,"接着剤（水性） W-1 165",2256,1638
PRTR-P066,"樹脂ワニス V-20 166",8637,5589
PRTR-P067,"防錆油 R-1 167",8202,4739
PRTR-P068,"印刷インキ 墨 168",20500,13161
PRTR-P069,"離型剤 M-1 169",17347,15165
PRTR-P070,"床用コーティング 標準 170",7223,6033
PRTR-P071,"溶剤系塗料 青 171",17451,16170
PRTR-P072,"2液ウレタン塗料 主剤 黒 172",17303,13649
PRTR-P073,"2液ウレタン塗料 硬化剤 冬型 173",12335,8631
PRTR-P074,"エポキシプライマー 白 174",8504,7994
PRTR-P075,"ラッカーシンナー T-200 175",12096,9712
PRTR-P076,"ウレタンシンナー U-30 176",20443,12519
PRTR-P077,"洗浄用シンナー リサイクル 177",15753,11057
PRTR-P078,"接着剤（溶剤形） 速乾 178",15615,14431
PRTR-P079,"接着剤（水性） W-2 179",11620,9681
PRTR-P080,"樹脂ワニス 耐熱 180",1878,1367
PRTR-P081,"防錆油 R-2 181",1989,1593
PRTR-P082,"印刷インキ 藍 182",10750,6568
PRTR-P083,"離型剤 M-5 183",15208,11235
PRTR-P084,"床用コーティング 重歩行 184",9639,8562
PRTR-P085,"溶剤系塗料 白 185",24678,15232
PRTR-P086,"2液ウレタン塗料 主剤 グレー 186",6525,5347
PRTR-P087,"2液ウレタン塗料 硬化剤 標準 187",23955,18630
PRTR-P088,"エポキシプライマー 赤さび 188",14717,11493
PRTR-P089,"ラッカーシンナー T-300 189",15767,10648
PRTR-P090,"ウレタンシンナー U-10 190",24252,19989
PRTR-P091,"洗浄用シンナー C-90 191",2425,2208
PRTR-P092,"接着剤（溶剤形） G-17 192",8292,6232
PRTR-P093,"接着剤（水性） W-1 193",21532,20081
PRTR-P094,"樹脂ワニス V-10 194",24020,22603
PRTR-P095,"防錆油 R-1 195",3491,3117
PRTR-P096,"印刷インキ 紅 196",1008,858
PRTR-P097,"離型剤 M-1 197",4753,3010
PRTR-P098,"床用コーティング 標準 198",10480,6671
PRTR-P099,"溶剤系塗料 黒 199",8609,7658
PRTR-P100,"2液ウレタン塗料 主剤 緑 200",23799,14472
