伝票番号,出荷数量,製品コード,購入数量,製品名,備考
DN-2025000,2738,PRTR-P001,3938,"溶剤系塗料 白 101",月次まとめ
DN-2025001,10892,PRTR-P002,19626,"2液ウレタン塗料 主剤 白 102",
DN-2025002,3898,PRTR-P003,6272,"2液ウレタン塗料 硬化剤 標準 103",
DN-2025003,9113,PRTR-P004,12802,"エポキシプライマー 赤さび 104",
DN-2025004,19294,PRTR-P005,23815,"ラッカーシンナー T-100 105",
DN-2025005,15082,PRTR-P006,20331,"ウレタンシンナー U-10 106",
DN-2025006,14505,PRTR-P007,22116,"洗浄用シンナー C-90 107",
DN-2025007,19738,PRTR-P008,22509,"接着剤（溶剤形） G-17 108",月次まとめ
DN-2025008,822,PRTR-P009,1009,"接着剤（水性） W-1 109",
DN-2025009,1977,PRTR-P010,2921,"樹脂ワニス V-10 110",
DN-2025010,5659,PRTR-P011,8929,"防錆油 R-1 111",
DN-2025011,11291,PRTR-P012,14522,"印刷インキ 墨 112",
DN-2025012,10255,PRTR-P013,12819,"離型剤 M-1 113",
DN-2025013,1139,PRTR-P014,1216,"床用コーティング 標準 114",
DN-2025014,19742,PRTR-P015,22129,"溶剤系塗料 黒 115",月次まとめ
DN-2025015,11728,PRTR-P016,12868,"2液ウレタン塗料 主剤 黒 116",
DN-2025016,618,PRTR-P017,758,"2液ウレタン塗料 硬化剤 速乾 117",
DN-2025017,11842,PRTR-P018,14882,"エポキシプライマー グレー 118",
DN-2025018,2208,PRTR-P019,2759,"ラッカーシンナー T-200 119",
DN-2025019,13033,PRTR-P020,17350,"ウレタンシンナー U-20 120",
DN-2025020,2598,PRTR-P021,3472,"洗浄用シンナー C-50 121",
DN-2025021,6190,PRTR-P022,11023,"接着剤（溶剤形） G-103 122",月次まとめ
DN-2025022,14218,PRTR-P023,23614,"接着剤（水性） W-2 123",
DN-2025023,18245,PRTR-P024,24589,"樹脂ワニス V-20 124",
DN-2025024,4042,PRTR-P025,5557,"防錆油 R-2 125",
DN-2025025,1263,PRTR-P026,1989,"印刷インキ 藍 126",
DN-2025026,1161,PRTR-P027,1999,"離型剤 M-5 127",
DN-2025027,539,PRTR-P028,863,"床用コーティング 重歩行 128",
DN-2025028,20702,PRTR-P029,24302,"溶剤系塗料 グレー 129",月次まとめ
DN-2025029,291,PRTR-P030,325,"2液ウレタン塗料 主剤 グレー 130",
DN-2025030,17774,PRTR-P031,23615,"2液ウレタン塗料 硬化剤 冬型 131",
DN-2025031,5088,PRTR-P032,5774,"エポキシプライマー 白 132",
DN-2025032,7348,PRTR-P033,11387,"ラッカーシンナー T-300 133",
DN-2025033,131,PRTR-P034,161,"ウレタンシンナー U-30 134",
DN-2025034,5898,PRTR-P035,8663,"洗浄用シンナー リサイクル 135",
DN-2025035,17244,PRTR-P036,18916,"接着剤（溶剤形） 速乾 136",月次まとめ
DN-2025036,11018,PRTR-P037,17365,"接着剤（水性） W-1 137",
DN-2025037,6675,PRTR-P038,9912,"樹脂ワニス 耐熱 138",
