製品コード	製品名	購入数量(kg)
PRTR-P001	溶剤系塗料 白 101	3938
PRTR-P002	2液ウレタン塗料 主剤 白 102	19626
PRTR-P003	2液ウレタン塗料 硬化剤 標準 103	6272
PRTR-P004	エポキシプライマー 赤さび 104	12802
PRTR-P005	ラッカーシンナー T-100 105	23815
PRTR-P006	ウレタンシンナー U-10 106	20331
PRTR-P007	洗浄用シンナー C-90 107	22116
PRTR-P008	接着剤（溶剤形） G-17 108	22509
PRTR-P009	接着剤（水性） W-1 109	1009
PRTR-P010	樹脂ワニス V-10 110	2921
PRTR-P011	防錆油 R-1 111	8929
PRTR-P012	印刷インキ 墨 112	14522
PRTR-P013	離型剤 M-1 113	12819
PRTR-P014	床用コーティング 標準 114	1216
PRTR-P015	溶剤系塗料 黒 115	22129
PRTR-P016	2液ウレタン塗料 主剤 黒 116	12868
PRTR-P017	2液ウレタン塗料 硬化剤 速乾 117	758
PRTR-P018	エポキシプライマー グレー 118	14882
PRTR-P019	ラッカーシンナー T-200 119	2759
PRTR-P020	ウレタンシンナー U-20 120	17350
PRTR-P021	洗浄用シンナー C-50 121	3472
PRTR-P022	接着剤（溶剤形） G-103 122	11023
PRTR-P023	接着剤（水性） W-2 123	23614
PRTR-P024	樹脂ワニス V-20 124	24589
PRTR-P025	防錆油 R-2 125	5557
PRTR-P026	印刷インキ 藍 126	1989
PRTR-P027	離型剤 M-5 127	1999
PRTR-P028	床用コーティング 重歩行 128	863
PRTR-P029	溶剤系塗料 グレー 129	24302
PRTR-P030	2液ウレタン塗料 主剤 グレー 130	325
PRTR-P031	2液ウレタン塗料 硬化剤 冬型 131	23615
PRTR-P032	エポキシプライマー 白 132	5774
PRTR-P033	ラッカーシンナー T-300 133	11387
PRTR-P034	ウレタンシンナー U-30 134	161
PRTR-P035	洗浄用シンナー リサイクル 135	8663
PRTR-P036	接着剤（溶剤形） 速乾 136	18916
PRTR-P037	接着剤（水性） W-1 137	17365
PRTR-P038	樹脂ワニス 耐熱 138	9912
PRTR-P039	防錆油 R-1 139	13955
PRTR-P040	印刷インキ 紅 140	16897
PRTR-P041	離型剤 M-1 141	21836
PRTR-P042	床用コーティング 標準 142	11905
PRTR-P043	溶剤系塗料 赤さび 143	1657
PRTR-P044	2液ウレタン塗料 主剤 緑 144	2154
PRTR-P045	2液ウレタン塗料 硬化剤 標準 145	1518
PRTR-P046	エポキシプライマー 赤さび 146	23062
PRTR-P047	ラッカーシンナー 冬用 147	20105
PRTR-P048	ウレタンシンナー U-10 148	8443
PRTR-P049	洗浄用シンナー C-90 149	12330
PRTR-P050	接着剤（溶剤形） G-17 150	7878
PRTR-P051	接着剤（水性） W-2 151	539
PRTR-P052	樹脂ワニス V-10 152	8367
PRTR-P053	防錆油 R-2 153	11776
PRTR-P054	印刷インキ 黄 154	16857
PRTR-P055	離型剤 M-5 155	15666
PRTR-P056	床用コーティング 重歩行 156	21497
PRTR-P057	溶剤系塗料 黄 157	18773
PRTR-P058	2液ウレタン塗料 主剤 白 158	3077
PRTR-P059	2液ウレタン塗料 硬化剤 速乾 159	4867
PRTR-P060	エポキシプライマー グレー 160	127
PRTR-P061	ラッカーシンナー T-100 161	13788
PRTR-P062	ウレタンシンナー U-20 162	13499
PRTR-P063	洗浄用シンナー C-50 163	10995
PRTR-P064	接着剤（溶剤形） G-103 164	15145
PRTR-P065	接着剤（水性） W-1 165	2256
PRTR-P066	樹脂ワニス V-20 166	8637
PRTR-P067	防錆油 R-1 167	8202
PRTR-P068	印刷インキ 墨 168	20500
PRTR-P069	離型剤 M-1 169	17347
PRTR-P070	床用コーティング 標準 170	7223
PRTR-P071	溶剤系塗料 青 171	17451
PRTR-P072	2液ウレタン塗料 主剤 黒 172	17303
PRTR-P073	2液ウレタン塗料 硬化剤 冬型 173	12335
PRTR-P074	エポキシプライマー 白 174	8504
PRTR-P075	ラッカーシンナー T-200 175	12096
PRTR-P076	ウレタンシンナー U-30 176	20443
PRTR-P077	洗浄用シンナー リサイクル 177	15753
PRTR-P078	接着剤（溶剤形） 速乾 178	15615
PRTR-P079	接着剤（水性） W-2 179	11620
PRTR-P080	樹脂ワニス 耐熱 180	1878
PRTR-P081	防錆油 R-2 181	1989
PRTR-P082	印刷インキ 藍 182	10750
PRTR-P083	離型剤 M-5 183	15208
PRTR-P084	床用コーティング 重歩行 184	9639
PRTR-P085	溶剤系塗料 白 185	24678
PRTR-P086	2液ウレタン塗料 主剤 グレー 186	6525
PRTR-P087	2液ウレタン塗料 硬化剤 標準 187	23955
PRTR-P088	エポキシプライマー 赤さび 188	14717
PRTR-P089	ラッカーシンナー T-300 189	15767
PRTR-P090	ウレタンシンナー U-10 190	24252
PRTR-P091	洗浄用シンナー C-90 191	2425
PRTR-P092	接着剤（溶剤形） G-17 192	8292
PRTR-P093	接着剤（水性） W-1 193	21532
PRTR-P094	樹脂ワニス V-10 194	24020
PRTR-P095	防錆油 R-1 195	3491
PRTR-P096	印刷インキ 紅 196	1008
PRTR-P097	離型剤 M-1 197	4753
PRTR-P098	床用コーティング 標準 198	10480
PRTR-P099	溶剤系塗料 黒 199	8609
PRTR-P100	2液ウレタン塗料 主剤 緑 200	23799
PRTR-P101	2液ウレタン塗料 硬化剤 速乾 201	9208
PRTR-P102	エポキシプライマー グレー 202	15786
PRTR-P103	ラッカーシンナー 冬用 203	5999
PRTR-P104	ウレタンシンナー U-20 204	5869
PRTR-P105	洗浄用シンナー C-50 205	14713
PRTR-P106	接着剤（溶剤形） G-103 206	9458
PRTR-P107	接着剤（水性） W-2 207	8197
PRTR-P108	樹脂ワニス V-20 208	2550
PRTR-P109	防錆油 R-2 209	5204
PRTR-P110	印刷インキ 黄 210	8833
PRTR-P111	離型剤 M-5 211	8942
PRTR-P112	床用コーティング 重歩行 212	1750
PRTR-P113	溶剤系塗料 グレー 213	1052
PRTR-P114	2液ウレタン塗料 主剤 白 214	16915
PRTR-P115	2液ウレタン塗料 硬化剤 冬型 215	3835
PRTR-P116	エポキシプライマー 白 216	5641
PRTR-P117	ラッカーシンナー T-100 217	5854
PRTR-P118	ウレタンシンナー U-30 218	11539
PRTR-P119	洗浄用シンナー リサイクル 219	24986
PRTR-P120	接着剤（溶剤形） 速乾 220	14380
CP-CLN-R	洗浄用リサイクルシンナー C-90	16974
CP-EP50H	エポキシプライマー 硬化剤 EP-50H	10725
CP-EP50K	エポキシプライマー セット EP-50 (3:1)	15493
CP-EP50R	エポキシプライマー 赤さび 主剤 EP-50R	11386
CP-PU100H	2液ウレタン塗料 硬化剤 PU-100H	325
CP-PU100K	2液ウレタン塗料 白 セット PU-100 (4:1)	15199
