コード	前	後
JP-PRTR-C1-2	亜鉛＝ビス（二―メチルプロパ―二―エノアート）	亜鉛＝ビス（２－メチルプロパ－２－エノアート）
JP-PRTR-C1-5	アクリル酸二―エチルヘキシル	アクリル酸２－エチルヘキシル
JP-PRTR-C1-7	アクリル酸二―（ジメチルアミノ）エチル	アクリル酸２－（ジメチルアミノ）エチル
JP-PRTR-C1-13	アジピン酸、（Ｎ―（二―アミノエチル）エタン―一・二―ジアミン又はＮ・Ｎ′―ビス（二―アミノエチル）エタン―一・二―ジアミン）と二―（クロロメチル）オキシランの重縮合物	アジピン酸、（Ｎ－（２－アミノエチル）エタン－１，２－ジアミン又はＮ，Ｎ’－ビス（２－アミノエチル）エタン－１，２－ジアミン）と２－（クロロメチル）オキシランの重縮合物
JP-PRTR-C1-14	アジピン酸ジ―二―エチルヘキシル	アジピン酸ジ－２－エチルヘキシル
JP-PRTR-C1-16	一―アセチル―一・二・三・四―テトラヒドロ―三―［（三―ピリジルメチル）アミノ］―六―［一・二・二・二―テトラフルオロ―一―（トリフルオロメチル）エチル］キナゾリン―二―オン（別名ピリフルキナゾン）	１－アセチル－１，２，３，４－テトラヒドロ－３－［（３－ピリジルメチル）アミノ］－６－［１．２．２．２－テトラフルオロ－１－（トリフルオロメチル）エチル］キナゾリン－２－オン（別名ピリフルキナゾン）
JP-PRTR-C1-21	二―アミノエタノール	２－アミノエタノール
JP-PRTR-C1-22	五―アミノ―四―クロロ―二―フェニルピリダジン―三（二Ｈ）―オン（別名クロリダゾン）	５－アミノ－４－クロロ－２－フェニルピリダジン－３（２Ｈ）－オン（別名クロリダゾン）
JP-PRTR-C1-23	五―アミノ―一―［二・六―ジクロロ―四―（トリフルオロメチル）フェニル］―三―シアノ―四―［（トリフルオロメチル）スルフィニル］ピラゾール（別名フィプロニル）	５－アミノ－１－［２．６－ジクロロ－４－（トリフルオロメチル）フェニル］－３－シアノ－４－［（トリフルオロメチル）スルフィニル］ピラゾール（別名フィプロニル）
JP-PRTR-C1-24	オルト―アミノフェノール	オルト－アミノフェノール
JP-PRTR-C1-25	パラ―アミノフェノール	パラ－アミノフェノール
JP-PRTR-C1-26	四―アミノ―六―ターシャリ―ブチル―三―メチルチオ―一・二・四―トリアジン―五（四Ｈ）―オン（別名メトリブジン）	４－アミノ－６－ターシャリ－ブチル－３－メチルチオ－１，２，４－トリアジン－５（４Ｈ）－オン（別名メトリブジン）
JP-PRTR-C1-27	四―アミノ―三―メチル―六―フェニル―一・二・四―トリアジン―五（四Ｈ）―オン（別名メタミトロン）	４－アミノ－３－メチル－６－フェニル－１，２，４－トリアジン－５（４Ｈ）－オン（別名メタミトロン）
JP-PRTR-C1-29	一―アリルオキシ―二・三―エポキシプロパン	１－アリルオキシ－２，３－エポキシプロパン
JP-PRTR-C1-30	三―アリルオキシ―一・二―ベンゾイソチアゾール―一・一―ジオキシド（別名プロベナゾール）	３－アリルオキシ－１，２－ベンゾイソチアゾール－１，１－ジオキシド（別名プロベナゾール）
JP-PRTR-C1-31	四―アリル―一・二―ジメトキシベンゼン	４－アリル－１，２－ジメトキシベンゼン
JP-PRTR-C1-34	アルカノール（炭素数が十のものに限る。）（別名デカノール）	アルカノール（炭素数が１０のものに限る。）（別名デカノール）
JP-PRTR-C1-35	［（三―アルカンアミドプロピル）（ジメチル）アンモニオ］アセタート（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が八、十、十二、十四、十六又は十八のもの及びその混合物に限る。）及び（Ｚ）―［［三―（オクタデカ―九―エンアミド）プロピル］（ジメチル）アンモニオ］アセタート並びにこれらの混合物	［（３－アルカンアミドプロピル）（ジメチル）アンモニオ］アセタート（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が８、１０、１２、１４、１６又は１８のもの及びその混合物に限る。）及び（Ｚ）－［［３－（オクタデカ－９－エンアミド）プロピル］（ジメチル）アンモニオ］アセタート並びにこれらの混合物
JP-PRTR-C1-36	（三―アルカンアミドプロピル）（メチル）［二―（アルカノイルオキシ）エチル］アンモニウム＝クロリド（アルカン及びアルカノイルの構造が直鎖であり、かつ、当該アルカン及び当該アルカノイルのそれぞれの炭素数が十四、十六又は十八のもの及びその混合物に限る。）	（３－アルカンアミドプロピル）（メチル）［２－（アルカノイルオキシ）エチル］アンモニウム＝クロリド（アルカン及びアルカノイルの構造が直鎖であり、かつ、当該アルカン及び当該アルカノイルのそれぞれの炭素数が１４、１６又は１８のもの及びその混合物に限る。）
JP-PRTR-C1-37	アルカン―一―アミン（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が八、十、十二、十四、十六又は十八のもの及びその混合物に限る。）、（Ｚ）―オクタデカ―九―エン―一―アミン及び（九Ｚ・一二Ｚ）―オクタデカ―九・一二―ジエン―一―アミン並びにこれらの混合物	アルカン－１－アミン（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が８、１０、１２、１４、１６又は１８のもの及びその混合物に限る。）、（Ｚ）－オクタデカ－９－エン－１－アミン及び（９Ｚ，１２Ｚ）－オクタデカ－９，１２－ジエン－１－アミン並びにこれらの混合物
JP-PRTR-C1-38	アルカン―一―アミン（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が八、十、十二、十四、十六又は十八のもの及びその混合物に限る。）のオキシラン重付加物、（Ｚ）―オクタデカ―九―エン―一―アミンのオキシラン重付加物及び（九Ｚ・一二Ｚ）―オクタデカ―九・一二―ジエン―一―アミンのオキシラン重付加物の混合物	アルカン－１－アミン（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が８、１０、１２、１４、１６又は１８のもの及びその混合物に限る。）のオキシラン重付加物、（Ｚ）－オクタデカ－９－エン－１－アミンのオキシラン重付加物及び（９Ｚ，１２Ｚ）－オクタデカ－９，１２－ジエン－１－アミンのオキシラン重付加物の混合物
JP-PRTR-C1-39	アルファ―アルキル―オメガ―ヒドロキシポリ（オキシエタン―一・二―ジイル）（アルキル基の炭素数が十六から十八までのもの及びその混合物であって、数平均分子量が千未満のものに限る。）及びアルファ―アルケニル―オメガ―ヒドロキシポリ（オキシエタン―一・二―ジイル）（アルケニル基の炭素数が十六から十八までのもの及びその混合物であって、数平均分子量が千未満のものに限る。）並びにこれらの混合物	アルファ－アルキル－オメガ－ヒドロキシポリ（オキシエタン－１，２－ジイル）（アルキル基の炭素数が１６から１８までのもの及びその混合物であって、数平均分子量が千未満のものに限る。）及びアルファ－アルケニル－オメガ－ヒドロキシポリ（オキシエタン－１，２－ジイル）（アルケニル基の炭素数が１６から１８までのもの及びその混合物であって、数平均分子量が千未満のものに限る。）並びにこれらの混合物
JP-PRTR-C1-40	アルファ―アルキル―オメガ―ヒドロキシポリ［オキシエタン―一・二―ジイル／オキシ（メチルエタン―一・二―ジイル）］（アルキル基の構造が分枝であり、かつ、当該アルキル基の炭素数が九から十一までのものの混合物（当該アルキル基の炭素数が十のものを主成分とするものに限る。）に限る。）	アルファ－アルキル－オメガ－ヒドロキシポリ［オキシエタン－１．２－ジイル／オキシ（メチルエタン－１，２－ジイル）］（アルキル基の構造が分枝であり、かつ、当該アルキル基の炭素数が９から１１までのものの混合物（当該アルキル基の炭素数が１０のものを主成分とするものに限る。）に限る。）
JP-PRTR-C1-41	アルファ―アルキル―オメガ―ヒドロキシポリ（オキシエチレン）（アルキル基の炭素数が九から十一までのもの及びその混合物であって、数平均分子量が千未満のものに限る。）	アルファ－アルキル－オメガ－ヒドロキシポリ（オキシエチレン）（アルキル基の炭素数が９から１１までのもの及びその混合物であって、数平均分子量が千未満のものに限る。）
JP-PRTR-C1-42	アルキルフェノール（アルキル基の炭素数が九のものに限る。）	アルキルフェノール（アルキル基の炭素数が９のものに限る。）
JP-PRTR-C1-43	パラ―アルキルフェノール（アルキル基の炭素数が八のものに限る。）	パラ－アルキルフェノール（アルキル基の炭素数が８のものに限る。）
JP-PRTR-C1-44	アルキル（ベンジル）（ジメチル）アンモニウムの塩（アルキル基の炭素数が十二から十六までのもの及びその混合物に限る。）	アルキル（ベンジル）（ジメチル）アンモニウムの塩（アルキル基の炭素数が１２から１６までのもの及びその混合物に限る。）
JP-PRTR-C1-45	直鎖アルキルベンゼンスルホン酸及びその塩（アルキル基の炭素数が十から十四までのもの及びその混合物に限る。）	直鎖アルキルベンゼンスルホン酸及びその塩（アルキル基の炭素数が１０から１４までのもの及びその混合物に限る。）
JP-PRTR-C1-50	アントラセン―九・一〇―ジオン（別名アントラキノン）	アントラセン－９，１０－ジオン（別名アントラキノン）
JP-PRTR-C1-52	アルファ―（イソシアナトベンジル）―オメガ―（イソシアナトフェニル）ポリ［（イソシアナトフェニレン）メチレン］	アルファ－（イソシアナトベンジル）－オメガ－（イソシアナトフェニル）ポリ［（イソシアナトフェニレン）メチレン］
JP-PRTR-C1-53	三―イソシアナトメチル―三・五・五―トリメチルシクロヘキシル＝イソシアネート	３－イソシアナトメチル－３，５，５－トリメチルシクロヘキシル＝イソシアネート
JP-PRTR-C1-55	四・四′―イソプロピリデンジフェノール（別名ビスフェノールＡ）	４，４’－イソプロピリデンジフェノール（別名ビスフェノールＡ）
JP-PRTR-C1-56	イソプロピル＝三―クロロカルバニラート（別名クロルプロファム又はＩＰＣ）	イソプロピル＝３－クロロカルバニラート（別名クロルプロファム又はＩＰＣ）
JP-PRTR-C1-57	三―（四―イソプロピルフェニル）―二―メチルプロパナール	３－（４－イソプロピルフェニル）－２－メチルプロパナール
JP-PRTR-C1-58	四―イソプロピル―三―メチルフェノール	４－イソプロピル－３－メチルフェノール
JP-PRTR-C1-59	イソプロピル＝二―（四―メトキシビフェニル―三―イル）ヒドラジノホルマート（別名ビフェナゼート）	イソプロピル＝２－（４－メトキシビフェニル－３－イル）ヒドラジノホルマート（別名ビフェナゼート）
JP-PRTR-C1-60	三′―イソプロポキシ―二―トリフルオロメチルベンズアニリド（別名フルトラニル）	３’－イソプロポキシ－２－トリフルオロメチルベンズアニリド（別名フルトラニル）
JP-PRTR-C1-61	一・一′―（イミノジオクタメチレン）ジグアニジン＝トリアセタート（別名イミノクタジン酢酸塩）	１，１’－（イミノジオクタメチレン）ジグアニジン＝トリアセタート（別名イミノクタジン酢酸塩）
JP-PRTR-C1-64	エチル＝二―［四―（六―クロロ―二―キノキサリニルオキシ）フェノキシ］プロピオナート（別名キザロホップエチル）	エチル＝２－［４－（６－クロロ－２－キノキサリニルオキシ）フェノキシ］プロピオナート（別名キザロホップエチル）
JP-PRTR-C1-66	五―エチル―五・八―ジヒドロ―八―オキソ―［一・三］ジオキソロ［四・五―ｇ］キノリン―七―カルボン酸（別名オキソリニック酸）	５－エチル－５，８－ジヒドロ－８－オキソ－［１．３］ジオキソロ［４，５－ｇ］キノリン－７－カルボン酸（別名オキソリニック酸）
JP-PRTR-C1-67	Ｎ―エチル―Ｎ・Ｎ―ジメチルテトラデカン―一―アミニウムの塩	Ｎ－エチル－Ｎ，Ｎ－ジメチルテトラデカン－１－アミニウムの塩
JP-PRTR-C1-68	Ｏ―エチル＝Ｏ―（六―ニトロ―メタ―トリル）＝セカンダリ―ブチルホスホルアミドチオアート（別名ブタミホス）	Ｏ－エチル＝Ｏ－（６－ニトロ－メタ－トリル）＝セカンダリ－ブチルホスホルアミドチオアート（別名ブタミホス）
JP-PRTR-C1-69	Ｏ―エチル＝Ｏ―四―ニトロフェニル＝フェニルホスホノチオアート（別名ＥＰＮ）	Ｏ－エチル＝Ｏ－４－ニトロフェニル＝フェニルホスホノチオアート（別名ＥＰＮ）
JP-PRTR-C1-70	Ｎ―（一―エチルプロピル）―二・六―ジニトロ―三・四―キシリジン（別名ペンディメタリン）	Ｎ－（１－エチルプロピル）－２，６－ジニトロ－３，４－キシリジン（別名ペンディメタリン）
