CAS	換算先	分子式からの値	リストの値	差
13464-28-3	Hg	75.433	24.000	51.433
12052-62-9	Co	66.540	22.200	44.340
74434-12-1	B	47.369	91.500	44.131
130917-47-4	Cd	26.883	69.200	42.317
80146-60-7	B	47.369	89.000	41.631
12228-91-0	Mn	67.205	26.100	41.105
130917-47-4	As	71.671	30.800	40.871
80146-62-9	B	47.369	87.100	39.731
12017-86-6	Cr	14.556	48.100	33.544
12536-52-6	Be	45.465	76.900	31.435
14690-59-6	Co	26.914	54.300	27.386
12351-29-0	Mo	36.354	63.100	26.746
12351-17-6	Mo	36.354	63.100	26.746
12253-13-3	Mn	67.063	40.400	26.663
14293-78-8	V	48.041	21.900	26.141
21480-65-9	As	41.997	67.300	25.303
10099-79-3	Pb	75.582	51.200	24.382
52502-12-2	Ni	46.717	22.900	23.817
189279-89-8	Co	25.730	49.500	23.770
14986-94-8	Mn	45.076	21.700	23.376
1029364-19-9	Mn	45.076	21.700	23.376
56451-33-3	Mn	45.076	21.700	23.376
13517-26-5	V	56.646	33.300	23.346
12034-88-7	Pb	65.548	42.400	23.148
1421258-73-2	Pb	65.548	42.400	23.148
1344-36-1	Pb	79.521	57.500	22.021
13464-39-6	As	48.470	26.700	21.770
73912-43-3	V	31.274	9.900	21.374
16210-51-8	Sb	68.847	47.600	21.247
12346-31-5	Sb	68.847	47.600	21.247
14104-34-8	Sb	68.847	47.600	21.247
15060-59-0	V	68.951	48.100	20.851
29871-13-4	As	52.784	32.000	20.784
14638-93-8	V	48.041	27.500	20.541
91724-16-2	As	29.456	49.710	20.254
10294-50-5	Co	14.650	34.610	19.960
13566-05-7	V	33.425	13.700	19.725
14640-56-3	Co	39.841	20.200	19.641
1240283-18-4	Co	39.841	20.200	19.641
960114-05-0	Co	39.841	20.200	19.641
12007-90-8	B	6.139	24.400	18.261
163751-29-9	B	6.139	24.400	18.261
358718-17-9	B	6.139	24.400	18.261
727708-58-9	B	6.139	24.400	18.261
950582-63-5	B	6.139	24.400	18.261
15124-04-6	V	29.141	11.600	17.541
7785-24-2	Co	21.453	38.900	17.447
27546-07-2	Mo	73.815	56.400	17.415
167614-27-9	Mo	73.815	56.400	17.415
54684-84-3	Mo	73.815	56.400	17.415
57126-31-5	Mo	73.815	56.400	17.415
12005-88-8	As	57.294	40.100	17.194
10049-16-8	V	57.278	40.100	17.178
16842-03-8	Co	34.267	17.100	17.167
12254-85-2	Cr	40.968	58.100	17.132
12254-85-2	As	59.032	41.900	17.132
1416052-38-4	Hg	56.163	39.200	16.963
172906-39-7	Hg	56.163	39.200	16.963
139116-12-4	Hg	56.163	39.200	16.963
145757-52-4	Hg	56.163	39.200	16.963
1356399-46-6	Hg	56.163	39.200	16.963
130973-93-2	Hg	56.163	39.200	16.963
136969-76-1	Hg	56.163	39.200	16.963
107296-30-0	Hg	56.163	39.200	16.963
92421-68-6	Hg	56.163	39.200	16.963
59-85-8	Hg	56.163	39.200	16.963
75344-65-9	Hg	56.163	39.200	16.963
792952-75-1	Hg	56.163	39.200	16.963
77329-67-0	Hg	56.163	39.200	16.963
856770-63-3	Hg	56.163	39.200	16.963
12292-07-8	Cd	36.336	19.700	16.636
12214-12-9	Cd	50.309	66.900	16.591
13986-24-8	Zn	24.077	40.500	16.423
12141-20-7	Pb	68.343	84.700	16.357
14998-37-9	Ni	49.428	33.200	16.228
14105-09-0	Pb	54.752	70.800	16.048
12214-13-0	Co	29.607	13.600	16.007
25215-19-4	Co	22.231	38.000	15.769
39466-73-4	Sb	47.800	63.200	15.400
58814-38-3	Sb	47.800	63.200	15.400
1344-40-7	Pb	68.343	83.710	15.367
15123-80-5	Mo	69.063	53.900	15.163
10103-62-5	As	52.784	37.640	15.144
13597-61-0	V	33.425	18.300	15.125
22465-18-5	Cd	46.978	31.880	15.098
12017-68-4	Co	28.158	13.200	14.958
12607-70-4	Ni	43.249	57.900	14.651
12033-07-7	Mn	79.684	94.000	14.316
63990-88-5	Be	11.407	25.000	13.593
13986-18-0	Zn	50.686	37.300	13.386
68130-18-7	V	28.472	41.700	13.228
13940-83-5	Ni	47.990	34.800	13.190
10101-91-4	Sb	25.308	38.200	12.892
101062-40-2	Mo	38.491	25.700	12.791
12322-85-9	B	23.572	11.300	12.272
12044-20-1	As	42.662	30.500	12.162
13465-31-1	Hg	73.935	61.800	12.135
12068-61-0	Ni	16.105	28.100	11.995
39416-30-3	V	24.938	13.100	11.838
55343-67-4	V	25.490	13.700	11.790
63989-69-5	As	26.303	37.880	11.577
1428856-88-5	Pb	84.163	72.700	11.463
14986-95-9	Mn	45.076	33.900	11.176
52089-06-2	Mn	45.076	33.900	11.176
13464-36-3	As	40.315	29.240	11.075
10031-37-5	Cr	15.558	26.500	10.942
14013-56-0	Se	45.662	56.410	10.748
10102-36-0	Mn	28.034	38.700	10.666
10048-95-0	As	34.505	24.000	10.505
4464-23-7	Cd	55.526	65.950	10.424
12068-61-0	As	82.235	71.900	10.335
14986-95-9	V	41.797	31.500	10.297
52089-06-2	V	41.797	31.500	10.297
20471-73-2	In	41.720	51.900	10.180
39430-27-8	Ni	36.655	46.810	10.155
10290-12-7	As	29.847	40.000	10.153
12006-40-5	As	53.401	43.300	10.101
12056-07-4	In	59.249	49.200	10.049
1315-03-3	V	61.374	51.400	9.974
6059-24-1	Ni	21.833	31.800	9.967
7782-76-5	Mn	26.543	36.400	9.857
12007-02-2	Ni	84.447	94.200	9.753
12006-78-9	Co	84.500	94.200	9.700
13780-18-2	Se	46.711	56.410	9.699
154855-73-9	B	17.320	27.000	9.680
97812-63-0	V	31.274	21.700	9.574
69292-92-8	Co	22.467	13.000	9.467
13470-04-7	Mo	48.079	38.800	9.279
1359821-13-8	Mo	48.079	38.800	9.279
1310534-87-2	Mo	48.079	38.800	9.279
12006-15-4	Cd	60.006	69.200	9.194
12006-15-4	As	39.994	30.800	9.194
856616-83-6	Se	47.275	56.410	9.135
13464-42-1	As	51.453	42.400	9.053
10534-86-8	Co	25.925	16.980	8.945
24657-85-0	Co	25.925	16.980	8.945
16569-85-0	Cr	31.264	22.570	8.694
10031-13-7	As	26.919	35.600	8.681
12255-50-4	As	35.299	26.700	8.599
10190-55-3	Pb	64.923	56.400	8.523
13769-81-8	Mo	57.183	48.700	8.483
12715-61-6	Co	7.230	15.700	8.470
89452-37-9	Sb	15.240	23.700	8.460
72253-09-9	Co	20.302	11.900	8.402
1443500-22-8	B	19.581	11.300	8.281
1242163-03-6	B	19.581	11.300	8.281
12447-40-4	B	19.581	11.300	8.281
910783-71-0	B	19.581	11.300	8.281
71377-02-1	B	19.581	11.300	8.281
61028-24-8	B	19.581	11.300	8.281
