100-00-5	1-クロロ-4-ニトロベンゼン	Benzene, 1-chloro-4-nitro-	CAJ
100-01-6	4-ニトロアニリン	Benzenamine, 4-nitro-	CAJ
100-02-7	4-ニトロフェノール	Phenol, 4-nitro-	CAJ
100-07-2	４-メトキシ塩化ベンゾイル	Benzoyl chloride, 4-methoxy-	CAJ
100-11-8	1-(ブロモメチル)-4-ニトロベンゼン	Benzene, 1-(bromomethyl)-4-nitro-	LOLI
100-12-9	１-エチル-４-ニトロベンゼン	Benzene, 1-ethyl-4-nitro-	LOLI
100-14-1	ベンゼン, 1-(クロロメチル)-4-ニトロ-	Benzene, 1-(chloromethyl)-4-nitro-	CAJ
100-16-3	4-ニトロフェニルヒドラジン	Hydrazine, (4-nitrophenyl)-	CAJ
100-17-4	1-メトキシ-4-ニトロベンゼン	Benzene, 1-methoxy-4-nitro-	CAJ
100-20-9	ベンゼン-１，４-ジカルボニル＝ジクロリド	1,4-Benzenedicarbonyl dichloride	CAJ
100-23-2	ベンゼンアミン, N,N-ジメチル-4-ニトロ-	Benzenamine, N,N-dimethyl-4-nitro-	LOLI
100-25-4	1,4-ジニトロベンゼン	Benzene, 1,4-dinitro-	CAJ
100-28-7		Benzene, 1-isocyanato-4-nitro-	
100-29-8	4-ニトロフェネトール	4-Nitrophenetole	CAJ
100-35-6	2-クロロエチルジエチルアミン	2-Chloroethyldiethylamine	LOLI
100-36-7	N,N-ジエチルエチレンジアミン	1,2-Ethanediamine, N,N-diethyl-	CAJ
100-37-8	2-(ジエチルアミノ)エタノール	Ethanol, 2-(diethylamino)-	CAJ
100-39-0	臭化ベンジル	Benzyl bromide	LOLI
100-40-3	4-ビニルシクロヘキセン	4-Vinylcyclohexene	CAJ
100-41-4	エチルベンゼン	Ethylbenzene	CAJ
100-42-5	スチレン	Styrene	CAJ
100-43-6	4-ビニルピリジン	Pyridine, 4-ethenyl-	CAJ
100-44-7	ベンジルクロリド (塩化ベンジル)	Benzene, (chloromethyl)-	CAJ
100-45-8	3-シクロヘキセン-1-カルボニトリル	3-Cyclohexene-1-carbonitrile	CAJ
100-46-9	ベンジルアミン	Benzenemethanamine	CAJ
100-47-0	ベンゾニトリル	Benzonitrile	CAJ
100-48-1	4-ピリジンカルボニトリル	4-Pyridinecarbonitrile	CAJ
100-50-5	３-シクロヘキセン-１-カルバルデヒド	3-Cyclohexene-1-carboxaldehyde	CAJ
100-53-8	ベンジル メルカプタン	Benzenemethanethiol	CAJ
100-54-9	3-シアノピリジン	3-Pyridinecarbonitrile	CAJ
100-56-1	塩化フェニル第二水銀	Phenylmercury chloride	CAJ
100-57-2	水酸化フェニル第二水銀	Phenylmercuric hydroxide	CAJ
100-58-3	マグネシウム, ブロモフェニル-	Magnesium, bromophenyl-	CAJ
100-61-8	N-メチルアニリン	N-Methylaniline	CAJ
100-63-0	フェニルヒドラジン	Phenylhydrazine	CAJ
100-66-3	アニソール	Benzene, methoxy-	CAJ
100-69-6	2-ビニルピリジン	2-Vinylpyridine	CAJ
100-70-9	2-シアノピリジン	2-Pyridinecarbonitrile	CAJ
100-71-0	ピリジン,2-エチル-	Pyridine, 2-ethyl-	CAJ
100-73-2	３，４-ジヒドロ-２Ｈ-ピラン-２-カルボアルデヒド	2H-Pyran-2-carboxaldehyde, 3,4-dihydro-	CAJ
100-74-3	N-エチルモルホリン	N-Ethylmorpholine	CAJ
100-80-1	1-エテニル-3-メチルベンゼン	Benzene, 1-ethenyl-3-methyl-	CAJ
100-97-0	１，３，５，７-テトラアザトリシクロ［３．３．１．１（３，７）］デカン	1,3,5,7-Tetraazatricyclo[3.3.1.1(3,7)]decane	CAJ
100-99-2	トリイソブチル アルミニウム	Aluminum, tris(2-methylpropyl)-	CAJ
100022-25-1	ニコチンと酢酸及び酢酸水銀(II)との化合物	Nicotine, compound with AcOH and Hg(OAc)2	CAJ
1001-55-4		2-Acetoxyacetonitrile	
100124-55-8		Ethyl 4-chloro-.alpha.-cyano-3-nitrocinnamate	
100134-82-5		Carbamic acid, N-(1-cyano-1-methylethyl)-, phenylmethyl ester	
1001387-46-7	過硫酸カリウム	Potassium persulfate	CAJ
1001756-09-7	5-オキソ-6-ジアゾ-5,6-ジヒドロ-1-ナフタレンスルホン酸クロリド	1-Naphthalenesulfonyl chloride, 6-diazo-5,6-dihydro-5-oxo-	CAJ
1002-16-0	硝酸ペンチル	n-Amyl nitrate	CAJ
1002-69-3	1-クロロデカン	Decane, 1-chloro-	CAJ
1002158-67-9	二酸化塩素	Chlorine oxide (ClO2)	CAJ
10022-31-8	硝酸バリウム	Barium nitrate	CAJ
10022-48-7	クロム酸(H2Cr2O7), 二リチウム塩, 二水和物	Chromic acid (H2Cr2O7), dilithium salt, dihydrate	CAJ
10022-52-3	臭素酸ストロンチウム一水和物	Strontium bromate monohydrate	CAJ
10022-68-1	硝酸カドミウム（Ｃｄ（ＮＯ３）２）四水和物	Cadmium(II) nitrate, tetrahydrate (1:2:4)	CAJ
10022-70-5	塩素酸ナトリウム	Sodium hypochlorite pentahydrate	CAJ
10024-97-2	一酸化二窒素	Nitrous oxide	CAJ
10025-67-9	一塩化硫黄(S2Cl2)	Sulfur chloride (S2Cl2)	CAJ
10025-68-0	セレン クロリド (Se2Cl2)	Selenium chloride (Se2Cl2)	CAJ
10025-77-1	三塩化鉄六水和物	Ferric chloride hexahydrate	CHRIP
10025-78-2	トリクロロシラン	Trichlorosilane	CAJ
10025-87-3	塩化ホスホリル	Phosphoric trichloride	CAJ
10025-91-9	塩化アンチモン	Antimony trichloride	CAJ
100258-44-4	亜ヒ酸ストリキニーネ(1:1)	Strychnidin-10-one, arsenite (1:1)	CAJ
10026-03-6	塩化セレン (セクル4), (T-4)-	Selenium chloride (SeCl4), (T-4)-	CAJ
10026-04-7	四塩化ケイ素	Silicon tetrachloride	CAJ
10026-06-9	塩化第二スズ(五水和物)	Stannic chloride, pentahydrate	CAJ
10026-07-0	四塩化テルル	Tellurium tetrachloride	CAJ
10026-11-6	塩化ジルコニウム(4+)	Zirconium chloride (ZrCl4), (T-4)-	CAJ
10026-12-7	塩化ニオブ	Niobium chloride (NbCl5)	CAJ
10026-13-8	五塩化りん	Phosphorus pentachloride	CAJ
10026-17-2	フッ化コバルト(II)	Cobalt(II) fluoride	CAJ
10026-18-3	フッ化コバルト（ＣｏＦ３）	Cobalt fluoride (CoF3)	CAJ
10026-22-9	硝酸コバルト(II)六水和物	Cobalt(II) nitrate, hexahydrate	CAJ
10026-24-1	硫酸コバルト(2+)七水和物	Sulfuric acid, cobalt(2+) salt (1:1), heptahydrate	CAJ
10028-17-8	トリチウム	Tritium	CAJ
10028-20-3	ヘプタフルオロタンタル酸二カリウム	Tantalate(2-), heptafluoro-, dipotassium	CAJ
100292-13-5	ニトログリセリン	Nitroglycerin	CAJ
1003-03-8	シクロペンタンアミン	Cyclopentanamine	CAJ
1003-26-5	クロロ(シクロペンタ-2,4-ジエン-1-イル)水銀	Chloro(cyclopenta-2,4-dien-1-yl)mercury	CAJ
1003-31-2	チオフェン-２-カルボニトリル	Thiophene-2-carbonitrile	CAJ
1003-52-7	4-メチルオキサゾール-5-カルボニトリル	4-Methyloxazole-5-carbonitrile	CAJ
10031-13-7	亜ヒ酸鉛	Lead arsenite	CAJ
10031-16-0	二クロム酸バリウム二水和物	Barium dichromate dihydrate	CAJ
10031-18-2	臭化水銀（ＨｇＢｒ）	Mercury bromide (HgBr)	CAJ
10031-21-7	臭素酸鉛(II)一水和物	Lead(II) bromate monohydrate	CAJ
10031-22-8	臭化鉛（ＰｂＢｒ２）	Lead bromide (PbBr2)	CAJ
10031-32-0	ヨウ素酸カルシウム一水和物	Calcium iodate monohydrate	CAJ
10031-33-1	ヨウ素酸カルシウム六水和物	Iodic acid (HIO3), calcium salt, hexahydrate	CAJ
10031-34-2	亜硝酸カルシウム一水和物	Nitrous acid, calcium salt, monohydrate	CAJ
10031-43-3	硝酸銅(2+)三水和物	Nitric acid, copper(2+) salt, trihydrate	CAJ
10031-45-5	セレン酸銅(II)五水和物	Copper(II) selenate pentahydrate	CAJ
10031-49-9	硝酸ジスプロシウム(III)五水和物	Dysprosium(III) nitrate, pentahydrate	CAJ
10031-51-3	硝酸エルビウム(III)五水和物	Erbium(III) nitrate, pentahydrate	CAJ
10031-59-1	硫酸タリウム	Thallium sulfate	CAJ
10031-87-5	酢酸2-エチルブチル	Acetic acid, 2-ethylbutyl ester	CAJ
100311-01-1	[4-[(2,4,6-トリアミノピリミジン-5-イル)ジアゼニル]フェニル]アルソン酸	[4-[(2,4,6-Triaminopyrimidin-5-yl)diazenyl]phenyl]arsonic acid	CAJ
10034-81-8	過塩素酸マグネシウム	Magnesium perchlorate	CAJ
10034-82-9	クロム酸ナトリウム (Na2CrO4) 四水和物	Chromic acid (H2CrO4), disodium salt, tetrahydrate	CAJ
10034-85-2	ヨウ化水素	Hydriodic acid	CAJ
10034-88-5	硫酸水素ナトリウム一水和物	Sodium hydrogen sulfate, monohydrate	CAJ
10035-05-9	塩素酸カルシウム二水和物	Chloric acid, calcium salt, dihydrate	CAJ
10035-06-0	硝酸ビスマス(III)五水和物	Bismuth(III) nitrate pentahydrate	CAJ
