4213-45-0	"Schedule 1: Chemicals which can be used as chemical weapons" As Nitrogen mustards [RR-03644-2]
345260-78-8	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
1005257-56-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
952104-36-8	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
673-97-2	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
UN2329	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Trimethyl phosphite [121-45-9]
18358-34-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-60-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
3684-26-2	"Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons" As Quinuclidin-3-ol [1619-34-7]
28364-21-8	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
162085-84-9	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345239-06-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345260-76-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
