0004	1031-47-6
0020	107-11-9
0020	1561105-23-4
0020	UN2334
0040	382-21-8
0041	152-16-9
0042	21152-15-8
0042	297-78-9
0042	3212-31-5
0071	108-98-5
0071	UN2337
0088	696-28-6
0099	53558-25-1
0099	64060-28-2
0121	107-12-0
0121	UN2404
0123	107-19-7
0138	59182-86-4
0138	75-86-5
0138	UN1541
0141	107-18-6
0141	UN1098
0155	18961-44-9
0155	18961-45-0
0155	59204-10-3
0155	75-55-8
0155	UN1921
0217	108592-00-3
0217	12136-89-9
0217	157302-08-4
0217	20828-18-6
0217	26628-22-8
0217	503002-54-8
0217	575502-02-2
0217	UN1687
0241	78-94-4
0241	UN1251
0258	29025-67-0
0321	82-66-6
0339	8065-71-2
0340	7783-41-7
0340	UN2190
0367	243464-31-5
0367	298-01-1
0367	338-45-4
0367	7786-34-7
0385	3254-63-5
0393	141-66-2
0394	6923-22-4
0394	83857-41-4
0410	926-64-7
0410	UN2378
0434	950-35-6
0461	57-14-7
0461	88733-28-2
0461	UN1163
0462	540-73-8
0462	UN2382
0463	2524-03-0
0463	UN2267
0481	101324-33-8
0481	1194719-36-2
0481	525584-40-1
0481	57-24-9
0481	6899-11-2
0481	854644-96-5
0481	875538-26-4
0481	900786-57-4
0481	936009-28-8
0481	UN1692
0486	101324-32-7
0486	1087723-67-8
0486	1195340-33-0
0486	1195623-19-8
0486	145428-94-0
0486	193198-03-7
0486	357-57-3
0486	462651-43-0
0486	54193-32-7
0486	5892-11-5
0486	70206-61-0
0486	UN1570
0568	1563-66-2
0572	80-12-6
0648	102388-58-9
0648	78-53-5
0649	100-35-6
0654	947-02-4
0654	99910-17-5
0654	99910-18-6
0655	12643-22-0
0655	947-33-1
0655	950-10-7
0656	21548-32-3
0656	68335-14-8
0658	126-75-0
0658	298-03-3
0658	34624-53-8
0658	8000-97-3
0658	8058-73-9
0658	8065-48-3
0660	299-45-6
0661	311-45-5
0662	110616-89-2
0662	11111-91-4
0662	56-38-2
0662	8057-70-3
0665	18708-86-6
0665	18708-87-7
0665	470-90-6
0665	8018-06-2
0665	8067-67-2
0667	297-97-2
0667	30917-36-3
0672	298-04-4
0673	115-90-2
0675	3270-86-8
0676	298-02-2
0677	2275-18-5
0679	24934-91-6
0679	37209-29-3
0680	13071-79-9
0692	627-44-1
0732	13981-56-1
0732	16984-48-8
0732	28077-97-6
0732	719993-31-4
0732	7782-41-4
0732	UN1045
0780	144-49-0
0780	7574-44-9
0780	9074-77-5
0780	UN2642
0783	453-18-9
0784	62-74-8
0784	UN2629
0788	640-19-7
0849	106996-53-6
0849	12707-29-8
0849	1304-02-5
0849	17702-41-9
0849	27340-43-8
0849	52340-09-7
0849	UN1868
1008	10138-60-0
1041	65-30-5
1071	37359-43-6
1071	53240-95-2
1071	534-52-1
1071	8068-73-3
1071	8071-51-0
1071	UN1598
1079	10265-92-6
1079	115182-35-9
1081	116-06-3
1082	39196-18-4
1097	13890-81-8
1097	13890-82-9
1097	16760-37-5
1097	54-11-5
1097	551-13-3
1097	6912-85-2
1097	74555-91-2
1097	UN1654
1126	124-63-0
1126	UN3246
1128	60-34-4
1189	558-25-8
1202	11017-04-2
1202	35523-89-8
1202	51938-46-6
1202	55803-44-6
1236	1397-94-0
1236	37330-19-1
1236	50858-98-5
1248	23255-69-8
1266	167076-44-0
1266	7803-51-2
1266	UN2199
1278	3982-91-0
1278	UN1837
1327	57-52-3
1328	14012-92-1
1328	37333-30-5
1328	7446-18-6
1328	87993-82-6
1332	303-04-8
1351	12622-75-2
1351	17301-10-9
1351	3039-00-7
1351	33648-22-5
1351	59029-57-1
1351	60-57-1
1352	72-20-8
1353	1195521-13-1
1353	20389-61-1
1353	26302-40-9
1353	465-73-6
1354	309-00-2
1358	77-47-4
1358	UN2646
1381	13981-43-6
1381	14158-34-0
1381	15585-26-9
1381	7782-50-5
1381	UN1017
1422	3691-35-8
1442	814-49-3
1464	7487-94-7
1464	UN1624
1476	506-77-4
1476	UN1589
1502	107-30-2
1502	UN1239
1509	79-22-1
1509	UN1238
1513	503842-49-7
1513	52803-29-9
1513	541-41-3
1513	UN1182
1549	107-07-3
1549	1867-09-0
1549	UN1135
1637	42492-95-5
1637	78-97-7
1642	107-16-4
1646	2315-02-8
1677	12542-90-4
1677	28519-24-6
1677	502-39-6
1677	UN1244
1681	542-83-6
1686	133708-36-8
1686	151-50-8
1686	15745-74-1
1686	60195-52-0
1686	UN1680
1688	13998-03-3
1688	143-33-9
1688	25596-52-5
1688	UN1689
1693	191234-22-7
1693	3017-23-0
1693	341972-31-4
1693	74-90-8
1693	UN1614
1704	2541-67-5
1704	506-61-6
1723	20434-91-7
1723	344328-67-2
1723	594-42-3
1723	75-70-7
1723	UN1670
1735	23319-66-6
1735	4386-88-3
1854	76-06-2
1854	UN1580
1912	1327-53-3
1912	28380-38-3
1912	856307-43-2
1912	UN1561
1923	102-82-9
1923	168153-19-3
1923	UN2542
1927	7784-42-1
1927	UN2188
1998	37209-35-1
1998	55-91-4
1999	51-75-2
2000	66-75-1
2003	4104-14-7
2003	4157-35-1
2005	115-26-4
2047	1746-01-6
2047	56795-67-6
2067	5836-29-3
2078	509-14-8
2078	UN1510
2087	12060-19-4
2087	20816-12-0
2087	7446-13-1
2087	UN2471
2091	3689-24-5
2091	8054-28-2
2092	107-49-3
2093	78-00-2
2115	75-44-5
2115	957761-04-5
2115	UN1076
2118	12612-55-4
2118	13005-31-7
2118	13463-39-3
2118	14875-95-7
2118	36252-60-5
2118	42126-46-5
2118	71327-12-3
2118	848779-18-0
2133	302-27-2
2138	13637-63-3
2138	UN2548
2144	101802-54-4
2144	1135443-67-2
2144	39390-77-7
2144	87-86-5
2144	UN3155
2147	57117-31-4
2153	12314-11-3
2153	7647-18-9
2153	UN1730
2153	UN1731
2157	13463-40-6
2157	36823-35-5
2157	37220-42-1
2157	540770-45-4
2157	848779-17-9
2157	UN1994
2163	12044-50-7
2163	12355-85-0
2163	1303-28-2
2163	13843-65-7
2163	856565-65-6
2163	UN1559
2177	1303-97-5
2177	19624-22-7
2177	24378-36-7
2177	24378-37-8
2177	24378-38-9
2177	52712-65-9
2177	64442-81-5
2177	71129-91-4
2177	UN1380
2198	10102-23-5
2198	13410-01-0
2222	96-96-8
2413	56073-10-0
2413	66052-95-7
2413	80449-88-3
2414	28772-56-7
2460	27152-57-4
2477	7782-82-3
2527	316-42-7
2533	1344-45-2
2533	21908-53-2
2533	8028-34-0
2549	351-05-3
2567	151-56-4
2567	99932-76-0
2567	UN1185
2588	2104-64-5
2593	944-22-9
2626	1304-00-3
2626	133441-46-0
2626	16970-81-3
2626	19287-45-7
2626	19287-88-8
2626	849231-16-9
2626	UN1911
2635	148333-06-6
2635	1600-27-7
2635	19701-15-6
2635	6129-23-3
2635	7619-62-7
2635	UN1629
2637	12798-32-2
2637	151-38-2
2642	1118-14-5
2643	1907-13-7
2665	77-77-0
2671	5628-99-9
2685	119-38-0
2718	1025436-18-3
2718	103-71-9
2718	UN2487
2723	624-83-9
2723	UN2480
