100-42-5	Styrene
100-44-7	Benzyl chloride
10099-74-8	Lead nitrate
106-89-8	Epichlorohydrin
106-91-2	Glycidyl methacrylate
106-93-4	Ethylene dibromide
107-02-8	Acrolein
1071-83-6	Glyphosate
111025-46-8	Pioglitazone
1120-71-4	1,3-Propane sultone
116-14-3	Tetrafluoroethylene
121-75-5	Malathion
126-72-7	Tris(2,3-dibromopropyl) phosphate
127-18-4	Tetrachloroethylene
13010-47-4	1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea
1309-60-0	Lead dioxide
1314-27-8	Lead oxide (Pb2O3)
1314-41-6	Lead tetraoxide
1314-87-0	Lead sulfide (PbS)
1317-36-8	Lead monoxide
134-29-2	o-Anisidine hydrochloride
13674-84-5	Tri(chloropropyl) phosphate
14047-09-7	3,3',4,4'-Tetrachloroazobenzene
142-04-1	Aniline hydrochloride
14807-96-6	Talc
149-30-4	2-Mercaptobenzothiazole
154-93-8	Urea, N,N'-bis(2-chloroethyl)-N-nitroso-
15663-27-1	Cisplatin
15972-60-8	Alachlor
191-30-0	Dibenzo(a,l)pyrene
1912-24-9	Atrazine
22398-80-7	Indium phosphide
224-42-0	Dibenz(a,j)acridine
23214-92-8	Adriamycin
2425-06-1	Captafol
27208-37-3	Cyclopenta[c,d]pyrene
29767-20-2	Teniposide
302-01-2	Hydrazine
302-17-0	Chloral hydrate
309-00-2	Aldrin
3165-93-3	Benzenamine, 4-chloro-2-methyl-, hydrochloride
320-67-2	5-Azacytidine
333-41-5	Diazinon
366-70-1	Procarbazine hydrochloride
38641-94-0	Glyphosate isopropylamine salt
409-21-2	Silicon carbide whiskers
484-20-8	5-Methoxypsoralen
50-29-3	DDT
51-75-2	Chlormethine
51-79-6	Ethyl carbamate
53-70-3	Dibenz[a,h]anthracene
540-73-8	1,2-Dimethylhydrazine
54749-90-5	Chlorozotocin
55-18-5	N-Nitrosodiethylamine
55-86-7	Nitrogen mustard hydrochloride
5522-43-0	1-Nitropyrene
556-52-5	Glycidol
56-75-7	Chloramphenicol
57-85-2	Testosterone propionate
58-22-0	Testosterone
593-60-2	Vinyl bromide
59536-65-1	Firemaster BP-6
598-63-0	Lead carbonate
60-57-1	Dieldrin
6145-73-9	Tris(2-chloro-1-propyl) phosphate
62-53-3	Aniline
62-75-9	Methanamine, N-methyl-N-nitroso-
64-67-5	Diethyl sulfate
64742-93-4	Bitumens, oxidized
66-27-3	Methyl methanesulfonate
68-12-2	Dimethylformamide
684-93-5	N-Methyl-N-nitrosourea
70-25-7	N-Methyl-N'-nitro-N-nitrosoguanidine
71-55-6	1,1,1-Trichloroethane
7439-92-1	Lead
7440-48-4	Cobalt metal
7446-14-2	Lead sulfate
7446-27-7	Lead phosphate
7496-02-8	6-Nitrochrysene
75-02-5	Vinyl fluoride
75-09-2	Dichloromethane
75-26-3	2-Bromopropane
75-87-6	Chloral
759-73-9	N-Ethyl-N-nitrosourea
76025-08-6	Phosphoric acid, bis(2-chloro-1-methylethyl) 2-chloropropyl ester
76180-96-6	2-Amino-3-methyl-3H-imidazo(4,5-f)quinoline
77-78-1	Dimethyl sulfate
7758-95-4	Lead chloride (PbCl2)
79-06-1	Acrylamide
79-44-7	Dimethylcarbamoyl chloride
79-94-7	Tetrabromobisphenol A
8001-58-9	Coal tar creosote
88-72-2	2-Nitrotoluene
90-04-0	Benzenamine, 2-methoxy-
91-23-6	ortho-Nitroanisole
93-15-2	Benzene, 1,2-dimethoxy-4-(2-propenyl)-
95-69-2	Benzenamine, 4-chloro-2-methyl-
96-09-3	Styrene 7,8-oxide
96-18-4	1,2,3-Trichloropropane
98-07-7	Benzotrichloride
98-87-3	Benzal chloride
98-88-4	Benzoyl chloride
LU|4-chloro-ortho-toluidine	4-chloro-ortho-toluidine
LU|Androgenic (anabolic) Steroids	Androgenic (anabolic) Steroids
LU|Glyphosate	Glyphosate
LU|Polybrominated biphenyls	Polybrominated biphenyls
LU|Tris(chloropropyl) phosphate (TCPP)	Tris(chloropropyl) phosphate (TCPP)
LU|combined exposures to .alpha.-Chlorinated toluenes and Benzoyl chloride	combined exposures to .alpha.-Chlorinated toluenes and Benzoyl chloride
LU|inorganic lead compounds	inorganic lead compounds
RR-00057-7	Androgenic (anabolic) steroids
RR-00086-2	Polybrominated biphenyls
RR-00538-9	Lead, inorganic compounds
RR-01702-7	Hairdresser or barber, occupational exposures as
RR-01770-9	Nitrates
RR-02506-9	Occupational exposure during petroleum refining
RR-02507-0	Drinking very hot beverages at above 65°C (includes drinking very hot mate)
RR-02513-8	Non-arsenical insecticides, occupational exposures in spraying and application of
RR-03626-0	Art glass, glass containers and pressed ware (manufacture of)
RR-102702-7	Merkel cell polyomavirus
RR-102703-8	Malaria
RR-11985-7	Glyphosate salts
RR-141230-2	Red meat (consumption of)
RR-14244-9	Nitrites
RR-17722-0	Cobalt(II) soluble salts
RR-18852-3	.alpha.-Chlorinated toluenes and benzoyl chloride
RR-191097-0	Tungsten carbide with cobalt
RR-192912-0	Trivalent antimony compounds
RR-53122-6	Household combustion of solid fuels and high temperature frying
RR-56150-2	Shiftwork that involves circadian disruption
RR-56794-2	Household combustion of biomass fuel (primarily wood), indoor emissions from
RR-56795-3	Carbon electrode manufacture
RR-64377-6	Human papillomavirus type 68
