100-00-5	Benzene, 1-chloro-4-nitro-
100-17-4	p-Nitroanisole
100-40-3	4-Vinylcyclohexene
100-41-4	Ethylbenzene
100-75-4	N-Nitrosopiperidine
10042-84-9	Nitrilotriacetic acid, sodium salts
10048-13-2	Sterigmatocystin
101-61-1	Michler's Base
101-77-9	4,4'-Methylenedianiline
101-80-4	4,4'-Diaminodiphenyl ether
101-90-6	Diglycidyl resorcinol ether
101043-37-2	Microcystin LR
1024-57-3	Heptachlor epoxide
103-11-7	2-Ethylhexyl acrylate
105650-23-5	PhIP
105735-71-5	3,7-Dinitrofluoranthene
10595-95-6	N-Nitrosomethylethylamine
106-46-7	para-Dichlorobenzene
106-47-8	4-Chloroaniline
106-87-6	4-Vinylcyclohexene diepoxide
106-88-7	1,2-Epoxybutane
106-94-5	1-Bromopropane
107-06-2	1,2-Dichloroethane
108-05-4	Vinyl acetate
108-10-1	Methyl isobutyl ketone
108-78-1	Melamine
109-70-6	1-Bromo-3-chloropropane
109-99-9	Tetrahydrofuran
110-00-9	Furan
110-86-1	Pyridine
11056-06-7	Bleomycin
111-42-2	Diethanolamine
1116-54-7	N-Nitrosodiethanolamine
115-02-6	Azaserine
115-28-6	Chlorendic acid
116355-83-0	Fumonisin B1
117-10-2	Dantron
117-81-7	Di(2-ethylhexyl) phthalate
118-74-1	Hexachlorobenzene
119-61-9	Benzophenone
119-90-4	3,3'-Dimethoxybenzidine
119-93-7	3,3'-Dimethylbenzidine
120-12-7	Anthracene
120-36-5	2-(2,4-Dichlorophenoxy)propanoic acid
120-71-8	Benzenamine, 2-methoxy-5-methyl-
120-80-9	Catechol
121-14-2	2,4-Dinitrotoluene
12174-11-7	Palygorskite
122-39-4	Diphenylamine
122-60-1	Phenyl glycidyl ether
122-66-7	Hydrazobenzene
123-35-3	.beta.-Myrcene
123-72-8	Butyraldehyde
123-91-1	1,4-Dioxane
124-58-3	Methylarsonic acid
125-33-7	Primidone
126-07-8	Griseofulvin
126-85-2	Nitrogen mustard N-oxide
126-99-8	Chloroprene
12681-83-3	Nickel-containing steels
127-19-5	N,N-Dimethylacetamide
12789-03-6	Chlordane
129-15-7	2-Methyl-1-nitroanthraquinone
129-43-1	9,10-Anthracenedione, 1-hydroxy-
129-73-7	Benzenamine, 4,4'-(phenylmethylene)bis[N,N-dimethyl-
1307-96-6	Cobalt(II) oxide
1309-64-4	Antimony trioxide
1313-27-5	Molybdenum trioxide
1314-62-1	Vanadium pentoxide
132-27-4	Sodium ortho-phenylphenate
13256-22-9	N-Nitrososarcosine
1333-86-4	Carbon black
13463-67-7	Titanium dioxide
135-20-6	Cupferron
13552-44-8	4,4'-Methylenedianiline dihydrochloride
136-40-3	Phenazopyridine hydrochloride
139-13-9	Nitrilotriacetic acid
139-65-1	4,4'-Thiodianiline
140-57-8	Aramite
140-88-5	Ethyl acrylate
141-90-2	Thiouracil
142-83-6	2,4-Hexadienal, (E,E)-
142844-00-6	Refractory ceramic fibers
143-50-0	Kepone
14901-08-7	Cycasin
151-56-4	Aziridine
15467-20-6	Nitrilotriacetic acid, disodium salt
15625-89-5	Trimethylolpropane triacrylate
1615-80-1	1,2-Diethylhydrazine
1634-04-4	Methyl tert-butyl ether
1694-09-3	Benzyl Violet 4B
17117-34-9	3-Nitrobenzanthrone
1763-23-1	Perfluorooctanesulfonic acid
1836-75-5	Nitrofen
18662-53-8	Nitrilotriacetic acid, trisodium salt monohydrate
18883-66-4	Streptozocin
189-55-9	Dibenzo[a,i]pyrene
189-64-0	Dibenzo(a,h)pyrene
1897-45-6	Chlorothalonil
18994-66-6	Glycine, N,N-bis(carboxymethyl)-, monosodium salt
193-39-5	Indeno(1,2,3-cd)pyrene
194-59-2	7H-Dibenzo(c,g)carbazole
195-19-7	Benzo[c]phenanthrene
202-33-5	Benz[j]aceanthrylene
205-82-3	Benzo(j)fluoranthene
205-99-2	Benzo(b)fluoranthene
207-08-9	Benzo(k)fluoranthene
20830-75-5	Digoxin
20830-81-3	Daunomycin
218-01-9	Chrysene
22248-79-9	Tetrachlorvinphos (Z-isomer)
224-53-3	Dibenz[c,h]acridine
22506-53-2	3,9-Dinitrofluoranthene
226-36-8	Dibenz(a,h)acridine
22839-47-0	L-Phenylalanine, L-.alpha.-aspartyl-, 2-methyl ester
23246-96-0	Riddelline
23255-03-0	Nitrilotriacetic acid, disodium salt, monohydrate
2385-85-5	Mirex
2426-08-6	1-Butyl glycidyl ether
2429-74-5	C.I. Direct Blue 15
2475-45-8	C.I. Disperse Blue 1
25013-16-5	Butylated hydroxyanisole
25962-77-0	1,3,4-Oxadiazole, 2-[[(dimethylamino)methylene]amino]-5-[2-(5-nitro-2-furyl)vinyl]-
26148-68-5	2-Amino-9H-pyrido[2,3-b]indole
26261-57-4	Magenta II
2646-17-5	Oil Orange SS
26471-62-5	Toluene-1,3-diisocyanate
