100-88-9	Cyclamic acid
10025-73-7	Chromic chloride
10048-32-5	Parasorbic acid
101-21-3	Chloropropham
101-25-7	Dinitrosopentamethylenetetramine
101-68-8	4,4'-Methylenediphenyl diisocyanate
10101-53-8	Chromic sulfate (Cr2(SO4)3)
10141-00-1	Potassium chromic sulfate
102-50-1	m-Cresidine
102-71-6	Triethanolamine
103-03-7	Phenicarbazide
103-23-1	Di(2-ethylhexyl) adipate
103-33-3	Azobenzene
103-90-2	Paracetamol
10380-28-6	Copper 8-hydroxyquinoline
104-94-9	p-Anisidine
105-11-3	p-Benzoquinone dioxime
105-55-5	N,N'-Diethylthiourea
105-60-2	Caprolactam
105-74-8	Lauroyl peroxide
10599-90-3	Chloramine
106-50-3	para-Phenylenediamine
106-51-4	para-Quinone
1066-30-4	Chromic acetate
107-05-1	Allyl chloride
107-14-2	Chloroacetonitrile
1072-52-2	1-Aziridineethanol
108-20-3	Diisopropyl ether
108-30-5	Succinic anhydride
108-45-2	meta-Phenylenediamine
108-46-3	Resorcinol
108-60-1	Bis(2-chloro-1-methylethyl) ether
108-88-3	Toluene
108-91-8	Cyclohexylamine
108-94-1	Cyclohexanone
108-95-2	Phenol
108-99-6	.beta.-Picoline
110-57-6	trans-1,4-Dichloro-2-butene
110-91-8	Morpholine
11032-49-8	Vitamin K2
111-44-4	Bis(2-chloroethyl) ether
111-76-2	2-Butoxyethanol
11104-38-4	Vitamin K1
11114-46-8	Chromium alloy, base, Cr,C,Fe,N,Si
111189-32-3	Indeno[1,2,3-hi]chrysene
112926-00-8	Silica, amorphous, precipitated and gel
1133-64-8	N'-Nitrosoanabasine
1143-38-0	Dithranol
115-07-1	Propylene
115-32-2	Dicofol
115-96-8	Tris(2-chloroethyl) phosphate
116-06-3	Aldicarb
1163-19-5	Decabromodiphenyl oxide
117-39-5	Quercetin
117-79-3	2-Aminoanthraquinone
118-92-3	Anthranilic acid
118-96-7	2,4,6-Trinitrotoluene
119-34-6	Phenol, 4-amino-2-nitro-
120-58-1	Isosafrole
12001-79-5	Vitamin K
12018-18-7	Dichromium nickel tetraoxide
121-66-4	2-Amino-5-nitrothiazole
121-69-7	N,N-Dimethylaniline
121-88-0	2-Amino-5-nitrophenol
12122-67-7	Zineb
12173-98-7	Mordenite
12174-11-7	Palygorskite
12192-57-3	Aurothioglucose
122-34-9	Simazine
122-42-9	Carbamic acid, N-phenyl-, 1-methylethyl ester
122320-73-4	Rosiglitazone
123-31-9	Hydroquinone
123-33-1	Maleic hydrazide
12336-95-7	Basic chromic sulfate
124-48-1	Chlorodibromomethane
124-64-1	Tetrakis(hydroxymethyl)phosphonium chloride
12427-38-2	Maneb
125612-26-2	Coal
12629-02-6	Cobalt-chromium-molybdenum alloy
12663-46-6	Cyclochlorotine
127-07-1	Hydroxyurea
127-69-5	Sulfafurazole
128-37-0	Butylated hydroxytoluene
128-44-9	Sodium saccharin
128-66-5	Vat Yellow 4
129-00-0	Pyrene
129-17-9	Blue VRS
129-20-4	Oxyphenbutazone
130-37-0	Menadione sodium bisulfite
13007-92-6	Chromium carbonyl
13045-94-8	Medphalan
1308-06-1	Cobalt(II,III) oxide
1308-14-1	Chromium hydroxide (Cr(OH)3)
1308-31-2	Chromite ore
1308-38-9	Chromic oxide
1309-37-1	Ferric oxide
131-79-3	Yellow OB
1317-42-6	Cobalt(II) sulfide
1317-60-8	Hematite
1318-02-1	Zeolites
132-65-0	Dibenzothiophene
1321-12-6	Nitrotoluenes
13292-46-1	Rifampicin
133-06-2	Captan
1330-20-7	Xylenes
1335-32-6	Lead subacetate
1338-16-5	Iron sorbitol-citric acid complex
134-32-7	1-Naphthylamine
1345-04-6	Antimony trisulfide
13483-18-6	1,2-Bis(chloromethoxy)ethane
135-88-6	N-Phenyl-2-naphthylamine
13537-21-8	Perchloric acid, chromium(3+) salt
13548-38-4	Chromic nitrate
136677-09-3	Polychlorinated dibenzo-p-dioxins
