# 日本語版 Wikipedia「IARC発がん性リスク一覧」から取った 英語名 → 日本語名（2026-09-07）
Aflatoxins	アフラトキシン	グループ1
4-Aminobiphenyl	4-アミノビフェニル	グループ1
Arsenic and arsenic compounds	ヒ素およびヒ素化合物	グループ1
Asbestos	アスベスト	グループ1
Azathioprine	アザチオプリン	グループ1
Benzene	ベンゼン	グループ1
Benzidine	ベンジジン	グループ1
Beryllium and beryllium compounds	ベリリウムおよびベリリウム化合物	グループ1
N,N-Bis(2-chloroethyl)-2-naphthylamine; Chlornaphazine	クロルナファジン	グループ1
Bis(chloromethyl)ether and chloromethyl methyl ether	ビス(クロロメチル)エーテルとクロロメチルメチルエーテル	グループ1
1,4-Butanediol dimethanesulfonate, Busulphan, Myleran	ブスルファン	グループ1
Cadmium and cadmium compounds	カドミウムおよびカドミウム化合物	グループ1
Chlorambucil	クロラムブシル	グループ1
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea, Methyl-CCNU; Semustine	メチル-CCNU（セムスチン）	グループ1
Chromium[VI] compounds	六価クロム化合物	グループ1
Ciclosporin	シクロスポリン	グループ1
Cyclophosphamide	シクロホスファミド	グループ1
Diesel engine exhaust	ディーゼルエンジンの排気ガス	グループ1
1,2-Dichloropropane	1,2-ジクロロプロパン	グループ1
Diethylstilboestrol	ジエチルスチルベストロール	グループ1
Epstein-Barr virus	エプスタイン・バール・ウイルス	グループ1
Erionite	エリオナイト	グループ1
Ethylene oxide	酸化エチレン	グループ1
Formaldehyde	ホルムアルデヒド	グループ1
Gallium arsenide	ヒ化ガリウム	グループ1
Helicobacter pylori, infection with	ヘリコバクター・ピロリ感染	グループ1
Hepatitis B virus, chronic infection with	B型肝炎ウイルスの慢性感染	グループ1
Hepatitis C virus chronic, infection with	C型肝炎ウイルスの慢性感染	グループ1
Herbal remedies containing plant species of the genus Aristolochia	ウマノスズクサ属の植物を含有する薬草療法	グループ1
Human immunodeficiency virus type 1, infection with	HIV-1ウイルスの感染	グループ1
Human papillomavirus type 16, infection with	ヒト-パピローマウイルス16型の感染	グループ1
Human papillomavirus type 18, infection with	ヒト-パピローマウイルス18型の感染	グループ1
Human T-cell lymphotropic virus type I, infection with	ヒトT細胞白血病ウイルス1型の感染	グループ1
Melphalan	メルファラン	グループ1
8-Methoxypsoralen, Methoxsalen	メトキサレンと紫外線-A照射	グループ1
4,4´-Methylene bis(2-chloroaniline), MOCA	4,4'-メチレンビス(2-クロロアニリン)	グループ1
Mustard gas, Sulfur mustard	マスタード・ガス	グループ1
2-Naphthylamine	2-ナフチルアミン	グループ1
Neutrons	中性子線	グループ1
Nickel compounds	ニッケル化合物	グループ1
Estrogen therapy, postmenopausal	更年期以降のエストロゲン療法	グループ1
Oestrogens, nonsteroidal	非ステロイド性エストロゲン様物質	グループ1
Oestrogens, steroidal	ステロイド性エストロゲン様物質	グループ1
Opisthorchis viverrini, infection with	タイ肝吸虫の慢性感染	グループ1
Oral contraceptives, combined	経口避妊薬の組合せ	グループ1
Oral contraceptives, sequential	経口避妊薬の常用	グループ1
Phosphorus-32, as phosphate	リン-32標識リン酸	グループ1
Plutonium-239 and its decay products, as aerosols	プルトニウム239と放射壊変物のエアロゾル	グループ1
Polychlorinated biphenyls	ポリ塩化ビフェニル	グループ1
Radioiodines, short-lived isotopes, including iodine-131, (exposure during childhood)	放射性ヨウ素（131Iを含む）被曝	グループ1
Radionuclides, a-particle-emitting, internally deposited	α線放射核種の内部被曝	グループ1
Radionuclides, b-particle-emitting, internally deposited	β線放射核種の内部被曝	グループ1
Radium-224 and its decay products	ラジウム224と放射壊変物	グループ1
Radium-226 and its decay products	ラジウム226と放射壊変物	グループ1
Radium-228 and its decay products	ラジウム228と放射壊変物	グループ1
Radon-222 and its decay products	ラドン222と放射壊変物	グループ1
Schistosoma haematobium, infection with	ビルハルツ住血吸虫への感染	グループ1
Silica dust, crystalline, in the form of quartz and cristobalite	石英およびクリストバライトの粉体	グループ1
Solar radiation	太陽光曝露	グループ1
Talc containing asbestiform fibres	アスベスト様繊維を含むタルク	グループ1
Tamoxifen	タモキシフェン	グループ1
2,3,7,8-Tetrachlorodibenzo-para-dioxin	2,3,7,8-四塩化ジベンゾ-パラ-ジオキシン	グループ1
Thiotepa	チオテパ	グループ1
Thorium-232 and its decay products, administered intravenously as a colloidal dispersion of thorium-232 dioxide	トリウム232トレーサーの静脈投与と放射壊変物	グループ1
Treosulfan	トレオサルファン	グループ1
Trichloroethylene	トリクロロエチレン	グループ1
Vinyl chloride	塩化ビニルモノマー	グループ1
Alcoholic beverages	アルコール飲料	グループ1
Processed meat	加工肉	グループ1
Analgesic mixtures containing phenacetin	フェナセチンを含む鎮痛剤	グループ1
Areca nut	ビンロウジュの実	グループ1
Betel quid with tobacco	タバコと併用のビンロウジュ噛み	グループ1
Betel quid without tobacco	タバコなしのビンロウジュ噛み	グループ1
Coal-tar pitches	コールタール残渣	グループ1
Coal-tars	コールタール	グループ1
Mineral oils, untreated and mildly treated	未処理あるいは粗処理の鉱油	グループ1
Salted fish, Chinese-style	中国式塩蔵魚	グループ1
Shale-oils	シェール油	グループ1
Soots	煤煙	グループ1
Tobacco products, smokeless	無煙のタバコ製品	グループ1
Wood dust	木工粉塵	グループ1
Welding fumes	溶接煙	グループ1
Aluminium production	アルミニウム精錬従事	グループ1
Arsenic in drinking-water	飲料水中のヒ素含有環境	グループ1
Auramine, manufacture of	オーラミンの製造に従事	グループ1
Boot and shoe manufacture and repair	靴製造あるいは修理に従事	グループ1
Coke production	コークス製造に従事	グループ1
Furniture and cabinet making	家具製造環境	グループ1
Haematite mining (underground) with exposure to radon	赤鉄鉱地下採掘でのラドン被曝環境	グループ1
Involuntary smoking	受動的喫煙環境	グループ1
Iron and steel founding	鉄の鋳造環境	グループ1
Isopropanol manufacture, strong-acid process	強酸プロセスによるプロパノール製造に従事	グループ1
Magenta, manufacture of	マゼンタ染料製造に従事	グループ1
Painter, occupational exposure as a	塗装専従環境	グループ1
Rubber industry	ゴム産業に従事	グループ1
Strong-inorganic-acid mists containing sulfuric acid, occupational exposure to	硫酸を含む強い無機酸ミストに常時さらされる環境	グループ1
Tobacco smoking	タバコの喫煙	グループ1
UV-emitting tanning devices	紫外線を発する日焼けマシーン	グループ1
Acrylamide	アクリルアミド	グループ2A
Adriamycin	アドリアマイシン	グループ2A
Androgenic (anabolic) steroids	アナボリックステロイド	グループ2A
naturally occurring mixtures of	アリストロキア酸 (Aristolochic acids)	グループ2A
Azacitidine	アザシチジン	グループ2A
Benz[a]anthracene	ベンズ(a)アントラセン	グループ2A
Benzidine-based dyes	ベンジジン基剤の染料	グループ2A
Benzo[a]pyrene	ベンゾピレン	グループ2A
Bischloroethylnitrosourea, BCNU	カルムスチン	グループ2A
1,3-Butadiene	ブタジエン	グループ2A
Captafol	カプタホール（ダイホルタン）	グループ2A
Chloral	クロラール	グループ2A
Chloral hydrate	抱水クロラール	グループ2A
Chloramphenicol	クロラムフェニコール	グループ2A
α-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	α-クロロトルエン類（塩化ベンザル、ベンゾトリクロリド、塩化ベンジル）および塩化ベンゾイルの混合物への曝露	グループ2A
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea, CCNU	ロムスチン	グループ2A
4-Chloro-ortho-toluidine	4-クロロ-2-トルイジン	グループ2A
Chlorozotocin	クロロゾトシン	グループ2A
Cisplatin	シスプラチン	グループ2A
''Clonorchis sinensis'', infection with	肝吸虫感染	グループ2A
Dibenz[a,h]anthracene	ジベンゾ(a,h)アントラセン	グループ2A
dichloromethane	ジクロロメタン（塩化メチレン）	グループ2A
Diethyl sulfate	ジエチル硫酸	グループ2A
Dimethyl sulfate	ジメチル硫酸	グループ2A
Epichlorohydrin	エピクロルヒドリン	グループ2A
Ethylene dibromide	二臭化エチレン	グループ2A
N-Ethyl-N-nitrosourea	N-エチル-N-ニトロソウレア	グループ2A
Etoposide	エトポシド	グループ2A
Glycidol	グリシドール	グループ2A
Human papillomavirus type 31	ヒト-パピローマウイルス31型	グループ2A
Human papillomavirus type 33	ヒト-パピローマウイルス33型	グループ2A
Indium phosphide	リン化インジウム	グループ2A
2-Amino-3-methylimidazo[4,5-f]quinoline, IQ	2-アミノ-3-メチルイミダゾ(4,5-f)キノリン	グループ2A
Lead compounds, inorganic	無機鉛化合物	グループ2A
Kaposi's sarcoma herpesvirus/human herpesvirus 8	カポジ肉腫ヘルペスウイルス	グループ2A
5-Methoxypsoralen	5-メトキシプソラレン	グループ2A
Methyl methanesulfonate	メタンスルホン酸メチル	グループ2A
N-Methyl-N´-nitro-N-nitrosoguanidine, MNNG	N-メチル-N'-ニトロ-N-ニトロソグアニジン	グループ2A
N-Methyl-N-nitrosourea	N-メチルニトロソウレア	グループ2A
6-Nitrochrysene	6-ニトロクリセン	グループ2A
Nitrogen mustard	ナイトロジェンマスタード	グループ2A
1-Nitropyrene	1-ニトロピレン	グループ2A
N-Nitrosodiethylamine	N-ニトロソジエチルアミン	グループ2A
2-Nitrotoluene	2-ニトロトルエン	グループ2A
N-Nitrosodimethylamine	N-ニトロソジメチルアミン	グループ2A
Phenacetin	フェナセチン	グループ2A
Procarbazine hydrochloride	プロカルバジン塩酸塩	グループ2A
1,3-Propane sultone	1,3-プロパンスルトン	グループ2A
Silicon carbide, whiskers	炭化ケイ素	グループ2A
Styrene-7,8-oxide	スチレンオキシド	グループ2A
Teniposide	テニポシド	グループ2A
Tetrachloroethylene	テトラクロロエチレン	グループ2A
Tetrafluoroethylene	テトラフルオロエチレン	グループ2A
ortho-Toluidine	オルトトルイジン	グループ2A
1,2,3-Trichloropropane	1,2,3-トリクロロプロパン	グループ2A
Tris(2,3-dibromopropyl) phosphate	リン酸トリス(2,3-ジブロモプロピル)	グループ2A
Ultraviolet radiation A	紫外線A	グループ2A
Ultraviolet radiation B	紫外線B	グループ2A
Ultraviolet radiation C	紫外線C	グループ2A
Vinyl bromide	臭化ビニル	グループ2A
Vinyl fluoride	フッ化ビニル	グループ2A
Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing	瀝青	グループ2A
Creosotes (from coal-tars)	クレオソート油	グループ2A
occupational exposures in spraying and application of	非ヒ素系殺虫剤 (Non-arsenical insecticides)	グループ2A
Art glass, glass containers and pressed ware, manufacture of	工芸ガラス製造に従事	グループ2A
