# 安衛法 有機溶剤（則別表第6の2）と、表示対象物質・通知対象物質（則別表第2）の対応。
#
# LOLI の有機溶剤の一覧には号番号が入っていないため、番号では突き合わせられない。
# 有機溶剤はほぼすべて表示・通知の対象でもあるので、そちらに結び付いたCASを引いてくる。
#
# 書き方が違うものだけをここに書く。同じ書き方のもの（24件）は自動で結び付く。
# 左が有機溶剤の号番号、右が則別表第2 側の法文物質名（そのままの表記）。
2	イソブチルアルコール及び１－ブタノール
8	エチレングリコールモノ－ノルマル－ブチルエーテル（別名ブチルセロソルブ）
10	ジクロロベンゼン（パラ－ジクロロベンゼンを除く。）
13	クロロベンゼン
19	酢酸ブチル
20	酢酸プロピル
21	酢酸ペンチル（別名酢酸アミル）
28	１，２－ジクロロエチレン
30	Ｎ，Ｎ－ジメチルホルムアミド
35	１，１，１－トリクロロエタン
39	ヘキサン
40	イソブチルアルコール及び１－ブタノール
41	ターシャリ－ブタノール及び２－ブタノール
47	メチル－ノルマル－ブチルケトン
49	コールタールナフサ
54	ミネラルスピリット（ミネラルシンナー、ペトロリウムスピリット、ホワイトスピリット及びミネラルターペンを含む。）
# 次の4件は則別表第2に載っていないため、引いてくる先がない。
#   3  イソプロピルアルコール
#   15 酢酸イソブチル
#   16 酢酸イソプロピル
#   17 酢酸イソペンチル（別名酢酸イソアミル）
