1-001	0	Zinc and its compounds	亜鉛及びその化合物
1-002	0	Acrylamide	アクリルアミド
1-003	0	Ethyl acrylate	アクリル酸エチル
1-004	0	2-Hydroxyethyl acrylate	アクリル酸２-ヒドロキシエチル
1-005	0	Methyl acrylate	アクリル酸メチル
1-007	0	Acrolein	アクロレイン
1-009	0	Acetonitrile	アセトニトリル
1-010	0	o-Anisidine	オルト-アニシジン
1-011	0	Aniline	アニリン
1-012	0	3-Amino-1H-1,2,4-triazole (synonym: Amitrole)	３-アミノ-１Ｈ-１，２，４-トリアゾール（別名アミトロール）
1-013	0	1-Allyloxy-2,3-epoxypropane	１-アリルオキシ-２，３-エポキシプロパン
1-014	0	Antimony and its compounds	アンチモン及びその化合物
1-015	0	3-Isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate	３-イソシアナトメチル-３，５，５-トリメチルシクロヘキシル＝イソシアネート
1-016	0	Isobutyraldehyde	イソブチルアルデヒド
1-017	0	Isoprene	イソプレン
1-018	0	4,4'-Isopropylidenediphenol (synonym: Bisphenol A)	４，４'-イソプロピリデンジフェノール（別名ビスフェノールＡ）
1-019	0	O-Ethyl-O-(3-methyl-4-methylthiophenyl) N-isopropylaminophosphonate (synonym: Fenamiphos)	Ｎ-イソプロピルアミノホスホン酸Ｏ-エチル-Ｏ-（３-メチル-４-メチルチオフェニル）（別名フェナミホス）
1-020	0	Isopropenylbenzene (synonym: .alpha.-Methylstyrene)	イソプロペニルベンゼン（別名：α-メチルスチレン）
1-021	0	Indium and its compounds	インジウム及びその化合物
1-022	0	Indeno[1,2,3-cd]pyrene	インデノ［１，２，３-ｃｄ］ピレン
1-023	0	2-Ethylhexanoic acid	２-エチルヘキサン酸
1-024	0	Ethylbenzene	エチルベンゼン
1-025	0	Ethyleneimine	エチレンイミン
1-026	0	Ethylene glycol monoethyl ether acetate (synonym: 2-Ethoxyethyl acetate)	エチレングリコールモノエチルエーテルアセテート（別名：酢酸２-エトキシエチル）
1-027	0	Ethylenediamine	エチレンジアミン
1-028	0	Ethylenediaminetetraacetic acid	エチレンジアミン四酢酸
1-029	0	2-Ethoxyethanol (synonym: Ethylene glycol monoethyl ether)	２-エトキシエタノール（別名：エチレングリコールモノエチルエーテル）
1-030	0	Epichlorohydrin	エピクロロヒドリン
1-031	0	1,2-Epoxybutane	１，２-エポキシブタン
1-032	0	2,3-Epoxy-1-propanol	２，３-エポキシ-１-プロパノール
1-033	0	2,3-Epoxypropyl phenyl ether	２，３-エポキシプロピル＝フェニルエーテル
1-034	0	Allyl chloride (synonym: 3-Chloropropene)	塩化アリル（別名：３-クロロプロペン）
1-035	0	Ferric chloride	塩化第二鉄
1-036	0	Chlorinated paraffin (C10-13)	塩化パラフィン（炭素数が１０から１３までのもの及びその混合物に限る）
1-038	0	Benzyl chloride	塩化ベンジル
1-040	0	1-Octanol	１-オクタノール
1-041	0	Catechol (synonym: Pyrocatechol)	カテコール（別名：ピロカテコール）
1-042	0	.epsilon.-Caprolactam	イプシロン-カプロラクタム
1-043	0	Xylene	キシレン
1-044	0	Quinoline	キノリン
1-045	0	Silver and its compounds	銀及びその化合物
1-046	0	Glyoxal	グリオキサール
1-047	0	Chrysene (synonym: Benzo[a]phenanthrene)	クリセン（別名：ベンゾ［ａ］フェナントレン）
1-048	0	Glutaraldehyde	グルタルアルデヒド
1-049	0	Chromium and its compounds	クロム及びその化合物
1-050	0	Chloroaniline	クロロアニリン
1-051	0	Chloroacetic acid	クロロ酢酸
1-052	0	1-Chloro-2,4-dinitrobenzene	１-クロロ-２，４-ジニトロベンゼン
1-053	0	Chlorodibromomethane (synonym: Dibromochloromethane)	クロロジブロモメタン（別名：ジブロモクロロメタン）
1-054	0	p-Chloronitrobenzene (synonym: p-Nitrochlorobenzene)	パラ-クロロニトロベンゼン（別名：パラ-ニトロクロロベンゼン）
1-055	0	(RS)-1-p-Chlorophenyl-4,4-dimethyl-3-(1H-1,2,4-triazol-1-ylmethyl)pentan-3-ol (synonym: Tebuconazole)	（ＲＳ）-１-パラ-クロロフェニル-４，４-ジメチル-３-（１Ｈ-１，２，４-トリアゾール-１-イルメチル）ペンタン-３-オール（別名テブコナゾール）
1-056	0	2-Chloropropionic acid	2-クロロプロピオン酸
1-057	0	Chlorobenzene	クロロベンゼン
1-059	0	3-Chloro-2-methylpropene	３-クロロ-２-メチル-１-プロペン
1-060	0	Cobalt and its compounds	コバルト及びその化合物
1-061	0	Vinyl acetate	酢酸ビニル
1-062	0	2-Methoxyethyl acetate (synonym: Ethylene glycol monomethyl ether acetate)	酢酸２-メトキシエチル（別名：エチレングリコールモノメチルエーテルアセテート）
1-064	0	Propylene oxide (synonym: 1,2-Epoxypropane)	酸化プロピレン（別名：１，２-エポキシプロパン）
1-065	0	Cyanamide	シアナミド
1-066	0	2,4-Diaminoanisole	２，４-ジアミノアニソール
1-067	0	4,4'-Diaminodiphenyl ether	４，４'-ジアミノジフェニルエーテル
1-068	0	Inorganic cyanide compounds (except complex salts and cyanates)	無機シアン化合物（錯塩及びシアン酸塩を除く。）
1-069	0	2-(Diethylamino)ethanol	２-（ジエチルアミノ）エタノール
1-070	0	Carbon tetrachloride	四塩化炭素
1-071	0	1,4-Dioxane	１，４-ジオキサン
1-072	0	1,3-Dioxolane	１，３-ジオキソラン
1-073	0	Cyclohexylamine	シクロヘキシルアミン
1-075	0	1,1-Dichloroethylene (synonym: Vinylidene dichloride)	１，１-ジクロロエチレン（別名：塩化ビニリデン）
1-076	0	cis-1,2-Dichloroethylene	ｃｉｓ-１，２-ジクロロエチレン
1-077	0	trans-1,2-Dichloroethylene	ｔｒａｎｓ-１，２-ジクロロエチレン
1-078	0	Dichloroacetic acid	ジクロル酢酸
1-079	0	1,2-Dichloro-4-nitrobenzene	１，２-ジクロロ-４-ニトロベンゼン
1-080	0	1,4-Dichloro-2-nitrobenzene	１，４-ジクロロ-２-ニトロベンゼン
1-081	0	1,2-Dichloropropane	１，２-ジクロロプロパン
1-082	0	Dichlorobromomethane (synonym: Bromodichloromethane)	ジクロロブロモメタン（別名：ブロモジクロロメタン）
1-083	0	o-Dichlorobenzene	オルト-ジクロロベンゼン
1-084	0	p-Dichlorobenzene	パラ-ジクロロベンゼン
1-086	0	Dinitrotoluene	ジニトロトルエン
1-087	0	1,6-Dinitropyrene	１，６-ジニトロピレン
1-088	0	1,8-Dinitropyrene	１，８-ジニトロピレン
1-089	0	Divinylbenzene	ジビニルベンゼン
1-090	0	Dibenzo[a,h]acridine	ジベンゾ［ａ，ｈ］アクリジン
1-091	0	Dibenzo[a,j]acridine	ジベンゾ［ａ，ｊ］アクリジン
1-092	0	Dibenz[a,h]anthracene	ジベンゾ[a,h]アントラセン
1-093	0	7H-Dibenzo[c,g]carbazole	７Ｈ-ジベンゾ［ｃ，ｇ］カルバゾール
1-094	0	Dibenzo[a,e]pyrene	ジベンゾ［ａ，ｅ］ピレン
1-095	0	Dibenzo[a,h]pyrene	ジベンゾ［ａ，ｈ］ピレン
1-096	0	Dibenzo[a,i]pyrene	ジベンゾ［ａ，ｉ］ピレン
1-097	0	Dibenzo[a,l]pyrene	ジベンゾ［ａ，ｌ］ピレン
1-098	0	N,N-Dimethylacetamide	Ｎ，Ｎ-ジメチルアセトアミド
1-099	0	2,6-Dimethylaniline	２，６-ジメチルアニリン
1-100	0	Dimethylamine	ジメチルアミン
1-101	0	Dimethyl disulfide	ジメチルジスルフィド
1-102	0	Dimethyl 2,2,2-trichloro-1-hydroxyethylphosphonate (synonym: Trichlorfon or DEP)	ジメチル＝２，２，２-トリクロロ-１-ヒドロキシエチルホスホナート（別名：トリクロルホン又はＤＥＰ）
1-103	0	1,1-Dimethylhydrazine	１，１-ジメチルヒドラジン
1-104	0	3,3'-Dimethylbiphenyl-4,4'-diyl diisocyanate	３，３'-ジメチルビフェニル-４，４'-ジイル＝ジイソシアネート
1-105	0	N,N-Dimethylformamide	Ｎ，Ｎ-ジメチルホルムアミド
1-106	0	Brominated biphenyls, Br2-5 or their mixtures	臭素化ビフェニル（臭素数が２から５までのもの及びその混合物に限る。）
1-107	0	Water-soluble salts of bromic acid	臭素酸の水溶性塩
1-109	0	Hydrogenated terphenyls	水素化テルフェニル
1-110	0	Organic tin compounds	有機スズ化合物
1-111	0	Styrene	スチレン
1-112	0	Selenium and its compounds	セレン及びその化合物
1-114	0	Thallium and its compounds	タリウム及びその化合物
1-115	0	Thiourea	チオ尿素
1-116	0	Thiophenol	チオフェノール
1-117	0	O,O-Diethyl O-2-isopropyl-6-methyl-4-pyrimidinyl phosphorothioate (synonym: Diazinon)	チオりん酸Ｏ，Ｏ-ジエチル-Ｏ-（２-イソプロピル-６-メチル-４-ピリミジニル）（別名：ダイアジノン）
1-118	0	O,O-Dimethyl O-3-methyl-4-nitrophenyl phosphorothioate (synonym: Fenitrothion or MEP)	チオりん酸Ｏ，Ｏ-ジメチル-Ｏ-（３-メチル-４-ニトロフェニル）（別名：フェニトロチオン又はＭＥＰ）
1-119	0	Decabromodiphenyl ether	デカブロモジフェニルエーテル
1-120	0	1,3,5,7-Tetraazatricyclo[3.3.1.1(3,7)]decane (synonym: Hexamethylenetetramine)	１，３，５，７-テトラアザトリシクロ［３．３．１．１（３，７）］デカン（別名ヘキサメチレンテトラミン）
1-121	0	1,1,2,2-Tetrachloroethane	1,1,2,2-テトラクロロエタン
1-123	0	2,3,5,6-Tetrachloro-p-benzoquinone	２，３，５，６-テトラクロロ-パラ-ベンゾキノン
1-124	0	Tetrahydromethylphthalic anhydride	テトラヒドロメチル無水フタル酸
1-125	0	Tetramethylthiuram disulfide (synonym: Thiram)	テトラメチルチウラムジスルフィド（別名：チウラム又はチラム）
1-126	0	Terephthalic acid	テレフタル酸
1-127	0	Dimethyl terephthalate	テレフタル酸ジメチル
1-128	0	Copper and its compounds	銅及びその化合物
1-129	0	Triethylamine	トリエチルアミン
1-130	0	Triethylenetetramine	トリエチレンテトラミン
1-131	0	1,1,2-Trichloroethane	１，１，２-トリクロロエタン
1-133	0	Trichloroacetic acid	トリクロル酢酸
1-134	0	2,4,6-Trichloro-1,3,5-triazine	２，４，６-トリクロロ-１，３，５-トリアジン
1-135	0	2,4,6-Trichlorophenol	２，４，６-トリクロロフェノール
1-136	0	1,2,3-Trichloropropane	１，２，３-トリクロロプロパン
1-137	0	1,2,4-Trichlorobenzene	１，２，４-トリクロロベンゼン
1-138	0	o-Tolidine (synonym: 3,3'-Dimethylbenzidine)	オルト-トリジン（別名：３，３'-ジメチルベンジジン）
1-139	0	1,3,5-Tris(2,3-epoxypropyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione	１，３，５-トリス（２，３-エポキシプロピル）-１，３，５-トリアジン-２，４，６（１Ｈ，３Ｈ，５Ｈ）-トリオン
1-140	0	Toluidine	トルイジン
1-142	0	Toluenediamine	トルエンジアミン
1-143	0	Toluenediisocyanate (synonym: Tolylene diisocyanate)	ジイソシアネート（別名：トリレンジイソシアネート）
1-144	0	Naphthalene	ナフタレン
1-145	0	1,5-Naphthalenediyl diisocyanate	１，５-ナフタレンジイル＝ジイソシアネート
1-146	0	Zirconium dichloride oxide	二塩化酸化ジルコニウム
1-147	0	Ethylene dibromide (synonym: 1,2-Dibromoethane or EDB)	二臭化エチレン（別名：１，２-ジブロモエタン又はＥＤＢ）
1-148	0	Nickel and its compounds	ニッケル及びその化合物
1-149	0	o-Nitroanisole	オルト-ニトロアニソール
1-150	0	o-Nitroaniline	オルト-ニトロアニリン
1-151	0	N-Nitrosodiethylamine	Ｎ-ニトロソジエチルアミン
1-152	0	N-Nitrosodi-n-butylamine	Ｎ-ニトロソジ-ｎ-ブチルアミン
1-153	0	N-Nitrosodi-n-propylamine	Ｎ-ニトロソジ-ｎ-プロピルアミン
1-154	0	N-Nitrosodimethylamine	Ｎ-ニトロソジメチルアミン
1-155	0	N-Nitroso-N-methylurea	Ｎ-ニトロソ-Ｎ-メチル尿素
1-156	0	N-Nitrosomorpholine	Ｎ-ニトロソモルホリン
1-157	0	o-Nitrotoluene	オルト-ニトロトルエン
1-158	0	1-Nitropyrene	１-ニトロピレン
1-159	0	3-Nitrofluoranthene	３-ニトロフルオランテン
1-160	0	2-Nitrofluorene	２-ニトロフルオレン
1-161	0	3-Nitrobenzanthrone	３-ニトロベンズアントロン
1-162	0	Nitrobenzene	ニトロベンゼン
1-163	0	Nitromethane	ニトロメタン
1-164	0	Carbon disulfide	二硫化炭素
