1-001	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (synonym: DDT)
1-002	Benzo[a]pyrene
1-003	Urethane
1-004	1,2,3,4,5,6-Hexachlorocyclohexane (synonym: Lindane)
1-005	1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-exo-1,4-endo-5,8-dimethanonaphthalene (synonym: Dieldrin)
1-006	N,N-Dimethylnitrosoamine
1-007	1-Naphthyl N-methylcarbamate (synonym: Carbaril)
1-008	Diethyl sulfate
1-009	Methyl methanesulfonate
1-010	N,N-Dimethylformamide
1-011	1,1,1-Trichloroethane
1-012	Vinyl fluoride
1-013	Acetaldehyde
1-014	Dimethyl sulfate
1-015	Acrylamide
1-016	Dimethylcarbamoyl chloride
1-017	2-Nitropropane
1-018	Pentachlorophenol
1-019	2-Nitrotoluene
1-020	Biphenyl
1-021	4-Chloro-ortho-toluidin
1-022	2,4-Toluenediamine (synonym: 2,4-Diaminotoluene)
1-023	Phenyloxirane (synonym: Styrene oxide)
1-024	1,2,3-Trichloropropane
1-025	Methyl acrylate
1-026	2-Methyl-4-(2-tolylazo)aniline (synonym: 2-Aminoazotoluene)
1-027	Benzylidyne trichloride
1-028	Benzylidene dichloride
1-029	Benzyl chloride
1-030	Phenylhydrazine
1-031	4,4'-Methylenedianiline
1-032	4,4'-Diaminodiphenyl ether
1-033	2-(Chloromethyl)oxirane (synonym: Epichlorohydrin)
1-034	1,2-Dibromoethane (synonym: EDB)
1-035	1,3-Butadiene
1-036	Acrylonitrile
1-037	Vinyl acetate
1-038	Tetrafluoroethylene
1-039	2,4,6-Trinitrotoluene
1-040	2,4-Dinitrotoluene
1-041	O,O-Dimethyl S-1,2-bis(ethoxycarbonyl)ethyl dithiophosphate (synonym: Malathion)
1-042	Tris(2,3-dibromopropyl) phosphate
1-043	N,N-Dimethylacetamide
1-044	Benzo[e]fluoranthene
1-045	Hydrazine
1-046	1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-exo-1,4-endo-5,8-dimethanonaphthalene (synonym: Aldrin)
1-047	Diazomethane
1-048, 1-049	Silicon carbide
1-050	Bis(2-chloroethyl) sulfide (synonym: Mustard gas)
1-051	Cadmium carbonate
1-052	1,2-Dimethylhydrazine
1-053	Cadmium cyanide
1-054	Cadmium acetate
1-055	2,3-Epoxy-1-propanol
1-056	Lead cyanide
1-057	Bromoethylene
1-058	Lead carbonate
1-059	2,4-Diaminoanisole
1-060	1,4-Dichloro-2-butene
1-061	4,4'-Diamino-3,3'-dimethyldiphenylmethane (synonym: 4,4'-Methylenedi-o-toluidine, 4,4'-Methylenebis(2-methylaniline))
1-062	Lead stearate
1-063	1,2-Oxathiolane 2,2-dioxide (synonym: 1,3-Propane sultone)
1-064	Gallium arsenide (synonym: Gallium arsenic)
1-065	Cadmium oxide
1-066	Cadmium sulfide
1-067	Crystalline silica (tripoli)
1-068	Basic lead acetate
1-069	Polychlorobiphenyl
1-070	Dibasic lead phosphite
1-071	2,3,7,8-Tetrachlorodibenzo-1,4-dioxin
1-072	Cadmium stearate
1-073	N-(1,1,2,2-Tetrachloroethylthio)-1,2,3,6-tetrahydrophthalimide (synonym: Captafol)
1-074	n-Butyl 2,3-epoxypropyl ether
1-075	Cadmium laurate
1-076	4-Chloro-2-methylaniline hydrochloride
1-077	Cadmium
1-078	Lead sulfate
1-079	Silica (silicon dioxide containing crystalline and amorphous)
1-080	Lead fluoride
1-081	Arsine (synonym: Hydrogen arsenide)
1-082	Cadmium bromide
1-083	Cadmium chloride (5/2hydrate)
1-084	Cadmium(II) iodide
1-085	Cadmium sulfate (octahydrate)
1-086	Hydrazine monohydrate
1-087	Creosote oil
1-088	Neutral lubricating base oil
1-089	Cadmium nitrate, tetrahydrate
1-090	Lead silicate
1-091	Cadmium chloride
1-092	Cadmium sulfate
1-093	Cadmium nitrate
1-094	Calcium plumbate
1-095	Lead titanate
1-096	Tribasic lead sulfate
1-097	Cadmium selenide sulfide
1-098	Erionite
1-099	Lead azide
1-100	Lead antimonate
1-101	Decabromobiphenyl (synonym: Polybromobiphenyl)
1-102	Lead bis(tetrafluoroborate)
1-103	Crystalline silica (cristobalite)
1-104	Lead borate
1-105	Crystalline silica (quartz)
1-106	Crystalline silica (tridymite)
1-107	{5-[(4'-((2,6-Hydroxy-3-((2-hydroxy-5-sulfophenyl)azo)phenyl)azo)(1,1'-biphenyl)-4-yl)azo]salicylato(4-)}copper(2-) disodium salt (synonym: C.I. Direct Brown 95)
1-108	Lead hydroxide
1-109	Cadmium hydroxide
1-110	Dinitrotoluene (mixture of isomers)
1-111	Lead hexafluorosilicate
1-112	Octabromobiphenyl (synonym: Polybromobiphenyl)
1-113	Dicopper(II) tetrasodium 3,3'-[(3,3'-dimethoxy-1,1'-biphenyl-4,4'-diyl)bis(azo)]bis(5-amino-4-hydroxy-2,7-naphthalenedisulfonate) (synonym: C.I. Direct Blue 218)
1-114	Hexabromobiphenyl (synonym: Polybromobiphenyl)
1-115	Dibasic lead stearate
1-116	R-2,3-Epoxy-1-propanol
1-117	Polybromobiphenyl (Fire Master BP-6 (Polybrominated biphenyl mixture (Br5-7)) and Fire Master FF-1 (2% Calcium polysilicate (anti-caking) added Fire Master BP-6))
1-118	Creosote oil
1-119	Diatomite (containing >=0.1% Crystalline silica)
1-120	Petroleum distillates
1-121	Shale oils
1-122	Dibasic lead sulfite
2-001	Cyclophosphamide anhydride
2-002	Bis(2-chloroethyl)methylamine (synonym: Nitrogen mustard)
2-003	Thiotepa
2-004	1,3,5(10)-Estratrien-3-ol-17-one (synonym: Estrone)
2-005	Dibenzo[a,h]anthracene
2-006	N-Nitrosodiethylamine
2-007	Busulfan
2-008	Diethylstilboestrol
2-009	2,2-Dichloro-N-[2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]acetamide (synonym: Chloramphenicol)
2-010	4'-Ethoxyacetanilide
2-011	N-Methyl-N'-nitro-N-nitrosoguanidine
2-012	1,1-Dichloro-2,2-bis(4-chlorophenyl)ethane (synonym: p,p'-DDD)
2-013	1,1-Bis(4-chlorophenyl)-2,2-dichloroethene (synonym: p,p'-DDE)
2-014	Trichloroacetaldehyde (synonym: Chloral)
2-015	Tetrabromobisphenol A
2-016	ortho-Nitrochlorobenzene
2-017	1,4-Dichloro-2-nitrobenzene
2-018	Quinoline
2-019	4-Allyl-1,2-dimethoxybenzene
2-020	p-Chloro-.alpha.,.alpha.,.alpha.-trifluorotoluene
2-021	p-Methoxynitrobenzene (synonym: p-Nitroanisole)
2-022	4,4'-Methylenebis(N,N-dimethylaniline)
2-023	2,3-Epoxypropyl methacrylate
2-024	Anthracene
2-025	3-Amino-N-ethylcarbazole
2-026	Ammonium N-nitrosophenylhydroxylamine (synonym: Cupferron)
2-027	Melphalan
2-028	2-Mercaptobenzothiazole
2-029	1,3-Bis(2-chloroethyl)-1-nitrosourea (synonym: Carmustine)
2-030	Dibenzo[a,j]acridine
2-031	9-Methoxy-7H-furo[3,2-g][1]benzopyran-7-one (synonym: 8-Methoxypsoralen)
2-032	Chloral hydrate
2-033	Chlorambucil
2-034	5-Azacytidine
2-035	Azathioprine
2-036	4-Methoxyfuro[3,2-g]chromen-7-one (synonym: Bergapten)
2-037	N,N-Bis(2-chloroethyl)-2-naphthylamine
2-038	Quinoline hydrochloride
2-039	Uranyl acetate
2-040	[4-{Bis(4-dimethylaminophenyl)methylene}-2,5-cyclohexadien-1-ylidene]dimethylammonium chloride (synonym: C.I. Basic Violet 3, Crystal Violet)
2-041	2,6-Dinitrotoluene
2-042	2,4-Dichloro-1-nitrobenzene (synonym: 1-Chloro-2-nitrobenzene)
2-043	N-Methyl-N-nitrosourea
2-044	N-Ethyl-N-nitrosourea
2-045	Aflatoxin
2-046	Disodium 4-amino-3-[4'-(2,4-diaminophenylazo)-1,1'-biphenyl-4-ylazo]-5-hydroxy-6-phenylazo-2,7-naphthalene disulfonate (synonym: C.I. Direct Black 38)
2-047	Thorium oxalate
2-048	6,6'-(Biphenyl-4,4'-diylbisazo)bis(disodium 4-amino-5-hydroxy-2,7-naphthalenedisulfonate) (synonym: Direct Blue 6)
