1-001	1081843-15-3
1-001	50-29-3
1-002	50-32-8
1-002	819804-28-9
1-003	121382-27-2
1-003	51-79-6
1-004	25897-48-7
1-004	53529-37-6
1-004	55963-79-6
1-004	58-89-9
1-004	8007-42-9
1-004	8073-23-2
1-005	12622-75-2
1-005	17301-10-9
1-005	3039-00-7
1-005	33648-22-5
1-005	59029-57-1
1-005	60-57-1
1-006	62-75-9
1-007	11095-11-7
1-007	11130-47-5
1-007	1392204-77-1
1-007	51274-03-4
1-007	52001-89-5
1-007	63-25-2
1-008	182115-04-4
1-008	64-67-5
1-008	98503-29-8
1-008	UN1594
1-009	66-27-3
1-010	114057-15-7
1-010	15175-63-0
1-010	15175-77-6
1-010	33513-42-7
1-010	68-12-2
1-011	71-55-6
1-011	74552-83-3
1-011	UN2831
1-012	75-02-5
1-012	UN1860
1-013	1632-89-9
1-013	75-07-0
1-013	UN1089
1-014	139443-72-4
1-014	15199-43-6
1-014	62086-97-9
1-014	77-78-1
1-014	98478-67-2
1-014	UN1595
1-015	1198293-68-3
1-015	122775-19-3
1-015	79-06-1
1-015	UN2074
1-016	342009-25-0
1-016	79-44-7
1-016	UN2262
1-017	104306-46-9
1-017	79-46-9
1-018	101802-54-4
1-018	1135443-67-2
1-018	39390-77-7
1-018	87-86-5
1-018	UN3155
1-019	57158-05-1
1-019	88-72-2
1-020	1135443-72-9
1-020	1486-01-7
1-020	56481-93-7
1-020	72931-46-5
1-020	92-52-4
1-021	95-69-2
1-022	12236-56-5
1-022	85898-88-0
1-022	95-80-7
1-022	UN1709
1-023	20780-53-4
1-023	20780-54-5
1-023	62497-63-6
1-023	67253-49-0
1-023	96-09-3
1-024	96-18-4
1-025	102256-29-1
1-025	1254182-69-8
1-025	96-33-3
1-025	UN1919
1-026	28676-13-3
1-026	97-56-3
1-027	98-07-7
1-027	UN2226
1-028	98-87-3
1-028	UN1886
1-029	100-44-7
1-029	UN1738
1-030	100-63-0
1-030	1057722-40-3
1-030	UN2572
1-031	101-77-9
1-031	120859-32-7
1-031	136601-30-4
1-031	148263-71-2
1-031	28602-61-1
1-031	83712-44-1
1-031	UN2651
1-032	101-80-4
1-032	121509-79-3
1-032	928208-61-1
1-033	106-89-8
1-033	109351-74-8
1-033	13403-37-7
1-033	36250-81-4
1-033	51594-55-9
1-033	67843-74-7
1-033	9009-12-5
1-033	UN2023
1-034	106-93-4
1-034	22581-63-1
1-034	56729-21-6
1-034	625084-37-9
1-034	8003-07-4
1-034	UN1605
1-035	106-99-0
1-035	1213224-27-1
1-035	130983-70-9
1-035	183592-61-2
1-036	1006710-56-0
1-036	107-13-1
1-036	1197872-06-2
1-036	1221168-60-0
1-036	1309882-90-3
1-036	29754-21-0
1-036	63908-52-1
1-036	769126-92-3
1-036	769134-66-9
1-036	UN1093
1-037	106139-40-6
1-037	108-05-4
1-037	172702-77-1
1-037	220713-36-0
1-037	61891-42-7
1-037	82041-23-4
1-037	85306-26-9
1-037	UN1301
1-038	116-14-3
1-038	9014-83-9
1-038	UN1081
1-039	118-96-7
1-040	121-14-2
1-041	11096-67-6
1-041	11130-60-2
1-041	121-75-5
1-041	12737-19-8
1-041	12767-62-3
1-041	141263-96-9
1-041	75513-83-6
1-042	1228931-66-5
1-042	126-72-7
1-042	1867-14-7
