10099-74-8	Present//
10099-76-0	Present//
11120-22-2	Present//
12676-62-9	Present//
1311-11-1	Present//
15347-57-6	Present//
19783-14-3	Present//
2508-97-6	Present//
3687-31-8	Present//
39345-91-0	Present//
598-63-0	Present//
7428-48-0	Present//
7439-92-1	Present//
7446-14-2	Present//
7758-97-6	Present//
7784-40-9	Present//
Lead acetate	Present//
Lead arsenate	Present//
Lead borate	Present//
Lead carbonate	Present//
Lead chloride	Present//
Lead chromate	Present//
Lead oxide	Present//
Lead silicate	Present//
Lead stearate	Present//
Lead sulfate	Present//
Lead titanate	Present//
RR-19231-4	Present//
