1320-37-2	1320-37-2
26523-64-8	1320-39-4
26523-64-8	26523-64-8
26523-64-8	29463-70-5
75-69-4	62185-70-0
75-69-4	75-69-4
75-69-4	79620-41-0
75-69-4	83589-40-6
75-69-4	91315-61-6
75-71-8	1256919-17-1
75-71-8	185009-39-6
75-71-8	62185-71-1
75-71-8	75-71-8
75-71-8	UN1028
76-15-3	12770-91-1
76-15-3	76-15-3
76-15-3	UN1020
Dichlorotetrafluoroethane	374-07-2
Dichlorotetrafluoroethane	76-14-2
Dichlorotetrafluoroethane	UN1958
Trichlorotrifluoroethane	354-58-5
Trichlorotrifluoroethane	39349-94-5
Trichlorotrifluoroethane	56996-61-3
Trichlorotrifluoroethane	57762-34-2
Trichlorotrifluoroethane	59948-56-0
Trichlorotrifluoroethane	76-13-1
