134237-31-3	Pentachlorotrifluoropropanes
135401-87-5	Heptachlorofluoropropane
28109-69-5	Trichloropentafluoropropane
28605-74-5	Ethane, tetrachlorodifluoro-
29255-31-0	Tetrachlorotetrafluoropropane
30143-46-5	Chloroheptafluoropropane
354-56-3	Pentachlorofluoroethane
42560-98-5	Dichlorohexafluoropropane
75-72-9	Chlorotrifluoromethane
76564-99-3	Hexachlorodifluoropropane
Chloroheptafluoropropane	Chloroheptafluoropropane
Dichlorohexafluoropropane	Dichlorohexafluoropropane
Heptachlorofluoropropane	Heptachlorofluoropropane
Hexachlorodifluoropropane	Hexachlorodifluoropropane
Pentachlorotrifluoropropane	Pentachlorotrifluoropropane
Tetrachlorodifluoroethane	Tetrachlorodifluoroethane
Tetrachlorotetrafluoropropane	Tetrachlorotetrafluoropropane
Trichloropentafluoropropane	Trichloropentafluoropropane
