134237-31-3	134237-31-3
135401-87-5	135401-87-5
28109-69-5	28109-69-5
28109-69-5	812-30-6
28605-74-5	28605-74-5
29255-31-0	149329-29-3
29255-31-0	29255-31-0
30143-46-5	30143-46-5
354-56-3	29756-45-4
354-56-3	354-56-3
42560-98-5	42560-98-5
75-72-9	1519044-52-0
75-72-9	185009-43-2
75-72-9	75-72-9
75-72-9	UN1022
76564-99-3	76564-99-3
Chloroheptafluoropropane	422-86-6
Chloroheptafluoropropane	76-18-6
Dichlorohexafluoropropane	1652-80-8
Dichlorohexafluoropropane	2729-28-4
Dichlorohexafluoropropane	661-97-2
Dichlorohexafluoropropane	662-01-1
Heptachlorofluoropropane	422-78-6
Heptachlorofluoropropane	422-81-1
Hexachlorodifluoropropane	134452-44-1
Hexachlorodifluoropropane	1599-44-6
Hexachlorodifluoropropane	1645-71-2
Hexachlorodifluoropropane	3182-26-1
Hexachlorodifluoropropane	661-96-1
Pentachlorotrifluoropropane	1599-43-5
Pentachlorotrifluoropropane	1652-74-0
Pentachlorotrifluoropropane	1652-89-7
Pentachlorotrifluoropropane	2354-05-4
Pentachlorotrifluoropropane	2354-06-5
Pentachlorotrifluoropropane	60285-54-3
Tetrachlorodifluoroethane	76-11-9
Tetrachlorodifluoroethane	76-12-0
Tetrachlorotetrafluoropropane	2268-44-2
Tetrachlorotetrafluoropropane	2268-45-3
Tetrachlorotetrafluoropropane	2268-46-4
Tetrachlorotetrafluoropropane	2354-04-3
Tetrachlorotetrafluoropropane	3175-64-2
Tetrachlorotetrafluoropropane	677-68-9
Trichloropentafluoropropane	1599-41-3
Trichloropentafluoropropane	1652-81-9
Trichloropentafluoropropane	4259-43-2
Trichloropentafluoropropane	76-17-5
