110587-14-9	13
116867-32-4	15
127404-11-9	32
127564-83-4	23
127564-90-3	26
127564-91-4	17
127564-92-5	18
130879-71-9	04
1330-45-6	10
134190-48-0	20
134190-49-1	25
134190-50-4	28
134190-51-5	29
134190-52-6	30
134190-53-7	33
134190-54-8	34
134237-35-7	14
134237-36-8	15
134237-39-1	21
134237-40-4	22
134237-41-5	24
134237-42-6	26
134237-43-7	27
134237-44-8	31
134237-45-9	32
1717-00-6	11-1
25167-88-8	11
25497-29-4	12
25915-78-0	09
26588-23-8	31
27154-33-2	08
2837-89-0	07-1
28987-04-4	19
29470-95-9	16
306-83-2	06-1
34077-87-7	06
422-56-0	18-1
507-55-1	18-2
593-70-4	03
61623-04-9	22
63938-10-3	07
75-43-4	01
75-45-6	02
75-68-3	12-1
Chlorodifluoroethane	12
Chlorodifluoropropane	33
Chlorofluoroethane	13
Chlorofluoropropane	34
Chlorohexafluoropropane	19
Chloropentafluoropropane	24
Chlorotetrafluoroethane	07
Chlorotrifluoroethane	10
Chlorotrifluoropropane	31
Dichlorodifluoroethane	09
Dichlorodifluoropropane	30
Dichlorofluoroethane	11
Dichlorofluoropropane	32
Dichloropentafluoropropane	18
Dichlorotetrafluoropropane	23
Dichlorotrifluoroethane	06
Dichlorotrifluoropropane	27
Hexachlorofluoropropane	14
Pentachlorodifluoropropane	15
Pentachlorofluoropropane	20
Tetrachlorodifluoropropane	21
Tetrachlorofluoroethane	04
Tetrachlorofluoropropane	25
Tetrachlorotrifluoropropane	16
Trichlorodifluoroethane	05
Trichlorodifluoropropane	26
Trichlorofluoroethane	08
Trichlorofluoropropane	29
Trichlorotetrafluoropropane	17
Trichlorotrifluoropropane	22
