110587-14-9	110587-14-9
116867-32-4	116867-32-4
127404-11-9	127404-11-9
127564-83-4	127564-83-4
127564-90-3	127564-90-3
127564-91-4	127564-91-4
127564-92-5	127564-92-5
130879-71-9	130879-71-9
1330-45-6	1330-45-6
134190-48-0	134190-48-0
134190-49-1	134190-49-1
134190-50-4	134190-50-4
134190-51-5	134190-51-5
134190-52-6	134190-52-6
134190-53-7	134190-53-7
134190-54-8	134190-54-8
134237-35-7	134237-35-7
134237-35-7	29470-94-8
134237-36-8	134237-36-8
134237-39-1	134237-39-1
134237-40-4	134237-40-4
134237-41-5	134237-41-5
134237-42-6	1224873-71-5
134237-42-6	134237-42-6
134237-43-7	134237-43-7
134237-44-8	134237-44-8
134237-45-9	134237-45-9
134237-45-9	RR-211367-9
1717-00-6	1717-00-6
25167-88-8	25167-88-8
25497-29-4	25497-29-4
25497-29-4	27175-71-9
25497-29-4	58561-84-5
25915-78-0	25915-78-0
26588-23-8	26588-23-8
27154-33-2	27154-33-2
2837-89-0	2837-89-0
2837-89-0	UN1021
28987-04-4	28987-04-4
29470-95-9	29470-95-9
306-83-2	306-83-2
34077-87-7	34077-87-7
34077-87-7	90454-18-5
422-56-0	422-56-0
507-55-1	507-55-1
593-70-4	593-70-4
61623-04-9	61623-04-9
63938-10-3	63938-10-3
75-43-4	39289-28-6
75-43-4	75-43-4
75-43-4	UN1029
75-45-6	134191-96-1
75-45-6	191542-01-5
75-45-6	73666-77-0
75-45-6	75-45-6
75-45-6	UN1018
75-68-3	65762-25-6
75-68-3	75-68-3
75-68-3	UN2517
Chlorodifluoroethane	338-64-7
Chlorodifluoroethane	338-65-8
Chlorodifluoroethane	55949-44-5
Chlorodifluoropropane	102738-79-4
Chlorodifluoropropane	151771-13-0
Chlorodifluoropropane	362631-59-2
Chlorodifluoropropane	37161-81-2
Chlorodifluoropropane	420-99-5
Chlorodifluoropropane	421-02-3
Chlorodifluoropropane	430-93-3
Chlorodifluoropropane	430-96-6
Chlorodifluoropropane	83124-57-6
Chlorofluoroethane	1615-75-4
Chlorofluoroethane	762-50-5
Chlorofluoroethane	76543-13-0
Chlorofluoroethane	86658-70-0
Chlorofluoropropane	20372-78-5
Chlorofluoropropane	420-44-0
Chlorofluoropropane	430-46-6
Chlorofluoropropane	430-55-7
Chlorofluoropropane	462-38-4
Chlorohexafluoropropane	134308-72-8
Chlorohexafluoropropane	359-58-0
Chlorohexafluoropropane	422-55-9
Chlorohexafluoropropane	422-57-1
Chlorohexafluoropropane	431-87-8
Chlorohexafluoropropane	51346-64-6
Chloropentafluoropropane	108662-83-5
Chloropentafluoropropane	134251-06-2
Chloropentafluoropropane	144429-90-3
Chloropentafluoropropane	162102-07-0
Chloropentafluoropropane	230956-35-1
Chloropentafluoropropane	28103-66-4
Chloropentafluoropropane	422-02-6
Chloropentafluoropropane	460-92-4
Chloropentafluoropropane	677-55-4
Chloropentafluoropropane	679-99-2
Chloropentafluoropropane	874114-77-9
Chlorotetrafluoroethane	117970-90-8
Chlorotetrafluoroethane	149329-28-2
Chlorotetrafluoroethane	149329-29-3
Chlorotetrafluoroethane	149447-91-6
Chlorotetrafluoroethane	149448-09-9
Chlorotetrafluoroethane	151771-09-4
Chlorotetrafluoroethane	19041-02-2
Chlorotetrafluoroethane	2730-64-5
Chlorotetrafluoroethane	354-25-6
Chlorotetrafluoroethane	421-73-8
Chlorotetrafluoroethane	421-75-0
Chlorotetrafluoroethane	67406-66-0
Chlorotetrafluoroethane	679-85-6
Chlorotrifluoroethane	421-04-5
Chlorotrifluoroethane	431-07-2
Chlorotrifluoroethane	75-88-7
Chlorotrifluoroethane	UN1983
Chlorotrifluoropropane	121612-65-5
Chlorotrifluoropropane	134251-05-1
Chlorotrifluoropropane	149329-30-6
Chlorotrifluoropropane	151771-11-8
Chlorotrifluoropropane	151771-12-9
Chlorotrifluoropropane	421-47-6
Chlorotrifluoropropane	460-35-5
Chlorotrifluoropropane	56758-54-4
Chlorotrifluoropropane	69202-10-4
Chlorotrifluoropropane	70192-76-6
Chlorotrifluoropropane	83124-56-5
Dichlorodifluoroethane	1649-08-7
Dichlorodifluoroethane	1842-05-3
Dichlorodifluoroethane	31153-51-2
Dichlorodifluoroethane	33489-30-4
Dichlorodifluoroethane	33579-37-2
Dichlorodifluoroethane	431-06-1
Dichlorodifluoroethane	471-43-2
Dichlorodifluoroethane	55949-45-6
