1224854-28-7	1.7//ODP
128035-10-9	0.1//ODP
1438279-26-5	0.7//ODP
1450926-36-9	3.3//ODP
1511-62-2	0.74//ODP
1868-53-7	1.00//ODP
20705-29-7	1.5//ODP
30283-90-0	1.2//ODP
30283-91-1	1.6//ODP
31392-96-8	1.5//ODP
353-93-5	0.8//ODP
357188-74-0	1.1//ODP
373-52-4	0.73//ODP
420-92-8	1.6//ODP
65291-92-1	0.7//ODP
72101-30-5	0.8//ODP
958807-68-6	7.5//ODP
Bromodifluoroethane	1.1//ODP
Bromodifluoropropane	0.8//ODP
Bromofluoroethane	0.1//ODP
Bromofluoropropane	0.7//ODP
Bromohexafluoropropane	3.3//ODP
Bromopentafluoropropane	14//ODP
Bromotetrafluoroethane	1.2//ODP
Bromotetrafluoropropane	4.4//ODP
Bromotrifluoroethane	1.6//ODP
Bromotrifluoropropane	0.8//ODP
Dibromodifluoroethane	1.5//ODP
Dibromodifluoropropane	1.0//ODP
Dibromofluoroethane	1.7//ODP
Dibromofluoropropane	0.4//ODP
Dibromopentafluoropropane	2.0//ODP
Dibromotetrafluoropropane	7.5//ODP
Dibromotrifluoroethane	1.6//ODP
Dibromotrifluoroethane	1.8//ODP
Dibromotrifluoropropane	2.5//ODP
Hexabromofluoropropane	1.5//ODP
Pentabromodifluoropropane	1.9//ODP
Pentabromofluoropropane	1.9//ODP
RR-09007-3	0.8//ODP
RR-09008-4	1.8//ODP
RR-09014-2	1.5//ODP
RR-09015-3	1.9//ODP
RR-09016-4	1.8//ODP
RR-09017-5	2.2//ODP
RR-09018-6	2.0//ODP
RR-09019-7	3.3//ODP
RR-09020-0	1.9//ODP
RR-09021-1	2.1//ODP
RR-09022-2	5.6//ODP
RR-09023-3	7.5//ODP
RR-09024-4	14//ODP
RR-09025-5	1.9//ODP
RR-09026-6	3.1//ODP
RR-09027-7	2.5//ODP
RR-09409-7	4.4//ODP
RR-09410-0	0.3//ODP
RR-09411-1	1.0//ODP
RR-09413-3	0.4//ODP
RR-09414-4	0.8//ODP
RR-22879-5	1.1//ODP
Tetrabromodifluoropropane	2.1//ODP
Tetrabromofluoroethane	0.8//ODP
Tetrabromofluoropropane	1.9//ODP
Tetrabromotrifluoropropane	1.8//ODP
Tribromodifluoroethane	1.8//ODP
Tribromodifluoropropane	3.1//ODP
Tribromofluoroethane	1.1//ODP
Tribromofluoropropane	0.3//ODP
Tribromotetrafluoropropane	2.2//ODP
Tribromotrifluoropropane	5.6//ODP
