100-01-6	p-Nitroaniline
100-25-4	p-Dinitrobenzene
100-37-8	2-(Diethylamino)ethanol
100-51-6	Benzyl alcohol
100-61-8	N-Methylaniline
100-63-0	Phenylhydrazine
100-74-3	N-Ethylmorpholine
101-54-2	N-Phenyl-1,4-benzenediamine
101-68-8	Methylenebis(4,1-phenylene) diisocyanate (synonym: 4,4'-MDI)
101-77-9	4,4'-Methylenedianiline
101-83-7	Dicyclohexylamine
102-81-8	2-(Di-n-butylamino)ethanol
1024-57-3	1,4,5,6,7,8,8-Heptachloro-2,3-epoxy-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene (synonym: Heptachlor epoxide)
104-94-9	p-Anisidine
106-42-3	p-Xylene
106-44-5	p-Cresol
106-47-8	p-Chloroaniline
106-49-0	p-Toluidine
106-87-6	4-Oxiranyl-1,2-epoxycyclohexane
106-88-7	1,2-Epoxybutane (synonym: 1,2-Butylene oxide)
106-89-8	2-(Chloromethyl)oxirane (synonym: Epichlorohydrin)
106-91-2	2,3-Epoxypropyl methacrylate
106-92-3	1-Allyloxy-2,3-epoxypropane (synonym: Allyl glycidyl ether)
106-93-4	1,2-Dibromoethane (synonym: EDB)
106-95-6	3-Bromo-1-propene
107-02-8	Acrolein
107-05-1	Allyl chloride
107-07-3	Ethylene chlorohydrin
107-11-9	Allylamine
107-15-3	Ethylenediamine
107-18-6	Allyl alcohol
107-19-7	2-Propyn-1-ol
107-21-1	Ethylene glycol
107-22-2	Glyoxal
107-31-3	Methyl formate
107-49-3	Tetraethyl pyrophosphate (synonym: TEPP)
107-66-4	Di-n-butyl phosphate
108-03-2	1-Nitropropane
108-11-2	4-Methyl-2-pentanol
108-38-3	m-Xylene
108-39-4	m-Cresol
108-42-9	Chloroaniline (synonym: 3-Chloroaniline)
108-44-1	m-Toluidine
108-45-2	m-Phenylenediamine
108-69-0	3,5-Dimethylaniline
108-70-3	1,3,5-Trichlorobenzene
108-88-3	Toluene
108-93-0	Cyclohexanol
108-94-1	Cyclohexanone
108-98-5	Thiophenol
109-73-9	n-Butylamine
109-79-5	1-Butanethiol
109-86-4	Ethylene glycol monomethyl ether
109-89-7	Diethylamine
109-99-9	Tetrahydrofuran
110-49-6	Ethylene glycol monomethyl ether acetate
110-54-3	Hexane
110-80-5	Ethylene glycol monoethyl ether
110-86-1	Pyridine
110-91-8	Morpholine
11070-44-3	Tetrahydromethylphthalic anhydride
111-15-9	Ethylene glycol monoethyl ether acetate (synonym: 2-Ethoxyethyl acetate or Cellosolve acetate)
111-40-0	N-(2-Aminoethyl)-1,2-ethanediamine (synonym: Diethylenetriamine)
111-42-2	2,2'-Iminodiethanol
111-44-4	Bis(2-chloroethyl) ether
111-69-3	Adiponitrile
111-76-2	Ethylene glycol monobutyl ether (synonym: Butylcellosolve)
111-96-6	Diethylene glycol dimethyl ether
1116-54-7	N-Nitrosodiethanolamine
111988-49-9	Thiacloprid
112-07-2	Ethylene glycol monobutyl ether acetate (synonym: 2-Butoxyethyl acetate or EGBEA)
115-29-7	6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepin-3-oxide (synonym: Endosulfan)
115-90-2	O,O-Diethyl O-[4-(methylsulfinyl)phenyl] phosphorothioate (synonym: Fensulfothion)
117-81-7	Bis(2-ethylhexyl) phthalate
118-74-1	Hexachlorobenzene
118-96-7	2,4,6-Trinitrotoluene
119-12-0	O,O-Diethyl-O-(6-oxo-1-phenyl-1,6-dihydro-3-pyridazinyl) thiophosphate
119-38-0	Isolan
120-80-9	Catechol (synonym: Pyrocatechol)
121-44-8	Triethylamine
121-69-7	N,N-Dimethylaniline
121-75-5	O,O-Dimethyl-S-1,2-bis(ethoxycarbonyl)ethyl dithiophosphate (synonym: Malathion)
121-82-4	Hexahydro-1,3,5-trinitro-1,3,5-triazine
122-14-5	O,O-Dimethyl O-(3-methyl-4-nitrophenyl) thiophosphate (synonym: Fenitrothion)
122-60-1	2,3-Epoxypropyl phenyl ether (synonym: Phenyl glycidyl ether)
123-31-9	Hydroquinone
123-39-7	N-Methylformamide
123-54-6	Acetylacetone (synonym: 2,4-Pentanedione)
123-73-9	Crotonaldehyde (synonym: (E)-2-Butenal)
126-73-8	Tri-n-butyl phosphate
126-98-7	Methacrylonitrile
126-99-8	2-Chloro-1,3-butadiene (synonym: Chloroprene)
127-00-4	1-Chloro-2-propanol
127-19-5	N,N-Dimethylacetamide
1300-73-8	Xylidine
13071-79-9	Terbufos
1319-77-3	Cresol
13194-48-4	Ethoprophos
1321-64-8	Pentachloronaphthalene
1321-65-9	Trichloronaphthalene
1330-20-7	Xylene
1331-22-2	Methylcyclohexanone (mixture of isomers)
1335-87-1	Hexachloronaphthalene
13463-41-7	2-Pyridinethiol-1-oxide, zinc salt (synonym: Zinc pyrithione)
1402-68-2	Aflatoxin
141-66-2	(E)-1-(N,N-Dimethylcarbamoyl)-1-propen-2-yl dimethyl phosphate (synonym: Dicrotophos)
143-50-0	Chlordecone
1477-55-0	m-Xylylenediamine
14977-61-8	Chromium(VI) oxychloride (synonym: Chromyl chloride)
156-62-7	Calcium cyanamide
1569-02-4	Propylene glycol ethyl ether (synonym: 1-Ethoxy-2-propanol)
16752-77-5	S-Methyl N-(methylcarbamoyloxy)thioacetimidate
1763-23-1	Perfluoro(octane-1-sulfonic acid)
17702-41-9	Decaborane
189-55-9	Dibenzo[a,i]pyrene
189-64-0	Dibenzo[a,h]pyrene
1910-42-5	1,1'-Dimethyl-4,4'-bipyridinium dichloride (synonym: Paraquat)
193-39-5	Indeno[1,2,3-cd]pyrene
205-82-3	Benzo[j]fluoranthene
205-99-2	Benzo[e]fluoranthene
207-08-9	Benzo[k]fluoranthene
2074-50-2	Paraquat dimethyl sulfate
2104-64-5	O-Ethyl O-(4-nitrophenyl) phenylphosphonothioate (synonym: EPN)
218-01-9	Chrysene
22224-92-6	O-Ethyl-O-(3-methyl-4-methylthiophenyl) N-isopropylaminophosphonate (synonym: Fenamiphos)
2234-13-1	Octachloronaphthalene
22781-23-3	2,2-Dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate (synonym: Bendiocarb)
2425-06-1	N-(1,1,2,2-Tetrachloroethylthio)-1,2,3,6-tetrahydrophthalimide (synonym: Captafol)
2426-08-6	n-Butyl 2,3-epoxypropyl ether
2431-50-7	2,3,4-Trichloro-1-butene
25154-54-5	Dinitrobenzene (mixed isomers)
2528-36-1	Di(n-butyl) phenyl phosphate
25321-14-6	Dinitrotoluene (mixed isomers)
26530-20-1	2-n-Octyl-4-isothiazolin-3-one
26628-22-8	Sodium azide
26952-21-6	Isooctanol
2807-30-9	2-Propoxyethanol
2921-88-2	O,O-Diethyl O-(3,5,6-trichloro-2-pyridyl) phosphorothioate (synonym: Chlorpyrifos)
297-78-9	Isobenzan (synonym: Telodrin)
297-97-2	Thionazin
298-00-0	Dimethyl p-nitrophenyl phosphorothioate (synonym: Methyl parathion)
298-02-2	O,O-Diethyl S-ethylthiomethyl phosphorodithioate (synonym: Phorate)
298-04-4	O,O-Diethyl S-2-(ethylthio)ethyl phosphorodithioate (synonym: Disulfoton)
300-76-5	Phosphoric acid, 1,2-dibromo-2,2-dichloroethyl dimethyl ester
302-01-2	Hydrazine
309-00-2	1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-exo-1,4-endo-5,8-dimethanonaphthalene (synonym: Aldrin)
31242-93-0	Chlorinated diphenyl oxide
333-29-9	Diethyl-(1,3-dithiocyclopentylidene)-thiophosphoramide
333-41-5	O,O-Diethyl O-(2-isopropyl-6-methyl-4-pyrimidinyl) phosphorothioate (synonym: Diazinon)
3333-52-6	Tetramethylsuccinonitrile
335-67-1	Perfluorooctanoic acid
3383-96-8	Temephos
34590-94-8	Dipropylene glycol monomethyl ether
351-05-3	Monofluoroaceto-p-bromoanilide
35400-43-2	O-Ethyl O-4-(methylthio)phenyl S-n-propyl phosphorodithioate
3689-24-5	O,O,O,O-Tetraethyl oxybis(thiophosphonate) (synonym: Sulfotep)
3766-81-2	2-sec-Butylphenyl N-methylcarbamate
3811-73-2	Sodium 1-oxo-1l.ambda.(5)-pyridine-2-thiolate
3825-26-1	Ammoniumpentadeca-fluorooctanoate
4170-30-3	2-Butenal (synonym: Crotonaldehyde (mixture of (E)-2-Butenal and (Z)-2-Butenal))
420-04-2	Cyanamide
431-03-8	Diacetyl
4685-14-7	1,1'-Dimethyl-4,4'-bipyridinium (synonym: Paraquat)
470-90-6	Chlorfenvinphos
50-32-8	Benzo[a]pyrene
505-60-2	Bis(2-chloroethyl) sulfide (synonym: Mustard gas)
51-75-2	Bis(2-chloroethyl)methylamine (synonym: Nitrogen mustard)
52-51-7	2-Bromo-2-nitropropane-1,3-diol (synonym: Bronopol)
5216-25-1	p-(Trichloromethyl)chlorobenzene (synonym: p-Chlorobenzotrichloride)
528-29-0	o-Dinitrobenzene
53-70-3	Dibenz[a,h]anthracene
534-52-1	4,6-Dinitro-o-cresol
5392-40-5	3,7-Dimethyl-2,6-octadienal (synonym: Citral)
54-11-5	3-(1-Methyl-2-pyrrolidinyl)pyridine (synonym: Nicotine)
542-75-6	1,3-Dichloropropene
55-18-5	N-Nitrosodiethylamine
