100-01-6	>=1/wt%/
100-25-4	>=1/wt%/
100-37-8	>=1/wt%/
100-51-6	>=1/wt%/
100-61-8	>=1/wt%/
100-63-0	>=0.1/wt%/
100-74-3	>=1/wt%/
101-54-2	>=1/wt%/
101-68-8	>=1/wt%/
101-77-9	>=0.1/wt%/
101-83-7	>=1/wt%/
102-81-8	>=1/wt%/
1024-57-3	>=0.3/wt%/
104-94-9	>=1/wt%/
106-42-3	>=1/wt%/
106-44-5	>=1/wt%/
106-47-8	>=0.1/wt%/
106-49-0	>=1/wt%/
106-87-6	>=0.1/wt%/
106-88-7	>=1/wt%/
106-89-8	>=0.1/wt%/
106-91-2	>=0.1/wt%/
106-92-3	>=1/wt%/
106-93-4	>=0.1/wt%/
106-95-6	>=1/wt%/
107-02-8	>=0.1/wt%/
107-05-1	>=0.1/wt%/
107-07-3	>=1/wt%/
107-11-9	>=1/wt%/
107-15-3	>=1/wt%/
107-18-6	>=1/wt%/
107-19-7	>=1/wt%/
107-21-1	>=1/wt%/
107-22-2	>=1/wt%/
107-31-3	>=1/wt%/
107-49-3	>=1/wt%/
107-66-4	>=1/wt%/
108-03-2	>=1/wt%/
108-11-2	>=1/wt%/
108-38-3	>=1/wt%/
108-39-4	>=1/wt%/
108-42-9	>=1/wt%/
108-44-1	>=1/wt%/
108-45-2	>=1/wt%/
108-69-0	>=1/wt%/
108-70-3	>=1/wt%/
108-88-3	>=0.3/wt%/
108-93-0	>=1/wt%/
108-94-1	>=1/wt%/
108-98-5	>=1/wt%/
109-73-9	>=0.3/wt%/
109-79-5	>=1/wt%/
109-86-4	>=0.3/wt%/
109-89-7	>=1/wt%/
109-99-9	>=1/wt%/
110-49-6	>=0.3/wt%/
110-54-3	>=1/wt%/
110-80-5	>=0.3/wt%/
110-86-1	>=1/wt%/
110-91-8	>=1/wt%/
11070-44-3	>=1/wt%/
111-15-9	>=0.3/wt%/
111-40-0	>=0.3/wt%/
111-42-2	>=1/wt%/
111-44-4	>=1/wt%/
111-69-3	>=1/wt%/
111-76-2	>=1/wt%/
111-96-6	>=0.3/wt%/
1116-54-7	>=0.1/wt%/
111988-49-9	>=0.3/wt%/
112-07-2	>=1/wt%/
115-29-7	>=1/wt%/
115-90-2	>=1/wt%/
117-81-7	>=0.3/wt%/
118-74-1	>=0.3/wt%/
118-96-7	>=0.1/wt%/
119-12-0	>=1/wt%/
119-38-0	>=1/wt%/
120-80-9	>=0.1/wt%/
121-44-8	>=1/wt%/
121-69-7	>=1/wt%/
121-75-5	>=0.1/wt%/
121-82-4	>=1/wt%/
122-14-5	>=1/wt%/
122-60-1	>=1/wt%/
123-31-9	>=0.1/wt%/
123-39-7	>=0.3/wt%/
123-54-6	>=1/wt%/
123-73-9	>=0.1/wt%/
126-73-8	>=1/wt%/
126-98-7	>=1/wt%/
126-99-8	>=1/wt%/
127-00-4	>=1/wt%/
127-19-5	>=0.1/wt%/
1300-73-8	>=1/wt%/
13071-79-9	>=1/wt%/
1319-77-3	>=1/wt%/
13194-48-4	>=0.1/wt%/
1321-64-8	>=1/wt%/
1321-65-9	>=1/wt%/
1330-20-7	>=0.3/wt%/
1331-22-2	>=1/wt%/
1335-87-1	>=1/wt%/
13463-41-7	>=0.3/wt%/
1402-68-2	>=0.1/wt%/
141-66-2	>=0.3/wt%/
143-50-0	>=1/wt%/
1477-55-0	>=1/wt%/
14977-61-8	>=0.1/wt%/
156-62-7	>=1/wt%/
1569-02-4	>=1/wt%/
16752-77-5	>=1/wt%/
1763-23-1	>=0.3/wt%/
17702-41-9	>=1/wt%/
189-55-9	>=0.1/wt%/
189-64-0	>=0.1/wt%/
1910-42-5	>=1/wt%/
193-39-5	>=1/wt%/
205-82-3	>=0.1/wt%/
205-99-2	>=0.1/wt%/
207-08-9	>=0.1/wt%/
2074-50-2	>=1/wt%/
2104-64-5	>=1/wt%/
218-01-9	>=0.1/wt%/
22224-92-6	>=1/wt%/
2234-13-1	>=1/wt%/
22781-23-3	>=1/wt%/
2425-06-1	>=0.1/wt%/
2426-08-6	>=0.1/wt%/
2431-50-7	>=1/wt%/
25154-54-5	>=1/wt%/
2528-36-1	>=1/wt%/
25321-14-6	>=0.1/wt%/
26530-20-1	>=1/wt%/
26628-22-8	>=1/wt%/
26952-21-6	>=1/wt%/
2807-30-9	>=1/wt%/
2921-88-2	>=1/wt%/
297-78-9	>=1/wt%/
297-97-2	>=1/wt%/
298-00-0	>=1/wt%/
298-02-2	>=1/wt%/
298-04-4	>=1/wt%/
300-76-5	>=1/wt%/
302-01-2	>=0.1/wt%/
309-00-2	>=0.1/wt%/
31242-93-0	>=1/wt%/
333-29-9	>=1/wt%/
333-41-5	>=0.3/wt%/
3333-52-6	>=1/wt%/
335-67-1	>=0.3/wt%/
3383-96-8	>=1/wt%/
34590-94-8	>=1/wt%/
351-05-3	>=1/wt%/
35400-43-2	>=1/wt%/
3689-24-5	>=1/wt%/
3766-81-2	>=1/wt%/
3811-73-2	>=1/wt%/
3825-26-1	>=0.3/wt%/
4170-30-3	>=0.1/wt%/
420-04-2	>=1/wt%/
431-03-8	>=1/wt%/
4685-14-7	>=1/wt%/
470-90-6	>=1/wt%/
50-32-8	>=0.1/wt%/
505-60-2	>=0.1/wt%/
51-75-2	>=0.1/wt%/
52-51-7	>=1/wt%/
5216-25-1	>=0.1/wt%/
528-29-0	>=1/wt%/
53-70-3	>=0.1/wt%/
534-52-1	>=1/wt%/
5392-40-5	>=1/wt%/
54-11-5	>=1/wt%/
542-75-6	>=1/wt%/
55-18-5	>=0.1/wt%/
55-38-9	>=1/wt%/
55-63-0	>=1/wt%/
552-30-7	>=1/wt%/
556-52-5	>=0.1/wt%/
556-61-6	>=1/wt%/
56-38-2	>=1/wt%/
56-55-3	>=0.1/wt%/
56-72-4	>=1/wt%/
563-12-2	>=1/wt%/
57-74-9	>=0.3/wt%/
58-89-9	>=0.1/wt%/
582-25-2	>=1/wt%/
5827-05-4	>=1/wt%/
583-60-8	>=1/wt%/
59-89-2	>=0.1/wt%/
591-78-6	>=1/wt%/
592-01-8	>=1/wt%/
594-27-4	>=1/wt%/
598-78-7	>=1/wt%/
60-34-4	>=0.1/wt%/
60-57-1	>=0.1/wt%/
61-82-5	>=1/wt%/
615-05-4	>=0.1/wt%/
