100-02-7	p-Nitrophenol
10043-52-4	Calcium chloride
102-36-3	3,4-Dichlorophenyl isocyanate
10332-33-9	Sodium perborate monohydrate
10380-28-6	Copper bis(8-oxyquinolate) (synonym: Oxine-copper)
10486-00-7	Sodium perborate tetrahydrate
105-36-2	Ethyl bromoacetate
105-57-7	1,1-Diethoxyethane
105-64-6	Diisopropyl peroxydicarbonate
106-75-2	2,2'-Oxydiethyl bis(chloroformate)
106917-52-6	2',4-Dichloro-.alpha.,.alpha.,.alpha.-trifluoro-4'-nitro-m-toluenesulfonanilide (synonym: Flusulfamide)
107-64-2	Dimethyldioctadecylammonium chloride (synonym: DODAC)
1071-83-6	N-(Phosphonomethyl)glycine (synonym: Glyphosate)
1072-52-2	2-(1-Aziridinyl)ethanol
11138-47-9	Sodium perborate
112-02-7	Hexadecan-1-yl(trimethyl)ammonium chloride
112-75-4	N,N-Dimethyltetradecan-1-ylamine
115-19-5	3-Methyl-1-butyn-3-ol
118-75-2	2,3,5,6-Tetrachloro-p-benzoquinone
120-36-5	2-(2,4-Dichlorophenoxy)propanoic acid (synonym: Dichlorprop)
12040-72-1	Sodium salt of perboric acid, hydrate (synonym: Perboric acid, sodium salt, monohydrate)
122-39-4	Diphenylamine
122-99-6	2-Phenoxyethanol
123-03-5	Cetylpyridinium chloride
123-07-9	4-Ethylphenol
123-51-3	Isopentyl alcohol
124-04-9	Adipic acid
124-43-6	Urea peroxide
124-68-5	2-Amino-2-methylpropanol
1305-62-0	Calcium hydroxide
1305-78-8	Lime (synonym: Calcium oxide)
1305-79-9	Calcium peroxide
1306-19-0	Cadmium oxide
13121-70-5	Tricyclohexyltin hydroxide (synonym: Cyhexatin)
1338-23-4	Ethyl methyl ketone peroxide
13517-20-9	Monosodium perborate trihydrate
140-66-9	4-(2,4,4-Trimethylpentan-2-yl)phenol
143-22-6	Triethylene glycol monobutyl ether
144-62-7	Oxalic acid
14409-72-4	26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol (synonym: Nonoxynol-9 (p-form))
1478-61-1	4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bisphenol (synonym: Bisphenol AF)
151-21-3	Sodium dodecyl sulfate
15120-21-5	Monosodium perborate
1522-92-5	3-Bromo-2,2-bis(bromomethyl)propan-1-ol
155569-91-8	Emamectin benzoate
15875-13-5	1,3,5-Tris(dimethylaminopropyl)hexahydro-1,3,5-triazine
18972-56-0	Magnesium silicofluoride hexahydrate
19624-22-7	Pentaborane
2439-10-3	1-Dodecylguanidinium acetate (synonym: Dodine)
2524-03-0	O,O-Dimethyl chlorothiophosphonate
2530-83-8	2-{[3-(Trimethoxysilyl)propoxy]methyl}oxirane
2581-34-2	4-Nitro-m-cresol
27176-87-0	Dodecylbenzenesulfonic acid
301-04-2	Lead(II) acetate
307-24-4	Perfluorohexanoic acid (synonym: PFHxA)
3228-02-2	4-Isopropyl-3-methylphenol
334-48-5	Decanoic acid
35554-44-0	(RS)-1-(.beta.-Allyloxy-2,4-dichlorophenethyl) imidazole (synonym: Imazalil)
36483-57-5	3-Bromo-2,2-bis(bromomethyl)propan-1-ol
37244-98-7	Sodium perborate tetrahydrate
39148-24-8	Aluminum tris(ethyl phosphonate) (synonym: Fosetyl-aluminium)
497-19-8	Disodium carbonate
504-29-0	2-Aminopyridine
506-64-9	Silver(I) cyanide
51235-04-2	3-Cyclohexyl-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4(1H,3H)-dione (synonym: Hexazinone)
52556-42-0	Sodium 3-allyloxy-2-hydroxy-1-propanesulfonate
52829-07-9	Bis(2,2,6,6-tetramethyl-4-piperidyl) sebacate
541-42-4	Isopropyl nitrite
558-13-4	Tetrabromomethane
569-64-2	N-[4-[[4-(Dimethylamino)phenyl]phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-methylmethanaminium chloride (synonym: Malachite Green)
583-91-5	2-Hydroxy-4-methylthio-butanoic acid
584-08-7	Potassium carbonate
594-42-3	Trichloromethanesulphenyl chloride
61789-40-0	1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivatives, inner salts
61789-80-8	Bis(hydrogenated tallow)dimethylammonium chloride
622-08-2	Ethylene glycol monobenzyl ether
640-15-3	S-2-(Ethylthio)ethyl O,O-dimethyl phosphorodithioate
64440-88-6	Bis(N,N-dimethyldithiocarbamate) N,N'-ethylenebis(thiocarbamoylthiozinc)
646-06-0	1,3-Dioxolane
67375-30-8	(S)-.alpha.-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethyl-cis-cyclopropanecarboxylate
674-82-8	4-Methylideneoxetan-2-one
681-84-5	Tetramethoxysilane
7446-19-7	Zinc sulfate monohydrate
7446-20-0	Zinc sulfate heptahydrate
75-99-0	2,2-Dichloropropionic acid (synonym: Dalapon)
76-22-2	Camphor
7632-04-4	Sodium perborate
7651-02-7	N-[3-(Dimethylamino)propyl]stearamide
7681-49-4	Sodium fluoride
770-35-4	1-Phenoxy-2-propanol
7722-88-5	Tetrasodium oxybisphosphonate
7733-02-0	Zinc sulfate
7758-95-4	Lead(II) chloride
7783-47-3	Stannous fluoride
7783-79-1	Selenium(VI) fluoride
78-83-1	Isobutyl alcohol
81334-34-1	(RS)-2-(4-Isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid (synonym: Imazapyr)
814-78-8	Methyl isopropenyl ketone
818-08-6	Dibutyltin oxide
87-90-1	1,3,5-Trichloro-1,3,5-triazine-2,4,6-trione (synonym: Trichloroisocyanuric acid or Symclosene)
88-09-5	2-Ethylbutyric acid
90-05-1	2-Methoxyphenol
93-65-2	(RS)-2-(4-Chloro-o-tolyloxy)propionic acid (synonym: Mecoprop)
94-74-6	(4-Chloro-2-methylphenoxy)acetic acid
96-23-1	1,3-Dichloropropan-2-ol
97-65-4	Itaconic acid
989-38-8	9-[2-(Ethoxycarbonyl)phenyl]-3,6-bis(ethylamino)-2,7-dimethyl-10.lambda.4-xanthen-10-ylium chloride (synonym: Basic Red 1 or Rhodamine 6G)
