1-01	Dichlorobenzidine and its salts
1-03	Chlorinated biphenyls (synonym: PCB)
1-04	o-Tolidine and its salts
1-06	Beryllium and its compounds
1-07	Benzotrichloride
1120-71-4	1,3-Propanesultone
2-01	Acrylamide
2-02	Acrylonitrile
2-03	Mercury, alkyl compounds (restricted to those in which the alkyl radicals are methyl or ethyl radicals)
2-04	Ethyleneimine
2-08-2	o-Toluidine
2-09	o-Phthalodinitrile
2-11-2	Chloroform
2-16	Potassium cyanide
2-17	Hydrogen cyanide
2-18	Sodium cyanide
2-18-2	Carbon tetrachloride
2-18-3	1,4-Dioxane
2-19	3,3'-Dichloro-4,4'-diaminodiphenylmethane
2-19-3	Dichloromethane (synonym: Methylene dichloride)
2-19-4	Dimethyl 2,2-dichlorovinyl phosphate (synonym: DDVP)
2-19-5	1,1-Dimethylhydrazine
2-20	Methyl bromide
2-22	Mercury and its inorganic compounds (except Mercury sulfide)
2-22-2	Styrene
2-22-3	1,1,2,2-Tetrachloroethane (synonym: Acetylene tetrachloride)
2-22-4	Tetrachloroethylene (synonym: Perchloroethylene)
2-23	Toluene diisocyanate
2-23-2	Naphthalene
2-25	Nitroglycol
2-27	p-Nitrochlorobenzene
2-28	Hydrogen fluoride
2-30	Benzene
2-31	Pentachlorophenol (synonym: PCP) and its sodium salts, limited to Pentachlorophenol (synonym: PCP)
2-33	Manganese and its compounds (limited to Cyclopentadienyltricarbonylmanganese and 2-Methylcyclopentadienyl manganese tricarbonyl)
2-34	Methyl iodide
2-36	Dimethyl sulfate
