1-01	>1/wt%/
1-03	>1/wt%/
1-04	>1/wt%/
1-06	>1/wt%/
1-06	>3/wt%/
1-07	>0.5/wt%/
1120-71-4	>1/wt%/
2-01	>1/wt%/
2-02	>1/wt%/
2-03	>1/wt%/
2-04	>1/wt%/
2-08-2	>1/wt%/
2-09	>1/wt%/
2-11-2	>1/wt%/
2-16	>5/wt%/
2-17	>1/wt%/
2-18	>5/wt%/
2-18-2	>1/wt%/
2-18-3	>1/wt%/
2-19	>1/wt%/
2-19-3	>1/wt%/
2-19-4	>1/wt%/
2-19-5	>1/wt%/
2-20	>1/wt%/
2-22	>1/wt%/
2-22-2	>1/wt%/
2-22-3	>1/wt%/
2-22-4	>1/wt%/
2-23	>1/wt%/
2-23-2	>1/wt%/
2-25	>1/wt%/
2-27	>5/wt%/
2-28	>5/wt%/
2-30	>1/% v/v/
2-31	>1/wt%/
2-33	>1/wt%/
2-34	>1/wt%/
2-36	>1/wt%/
