005	4,5,6,7,7-Pentamethyloctan-3-ol
128	Aristolochic acid
133 (01)	Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts
133 (02)	Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts
133 (03)	Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts
135 (01)	Perfluorononan-1-oic-acid and its sodium and ammonium salts
135 (02)	Perfluorononan-1-oic-acid and its sodium and ammonium salts
135 (03)	Perfluorononan-1-oic-acid and its sodium and ammonium salts
194 (01)	Xylene
194 (02)	Xylene
194 (03)	Xylene
197	Lead acetate
250	Cobalt metal with tungsten carbide
457	Disodium diboron diperoxide tetrahydroxide
460	10-Ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoic acid 2-ethylhexyl ester
592 (01)	Heptabromodiphenyl ether
592 (02)	Heptabromodiphenyl ether
652 (01)	4-Nonylphenol, branched and linear, ethoxylated
652 (02)	4-Nonylphenol, branched and linear, ethoxylated
652 (03)	4-Nonylphenol, branched and linear, ethoxylated
652 (04)	4-Nonylphenol, branched and linear, ethoxylated
652 (05)	4-Nonylphenol, branched and linear, ethoxylated
652 (06)	4-Nonylphenol, branched and linear, ethoxylated
652 (07)	4-Nonylphenol, branched and linear, ethoxylated
652 (08)	4-Nonylphenol, branched and linear, ethoxylated
652 (09)	4-Nonylphenol, branched and linear, ethoxylated
652 (10)	4-Nonylphenol, branched and linear, ethoxylated
652 (11)	4-Nonylphenol, branched and linear, ethoxylated
652 (12)	4-Nonylphenol, branched and linear, ethoxylated
652 (13)	4-Nonylphenol, branched and linear, ethoxylated
652 (14)	4-Nonylphenol, branched and linear, ethoxylated
652 (15)	4-Nonylphenol, branched and linear, ethoxylated
652 (16)	4-Nonylphenol, branched and linear, ethoxylated
652 (17)	4-Nonylphenol, branched and linear, ethoxylated
653 (01)	4-Nonylphenol, branched and linear
653 (02)	4-Nonylphenol, branched and linear
653 (03)	4-Nonylphenol, branched and linear
653 (04)	4-Nonylphenol, branched and linear
653 (05)	4-Nonylphenol, branched and linear
653 (06)	4-Nonylphenol, branched and linear
653 (07)	4-Nonylphenol, branched and linear
653 (08)	4-Nonylphenol, branched and linear
653 (09)	4-Nonylphenol, branched and linear
653 (10)	4-Nonylphenol, branched and linear
653 (11)	4-Nonylphenol, branched and linear
653 (12)	4-Nonylphenol, branched and linear
653 (13)	4-Nonylphenol, branched and linear
661	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (01)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (02)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (03)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (04)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (05)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (06)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (07)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (08)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (09)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (10)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (11)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (12)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (13)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (14)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (15)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (16)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (17)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (18)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (19)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (20)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (21)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (22)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (23)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (24)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (25)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (26)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (27)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (28)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (29)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (30)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (31)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (32)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (33)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (34)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (35)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (36)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
661 (37)	Perfluorohexane-1-sulphonic acid and its salts (PFHxS)
668 (01)	4-heptylphenol, branched and linear
