06-4-1	0.1/%/
06-4-10	0.1/%/
06-4-11	0.1/%/
06-4-12	0.1/%/
06-4-13	0.1/%/
06-4-14	1/%/
06-4-15	1/%/
06-4-16	1/%/
06-4-17	25/%/
06-4-18	1/%/
06-4-19	0.1/%/
06-4-2	1/%/
06-4-20	1/%/
06-4-21	0.1/%/
06-4-22	1/%/
06-4-23	1/%/
06-4-24	1/%/
06-4-25	1/%/
06-4-26	1/%/
06-4-27	1/%/
06-4-28	1/%/
06-4-29	1/%/
06-4-3	1/%/
06-4-30	1/%/
06-4-31	1/%/
06-4-32	3/%/
06-4-33	0.1/%/
06-4-34	0.1/%/
06-4-35	0.1/%/
06-4-36	1/%/
06-4-37	1/%/
06-4-38	1/%/
06-4-39	1/%/
06-4-4	1/%/
06-4-40	1/%/
06-4-41	25/%/
06-4-42	1/%/
06-4-43	25/%/
06-4-44	1/%/
06-4-45	0.1/%/
06-4-46	0.005/%/
06-4-47	1/%/
06-4-48	0.1/%/
06-4-49	1/%/
06-4-5	5/%/
06-4-50	25/%/
06-4-51	1.5/%/
06-4-52	6/%/
06-4-53	1/%/
06-4-54	0.1/%/
06-4-55	50/%/
06-4-56	0.1/%/
06-4-57	0.1/%/
06-4-58	1/%/
06-4-59	0.1/%/
06-4-6	1/%/
06-4-60	1/%/
06-4-7	1/%/
06-4-8	1/%/
06-4-9	1/%/
