06-5-1	10309-95-2
06-5-1	1325-72-0
06-5-1	18015-76-4
06-5-1	2437-29-8
06-5-1	55172-50-4
06-5-1	569-64-2
06-5-1	61725-50-6
06-5-1	68083-41-0
06-5-1	68123-26-2
06-5-1	RR-43020-6
06-5-10	10022-48-7
06-5-10	10031-16-0
06-5-10	10034-82-9
06-5-10	100402-65-1
06-5-10	100468-44-8
06-5-10	10060-08-9
06-5-10	10101-75-4
06-5-10	1018900-84-9
06-5-10	10294-40-3
06-5-10	10294-52-7
06-5-10	10294-53-8
06-5-10	10588-01-9
06-5-10	1088355-13-8
06-5-10	11103-86-9
06-5-10	11115-74-5
06-5-10	11118-57-3
06-5-10	11119-70-3
06-5-10	11145-38-3
06-5-10	116565-73-2
06-5-10	116565-74-3
06-5-10	1189-85-1
06-5-10	12000-34-9
06-5-10	12007-16-8
06-5-10	12017-86-6
06-5-10	12018-09-6
06-5-10	12018-32-5
06-5-10	12213-61-5
06-5-10	12231-18-4
06-5-10	12324-05-9
06-5-10	12324-08-2
06-5-10	12433-14-6
06-5-10	12433-50-0
06-5-10	12527-08-1
06-5-10	12548-37-7
06-5-10	12656-85-8
06-5-10	12680-48-7
06-5-10	128448-04-4
06-5-10	1308-09-4
06-5-10	1308-13-0
06-5-10	1308-29-8
06-5-10	1323950-28-2
06-5-10	1328-67-2
06-5-10	1333-82-0
06-5-10	1336-14-7
06-5-10	13423-61-5
06-5-10	1344-37-2
06-5-10	1344-74-7
06-5-10	13446-72-5
06-5-10	13446-73-6
06-5-10	13453-35-5
06-5-10	13454-78-9
06-5-10	13455-25-9
06-5-10	13465-34-4
06-5-10	13473-75-1
06-5-10	13477-01-5
06-5-10	1350718-36-3
06-5-10	13517-17-4
06-5-10	13530-65-9
06-5-10	13530-67-1
06-5-10	13530-68-2
06-5-10	13548-42-0
06-5-10	13675-47-3
06-5-10	13765-19-0
06-5-10	137904-18-8
06-5-10	13843-81-7
06-5-10	13907-45-4
06-5-10	1391351-00-0
06-5-10	1391764-70-7
06-5-10	14018-95-2
06-5-10	14104-85-9
06-5-10	14216-88-7
06-5-10	14307-33-6
06-5-10	14307-35-8
06-5-10	14312-00-6
06-5-10	14445-91-1
06-5-10	14675-41-3
06-5-10	14721-18-7
06-5-10	148092-61-9
06-5-10	14977-61-8
06-5-10	15586-38-6
06-5-10	16037-50-6
06-5-10	1624-02-8
06-5-10	16565-94-9
06-5-10	16569-85-0
06-5-10	166269-55-2
06-5-10	1792172-36-1
06-5-10	181768-98-9
06-5-10	183858-81-3
06-5-10	18454-12-1
06-5-10	18540-29-9
