115-29-7	Annex I
115-32-2	Annex I
1163-19-5	Annex I
118-74-1	Annex I
118-74-1	Annex III
130498-29-2	Annex III
1336-36-3	Annex I
1336-36-3	Annex III
134237-50-6	Annex I
134237-51-7	Annex I
134237-52-8	Annex I
13560-89-9	Annex I
135821-03-3	Annex I
135821-74-8	Annex I
136677-09-3	Annex III
136677-10-6	Annex III
143-50-0	Annex I
1691-99-2	Annex I
1763-23-1	Annex I
193-39-5	Annex III
205-99-2	Annex III
207-08-9	Annex III
2385-85-5	Annex I
24448-09-7	Annex I
251099-16-8	Annex I
25637-99-4	Annex I
25973-55-1	Annex I
2795-39-3	Annex I
29081-56-9	Annex I
29457-72-5	Annex I
30667-99-3	Annex I
307-35-7	Annex I
309-00-2	Annex I
31506-32-8	Annex I
319-84-6	Annex I
319-85-7	Annex I
3194-55-6	Annex I
32534-81-9	Annex I
33213-65-9	Annex I
335-67-1	Annex I
355-46-4	Annex I
36355-01-8	Annex I
36483-60-0	Annex I
40088-47-9	Annex I
4151-50-2	Annex I
50-29-3	Annex I
50-32-8	Annex III
56773-42-3	Annex I
57-74-9	Annex I
58-89-9	Annex I
60-57-1	Annex I
608-73-1	Annex I
608-93-5	Annex I
608-93-5	Annex III
68928-80-3	Annex I
70225-14-8	Annex I
70776-03-3	Annex I
70776-03-3	Annex III
72-20-8	Annex I
72-43-5	Annex I
76-44-8	Annex I
76733-77-2	Annex I
8001-35-2	Annex I
85535-84-8	Annex I
87-68-3	Annex I
87-68-3	Annex III
87-86-5	Annex I
959-98-8	Annex I
RR-01965-8	Annex I
RR-04606-0	Annex I
RR-162331-0	Annex I
RR-168220-8	Annex I
RR-182538-3	Annex I
RR-48424-2	Annex I
RR-58032-5	Annex I
RR-64340-3	Annex I
RR-86093-5	Annex I
