115-29-7	Endosulfan
115-32-2	Dicofol
1163-19-5	Bis(pentabromophenyl) ether
118-74-1	Hexachlorobenzene
130498-29-2	Polycyclic aromatic hydrocarbons
1336-36-3	number and othersspecific exemptions on intermediate use or other specification apply to Annex I of Commission Regulation 2019/1021/EUAs Polychlorinated biphenyls
134237-50-6	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2R,5S,6R,9R,10S)-rel-
134237-51-7	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2S,5R,6R,9R,10S)-rel-
134237-52-8	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2R,5R,6S,9S,10R)-rel-
13560-89-9	Dechlorane plus
135821-03-3	1,4:7,10-Dimethanodibenzo(a,E)cyclooctene, 1,2,3,4,7,8,9,10,13,13,14,14-dodecachloro-1,4,4a,5,6,6a,7,10,10a,11,12,12a-dodecahydro-, (1R,4S,4aS,6aR,7R,10S,10aS,12aR)-rel-
135821-74-8	rel-(1R,4S,4aS,6aS,7S,10R,10aR,12aR)-1,2,3,4,7,8,9,10,13,13,14,14-Dodecachloro-1,4,4a,5,6,6a,7,10,10a,11,12,12a-dodecahydro-1,4:7,10-dimethanodibenzo[a,e]cyclooctene
136677-09-3	Polychlorinated dibenzo-p-dioxins
136677-10-6	Polychlorinated dibenzofurans
143-50-0	Kepone
1691-99-2	1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-
1763-23-1	Perfluorooctanesulfonic acid
193-39-5	a compound indicator for the purpose of emission inventoriesAs Indeno(1,2,3-cd)pyrene
205-99-2	a compound indicator for the purpose of emission inventoriesAs Benzo(b)fluoranthene
207-08-9	a compound indicator for the purpose of emission inventoriesAs Benzo(k)fluoranthene
2385-85-5	Mirex
24448-09-7	1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-
251099-16-8	Didecyldimethylammonium perfluorooctanesulfonate
25637-99-4	Hexabromocyclododecane
25973-55-1	2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphenol
2795-39-3	Perfluorooctanesulfonic acid, potassium salt
29081-56-9	Perfluorooctanesulfonic acid, ammonium salt
29457-72-5	1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, lithium salt
30667-99-3	o,p'-methoxychlor
307-35-7	1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-
309-00-2	Aldrin
31506-32-8	Perfluoro-N-methyloctanesulfonamide
319-84-6	.alpha.-HCH
319-85-7	.beta.-BHC
3194-55-6	1,2,5,6,9,10-Hexabromocyclododecane
32534-81-9	number and othersspecific exemptions on intermediate use or other specification apply to Annex I of Commission Regulation 2019/1021/EUCommission Delegated Regulation 2025/1930/EUAs Pentabromodiphenyl ether
33213-65-9	.beta.-Endosulfan
335-67-1	number and othersimportant details in Commission Delegated Regulation 2023/866/EU, Council Decision 2025/868/EUCommission Delegated Regulation 2025/718/EUCommission Delegated Regulation 2025/708/EUCommission Delegated Regulation 2025/1399/EUAs Perfluorooctanoic acid
355-46-4	1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-
36355-01-8	Hexabromobiphenyl
36483-60-0	Hexabromodiphenyl ether
