110587-14-9	HCFC-151
1224854-28-7	Dibromofluoroethane
124-73-2	Halon-2402
127564-83-4	HCFC-234
127564-92-5	HCFC-225
128035-10-9	Bromofluoroethane
134190-48-0	HCFC-231
134190-49-1	HCFC-241
134190-50-4	HCFC-244
134190-51-5	HCFC-251
134190-52-6	HCFC-252
134190-53-7	HCFC-262
134190-54-8	HCFC-271
134237-31-3	CFC-213
134237-32-4	HCFC-121
134237-34-6	HCFC-131
134237-35-7	HCFC-221
134237-36-8	HCFC-222
134237-37-9	HCFC-223
134237-38-0	HCFC-224
134237-39-1	HCFC-232
134237-40-4	HCFC-233
134237-41-5	HCFC-235
134237-42-6	HCFC-242
134237-43-7	HCFC-243
134237-44-8	HCFC-253
134237-45-9	HCFC-261
134308-72-8	HCFC-226
134452-44-1	CFC-212
135401-87-5	CFC-211
138495-42-8	HFC-43-10mee
1511-62-2	HBFC-22B1
1717-00-6	Ethane, 1,1-dichloro-1-fluoro-
1868-53-7	Dibromofluoromethane
25497-29-4	HCFC-142
25915-78-0	HCFC-132
2837-89-0	HCFC-124
29255-31-0	CFC-214
30283-90-0	Bromotetrafluoroethane
30283-91-1	Bromotrifluoroethane
306-83-2	Ethane, 2,2-dichloro-1,1,1-trifluoro-
31392-96-8	Dibromodifluoroethane
352-91-0	Propane, 1-bromo-3-fluoro-
353-54-8	Methane, tribromofluoro-
353-59-3	Halon-1211
354-21-2	HCFC-122
354-33-6	HFC-125
354-56-3	CFC-111
357188-74-0	Bromodifluoroethane
359-35-3	1,1,2,2-Tetrafluoroethane
373-52-4	Bromofluoromethane
406-58-6	HFC-365mfc
420-46-2	HFC-143a
422-56-0	3,3-Dichloro-1,1,1,2,2-pentafluoropropane
422-86-6	Propane, 1-chloro-1,1,2,2,3,3,3-heptafluoro-
4259-43-2	1,1,1-Trichloropentafluoropropane
430-57-9	1,2-Dichloro-1-fluoroethane
430-66-0	1,1,2-Trifluoroethane
431-07-2	Ethane, 1-chloro-1,2,2-trifluoro-
431-21-0	Propane, 2,3-dibromo-1,1,1-trifluoro-
431-63-0	1,1,1,2,3,3-Hexafluoropropane
431-89-0	HFC-227ea
460-73-1	HFC-245fa
507-55-1	1,3-Dichloro-1,1,2,2,3-pentafluoropropane
56-23-5	Carbon tetrachloride
593-53-3	HFC-41
593-70-4	Chlorofluoromethane
624-72-6	1,2-Difluoroethane
63905-11-3	Propane, 1-bromo-1,1,2,2,3,3-hexafluoro-
65291-92-1	Bromofluoropropane
661-97-2	Propane, 1,2-dichloro-1,1,2,3,3,3-hexafluoro-
677-56-5	1,1,1,2,2,3-Hexafluoropropane
679-86-7	1,1,2,2,3-Pentafluoropropane
690-39-1	Propane, 1,1,1,3,3,3-hexafluoro-
71-55-6	1,1,1-Trichloroethane
72101-30-5	Bromotrifluoropropane
74-83-9	Methyl bromide
74-97-5	Bromochloromethane
75-10-5	HFC-32
75-37-6	HFC-152a
75-43-4	HCFC-21
75-45-6	HCFC-22
75-46-7	HFC-23
75-63-8	Halon-1301
75-68-3	HCFC-142b
75-69-4	CFC-11
75-71-8	CFC-12
75-72-9	CFC-13
76-12-0	1,1,2,2-Tetrachloro-1,2-difluoroethane
76-13-1	CFC-113
76-14-2	CFC-114
76-15-3	CFC-115
811-97-2	HFC-134a
RR-09007-3	Tetrabromofluoroethane
RR-09008-4	Tribromodifluoroethane
RR-09009-5	Dibromotrifluoroethane
RR-09014-2	Hexabromofluoropropane
RR-09015-3	Pentabromodifluoropropane
RR-09016-4	Tetrabromotrifluoropropane
RR-09017-5	Tribromotetrafluoropropane
RR-09018-6	Dibromopentafluoropropane
RR-09019-7	Bromohexafluoropropane
RR-09020-0	Pentabromofluoropropane
RR-09021-1	Tetrabromodifluoropropane
RR-09022-2	Tribromotrifluoropropane
RR-09023-3	Dibromotetrafluoropropane
RR-09024-4	Bromopentafluoropropane
RR-09025-5	Tetrabromofluoropropane
RR-09026-6	Tribromodifluoropropane
RR-09027-7	Dibromotrifluoropropane
RR-09409-7	Bromotetrafluoropropane
RR-09410-0	Tribromofluoropropane
RR-09411-1	Dibromodifluoropropane
RR-09413-3	Dibromofluoropropane
RR-09414-4	Bromodifluoropropane
