1,2,3-cd	Indeno
100-00-5	Benzene, 1-chloro-4-nitro-
100-17-4	para-Nitroanisole
100-25-4	Benzene, 1,4-dinitro-
100-40-3	4-Vinylcyclohexene
100-41-4	Ethylbenzene
100-42-5	Styrene
100-44-7	Benzyl chloride
100-63-0	Phenylhydrazine
100-75-4	N-Nitrosopiperidine
10024-97-2	Nitrous oxide
10026-24-1	Sulfuric acid, cobalt(2+) salt (1:1), heptahydrate
10034-93-2	Hydrazine sulfate
10043-66-0	Iodine-131
10048-13-2	Sterigmatocystin
1007-28-9	1,3,5-Triazine-2,4-diamine, 6-chloro-N-ethyl-
101-14-4	4,4'-Methylenebis(2-chloroaniline)
101-61-1	4,4'-Methylenebis(N,N-dimethylbenzenamine)
101-77-9	4,4'-Methylenedianiline
101-80-4	4,4'-Diaminodiphenyl ether
101-90-6	Diglycidyl resorcinol ether
10124-43-3	Cobalt sulfate
1024-57-3	Heptachlor epoxide
103-11-7	2-Ethylhexyl acrylate
103-33-3	Azobenzene
10418-03-8	Stanozolol
10453-86-8	Resmethrin
10540-29-1	Tamoxifen
105650-23-5	PhIP
105735-71-5	3,7-Dinitrofluoranthene
10595-95-6	N-Nitrosomethylethylamine
106-46-7	p-Dichlorobenzene
106-47-8	4-Chloroaniline
106-87-6	4-Vinyl-1-cyclohexene diepoxide
106-89-8	Epichlorohydrin
106-91-2	Glycidyl methacrylate
106-93-4	Ethylene dibromide
106-94-5	1-Bromopropane
106-99-0	1,3-Butadiene
107-06-2	Ethylene dichloride
107-13-1	Acrylonitrile
107-21-1	Ethylene glycol
107-30-2	Chloromethyl methyl ether
1071-83-6	Glyphosate
107910-75-8	Ganciclovir sodium
108-05-4	Vinyl acetate
108-10-1	Methyl isobutyl ketone
108-60-1	Bis(2-chloro-1-methylethyl) ether
108-88-3	Toluene
108171-26-2	Alkanes, C10-12, chloro
109-70-6	1-Bromo-3-chloropropane
109-86-4	Ethylene glycol monomethyl ether
109-99-9	Tetrahydrofuran
110-00-9	Furan
110-13-4	2,5-Hexanedione
110-49-6	Ethylene glycol monomethyl ether acetate
110-54-3	n-Hexane
110-80-5	Ethylene glycol monoethyl ether
110-86-1	Pyridine
110235-47-7	Mepanipyrim
111-15-9	Ethylene glycol monoethyl ether acetate
111-42-2	Diethanolamine
111-44-4	Bis(2-chloroethyl) ether
111025-46-8	Pioglitazone
111406-87-2	Zileuton
1116-54-7	N-Nitrosodiethanolamine
1120-71-4	1,3-Propane sultone
1134-23-2	Cycloate
113803-47-7	MOPP
113852-37-2	Cidofovir
114-26-1	Propoxur
114466-38-5	Sermorelin acetate
115-02-6	Azaserine
115-28-6	Chlorendic acid
115-67-3	Paramethadione
115-96-8	Tris(2-chloroethyl) phosphate
116-14-3	Tetrafluoroethylene
116355-83-0	Fumonisin B1
117-10-2	Dantron
117-37-3	Anisindione
117-79-3	2-Aminoanthraquinone
117-81-7	Di(2-ethylhexyl) phthalate
1172-18-5	Flurazepam hydrochloride
118-74-1	Hexachlorobenzene
118-96-7	2,4,6-Trinitrotoluene
119-34-6	Phenol, 4-amino-2-nitro-
119-61-9	Benzophenone
119-90-4	3,3'-Dimethoxybenzidine
119-93-7	3,3'-Dimethylbenzidine
120-12-7	Anthracene
120-71-8	Benzenamine, 2-methoxy-5-methyl-
120-80-9	Catechol
120-97-8	Diclofenamide
12035-72-2	Nickel sulfide (Ni3S2)
12054-48-7	Nickel hydroxide (Ni(OH)2)
121-14-2	2,4-Dinitrotoluene
121-75-5	Malathion
121181-53-1	Filgrastim
12125-56-3	Nickel hydroxide
12126-59-9	Estrogens, conjugates
12174-11-7	Palygorskite fibers
121776-33-8	3-(Dichloroacetyl)-5-(2-furanyl)-2,2-dimethyloxazolidine
122-34-9	Simazine
122-60-1	Phenyl glycidyl ether
122-66-7	Hydrazobenzene
123-35-3	.beta.-Myrcene
123-91-1	1,4-Dioxane
123312-89-0	(E)-4,5-Dihydro-6-methyl-4(3-pyridylmethyleneamino)-1,2,4-triazin-3(2H)-one
12427-38-2	Maneb
125-02-0	Pregna-1,4-diene-3,20-dione, 11,17-dihydroxy-21-(phosphonooxy)-, disodium salt, (11.beta.)-
125-33-7	Primidone
125-84-8	Aminoglutethimide
12510-42-8	Erionite
126-07-8	Griseofulvin
126-72-7	Tris(2,3-dibromopropyl) phosphate
126-85-2	Nitrogen mustard N-oxide
