001-001-00-9	1333-74-0
001-002-00-4	16853-85-3
001-003-00-X	7646-69-7
001-004-00-5	7789-78-8
003-001-00-4	7439-93-2
003-002-00-X	21369-64-2
003-003-00-5	920-36-5
004-001-00-7	7440-41-7
004-002-00-2	RR-00557-2
004-003-00-8	1304-56-9
005-001-00-X	7637-07-2
005-002-00-5	10294-34-5
005-003-00-0	10294-33-4
005-004-00-6	RR-58674-3
005-004-01-3	RR-58675-4
005-005-00-1	121-43-7
005-006-00-7	75113-37-0
005-007-00-2	10043-35-3
005-007-00-2	11113-50-1
005-008-00-8	1303-86-2
005-009-00-3	120307-06-4
005-010-00-9	118612-00-3
005-011-00-4	12179-04-3
005-011-00-4	12267-73-1
005-011-00-4	1303-96-4
005-011-00-4	1330-43-4
005-011-00-4	13840-56-7
005-012-00-X	141714-54-7
005-013-00-5	7397-46-8
005-014-00-0	87199-17-5
005-015-00-6	140681-55-6
005-016-00-1	RR-17315-9
005-020-00-3	12008-41-2
005-020-00-3	12280-03-4
005-022-00-4	10332-33-9
005-022-00-4	11138-47-9
005-022-00-4	12040-72-1
005-022-00-4	15120-21-5
005-023-00-X	10486-00-7
005-023-00-X	13517-20-9
005-023-00-X	37244-98-7
005-023-00-X	RR-128399-4
005-024-00-5	7632-04-4
006-001-00-2	630-08-0
006-002-00-8	75-44-5
006-003-00-3	75-15-0
006-004-00-9	75-20-7
006-005-00-4	137-26-8
006-006-00-X	74-90-8
006-006-01-7	RR-07078-0
006-007-00-5	RR-04817-9
006-008-00-0	86-88-4
006-009-00-6	119-38-0
006-010-00-1	122-15-6
006-011-00-7	63-25-2
006-012-00-2	137-30-4
006-013-00-8	137-42-8
006-014-00-3	142-59-6
006-015-00-9	330-54-1
006-016-00-4	114-26-1
006-017-00-X	116-06-3
006-018-00-5	2032-59-9
006-019-00-0	2303-16-4
006-020-00-6	101-27-9
006-021-00-1	330-55-2
006-022-00-7	1563-67-3
006-023-00-2	2032-65-7
006-024-00-8	140-93-2
006-025-00-3	28434-00-6
006-025-00-3	584-79-2
006-025-00-3	84030-86-4
006-026-00-9	1563-66-2
006-028-00-X	973-21-7
006-029-00-5	6988-21-2
006-030-00-0	759-94-4
006-031-00-6	22259-30-9
006-032-00-1	1746-81-2
006-033-00-7	19937-59-8
006-034-00-2	1114-71-2
006-035-00-8	23103-98-2
006-036-00-3	1929-88-0
006-037-00-9	2631-37-0
006-038-00-4	95-06-7
006-039-00-X	2303-17-5
006-040-00-5	2532-43-6
006-041-00-0	79-44-7
006-042-00-6	150-68-5
006-043-00-1	140-41-0
006-044-00-7	34123-59-6
006-045-00-2	16752-77-5
006-046-00-8	22781-23-3
006-047-00-3	8065-36-9
006-048-00-9	29973-13-5
006-049-00-4	502-55-6
006-050-00-X	4482-55-7
006-051-00-5	14484-64-1
006-052-00-0	23422-53-9
006-053-00-6	2631-40-5
006-054-00-1	315-18-4
006-055-00-7	2425-10-7
006-056-00-2	1129-41-5
006-057-00-8	1929-82-4
006-058-00-3	2163-79-3
006-059-00-9	23135-22-0
006-060-00-4	5259-88-1
006-061-00-X	19622-19-6
006-062-00-5	1918-18-9
006-063-00-0	28249-77-6
006-064-00-6	39196-18-4
006-065-00-1	15271-41-7
006-066-00-7	1929-77-7
006-067-00-2	2655-14-3
006-068-00-8	334-88-3
006-069-00-3	23564-05-8
006-070-00-9	60568-05-0
006-071-00-4	87731-18-8
006-072-00-X	52888-80-9
006-073-00-5	31506-43-1
006-074-00-0	2094-99-7
006-076-00-1	8018-01-7
006-077-00-7	12427-38-2
006-078-00-2	12122-67-7
006-079-00-8	97-77-8
006-080-00-3	97-74-5
006-081-00-9	136-23-2
006-082-00-4	14324-55-1
006-083-00-X	34681-10-2
006-084-00-5	55285-14-8
006-085-00-0	3766-81-2
006-086-00-6	72490-01-8
006-087-00-1	65907-30-4
006-088-00-7	82560-54-1
006-090-00-8	88558-41-2
006-091-00-3	9016-72-2
006-092-00-9	98737-29-2
006-093-00-4	239446-62-9
006-094-00-X	103122-66-3
006-095-00-5	39148-24-8
006-096-00-0	101-21-3
006-097-00-6	13909-63-2
006-098-00-1	134575-17-0
006-099-00-7	232938-43-1
006-101-00-6	RR-04477-9
006-102-00-1	109202-58-6
006-103-00-7	RR-63047-7
006-104-00-2	RR-193200-9
007-001-00-5	7664-41-7
007-001-01-2	1336-21-6
007-002-00-0	10102-44-0
007-002-00-0	10544-72-6
007-003-00-6	999-81-5
007-004-00-1	7697-37-2
007-006-00-2	109-95-5
007-007-00-8	625-58-1
007-008-00-3	302-01-2
007-009-00-9	3129-91-7
007-010-00-4	7632-00-0
007-011-00-X	7758-09-0
007-012-00-5	57-14-7
007-013-00-0	540-73-8
007-014-00-6	RR-02093-9
007-015-00-1	624-86-2
007-016-00-7	544-16-1
007-017-00-2	542-56-3
007-018-00-8	924-43-6
007-019-00-3	540-80-7
007-020-00-9	110-46-3
007-020-00-9	463-04-7
007-020-00-9	RR-17568-8
007-021-00-4	122-66-7
007-022-00-X	148434-03-1
007-023-00-5	121216-78-2
007-024-00-0	36362-09-1
007-025-00-6	81880-96-8
007-026-00-1	122035-71-6
007-027-00-7	771478-66-1
007-028-00-2	13465-08-2
007-029-00-8	95500-19-9
007-030-00-3	RR-183556-9
007-031-00-9	10024-97-2
008-001-00-8	7782-44-7
008-003-00-9	7722-84-1
008-004-00-4	10028-15-6
009-001-00-0	7782-41-4
009-002-00-6	7664-39-3
009-003-00-1	RR-07083-7
009-004-00-7	7681-49-4
009-005-00-2	7789-23-3
009-006-00-8	12125-01-8
009-007-00-3	1333-83-1
009-008-00-9	7789-29-9
009-009-00-4	1341-49-7
