106602-89-5	"Class 1 Control No. 30 >=1 % (Ordinance No. 45, [n-Alkylbenzenesulfonic acid and its salts (limited to those where the alkyl group has 10 to 14 Carbon atoms and mixtures of those)])" As Dodecylbenzenesulfonic acid [27176-87-0]
19651-91-3	"Specific class 1 Control No. 75 >=0.1 % (as Cd, Ordinance No. 99, [Cadmium and its compounds])" As Cadmium compounds [RR-00559-4]
115372-66-2	"Class 1 Control No. 405 >=1 % [0.185] (as B, Ordinance No. 458, [Boron compounds])" As Boron potassium oxide (B4K2O7) [1332-77-0]
12070-92-7	"Class 1 Control No. 405 >=1 % (as B, Ordinance No. 458, [Boron compounds])" As (T-4)-Dimethylsulfane-.kappa.S-(trihydrido)boron [13292-87-0]
123616-02-4	"Class 1 Control No. 412 >=1 % (as Mn, Ordinance No. 465, [Manganese and its compounds])" As Manganese compounds [RR-00602-0]
215361-84-5	"Specific class 1 Control No. 309 >=0.1 % (as Ni, Ordinance No. 355, [Nickel compounds])" As Dinickel silicide [12059-14-2]
223508-97-2	"Class 1 Control No. 565 >=1 % (Ordinance No. 8, [Polymer of acrylic acid])" As Acrylic acid polymer [9003-01-4]
2141-27-7	"Class 1 Control No. 237 >=1 % [0.4955] (as Hg, Ordinance No. 272, [Mercury and its compounds])" As Sodium o-(ethylmercurithio)benzoate [54-64-8]
28374-38-1	"Class 1 Control No. 412 >=1 % [0.142] (as Mn, Ordinance No. 465, [Manganese and its compounds])" As Disodium manganese ethylenediaminetetraacetate [15375-84-5]
11114-30-0	"Class 1 Control No. 580 >=1 % (Ordinance No. 41, [.alpha.-Alkyl-.omega.-hydroxypoly(oxyethylene) (limited to those the where alkyl group has 9 to 11 Carbon atoms and mixtures of those, and the number average molecular weight is less than 1,000)]); Class 1 Control No. 407 >=1 % (Should meet the conditions stipulated by the Cabinet Order name, Ordinance No. 460, [Poly(oxyethylene) alkyl ether (limi
37280-17-4	"Class 1 Control No. 242 >=1 % (as Se, Ordinance No. 277, [Selenium and its compounds]); Specific class 1 Control No. 332 >=0.1 % (as As, Ordinance No. 378, [Arsenic and its inorganic compounds])" As Germanium arsenide selenide [57673-50-4]
25570-11-0	"Class 1 Control No. 257 >=1 % (Should meet the conditions stipulated by the Cabinet Order name, Ordinance No. 34, [Alkanol (limited to those with 10 Carbon atoms) (synonym: Decanol)]); Class 1 Control No. 273 >=1 % (Should meet the conditions stipulated by the Cabinet Order name, Ordinance No. 315, [1-Dodecanol (synonym: n-Dodecyl alcohol)]); Class 1 Control No. 73 >=1 % (Should meet the conditio
15910-22-2	"Class 1 Control No. 692 >=1 % (Should meet the conditions stipulated by the Cabinet Order name, Ordinance No. 343, [Mixtures of 2,4,4-trimethylpent-1-ene and 2,4,4-trimethylpent-2-ene])" As C7-9-Branched C8-rich alkenes(C7-9, C8 rich, branched chain) [97593-00-5]
132207-35-3	"Specific class 1 Control No. 33 >=0.1 % (Ordinance No. 51, [Asbestos])" As Asbestos, crocidolite [12001-28-4]
1653-37-8	"Class 1 Control No. 273 >=1 % (Should meet the conditions stipulated by the Cabinet Order name, Ordinance No. 315, [1-Dodecanol (synonym: n-Dodecyl alcohol)])" As C12-18 Alcohols [67762-25-8];
25321-34-0	"Class 1 Control No. 298 >=1 % (Ordinance No. 345, [Tolylene diisocyanate])" As Benzene, 1,3-diisocyanatomethyl- [26471-62-5]
31089-48-2	"Class 1 Control No. 704 >=1 % (Ordinance No. 373, [(T-4)-Bis[2-(thioxo-.kappa.S)-pyridin-1(2H)-olato-.kappa.O]zinc(II)])" As (T-4)-Bis[2-(thioxo-kappaS)-pyridin-1(2H)-olato-.kappa.O]zinc(II) [13463-41-7]
112764-81-5	"Class 1 Control No. 87 >=1 % (as Cr, Ordinance No. 111, [Chromium and chromium(III) compounds])" As Chromium(III) compounds [RR-03889-1]
1421233-56-8	"Specific class 1 Control No. 75 >=0.1 % (as Cd, Ordinance No. 99, [Cadmium and its compounds])" As Cadmium silicate [13477-19-5]
