2-1	1006710-56-0
2-1	107-13-1
2-1	1197872-06-2
2-1	1221168-60-0
2-1	1309882-90-3
2-1	29754-21-0
2-1	63908-52-1
2-1	769126-92-3
2-1	769134-66-9
2-1	UN1093
2-10	218625-72-0
2-10	37355-84-3
2-10	66554-50-5
2-10	7722-84-1
2-10	8007-30-5
2-10	UN2014
2-10	UN2015
2-10	UN2984
2-11	12034-12-7
2-11	1313-60-6
2-11	55248-04-9
2-11	UN1504
2-11	UN2547
2-12	12263-76-2
2-12	124-43-6
2-12	12772-89-3
2-12	1360537-36-5
2-12	37211-55-5
2-12	UN1511
2-13	13966-00-2
2-13	14378-21-3
2-13	14378-22-4
2-13	14903-02-7
2-13	15706-41-9
2-13	31079-13-7
2-13	7440-09-7
2-13	UN2257
2-14	11135-81-2
2-14	UN1422
2-14	UN3404
2-15	106-44-5
2-15	108-39-4
2-15	116804-25-2
2-15	1319-77-3
2-15	52037-47-5
2-15	8003-33-6
2-15	8006-62-0
2-15	8026-94-6
2-15	8027-16-5
2-15	95-48-7
2-15	UN2022
2-15	UN2076
2-15	UN3455
2-16	75-00-3
2-16	UN1037
2-17	127529-03-7
2-17	7790-94-5
2-17	UN1754
2-18	76-06-2
2-18	UN1580
2-19	1111-89-3
2-19	1173018-35-3
2-19	1474045-09-4
2-19	1474045-10-7
2-19	1474045-11-8
2-19	16786-44-0
2-19	74-87-3
2-19	UN1063
2-2	107-02-8
2-2	25314-61-8
2-2	UN1092
2-20	67-66-3
2-20	8013-54-5
2-20	865-49-6
2-20	UN1888
2-21	1202864-64-9
2-21	12672-67-2
2-21	1309-45-1
2-21	16961-83-4
2-21	UN1778
2-22	159334-16-4
2-22	16910-85-3
2-22	289623-50-3
2-22	64256-36-6
2-22	917-61-3
2-23	786-19-6
2-24	11137-49-8
2-24	97-17-6
2-25	2275-14-1
2-26	56-23-5
2-26	UN1846
2-27	17974-04-8
2-27	21059-09-6
2-27	4630-76-6
2-27	6399-67-3
2-27	66-81-9
2-28	42428-47-7
2-28	79-43-6
2-28	UN1764
2-29	821-10-3
2-3	100849-37-4
2-3	14545-23-4
2-3	146997-94-6
2-3	1533423-51-6
2-3	1582784-51-7
2-3	1619933-02-6
2-3	18960-62-8
2-3	37342-16-8
2-3	4165-61-1
2-3	62-53-3
2-3	7022-92-6
2-3	UN1547
2-30	78-34-2
2-31	131-89-5
2-32	2813-95-8
2-33	485-31-4
2-34	6385-62-2
2-34	85-00-7
2-35	106-93-4
2-35	22581-63-1
2-35	56729-21-6
2-35	625084-37-9
2-35	8003-07-4
2-35	UN1605
