1-1	2104-64-5
1-1	65580-79-2
1-1	65580-80-5
1-10	12167-18-9
1-10	1335-85-9
1-10	1817-66-9
1-10	37359-43-6
1-10	497-56-3
1-10	53240-95-2
1-10	534-52-1
1-10	603-03-2
1-10	609-93-8
1-10	616-73-9
1-10	63989-82-2
1-10	8068-73-3
1-10	8071-51-0
1-10	UN1598
1-11	152212-20-9
1-11	39403-80-0
1-11	88-85-7
1-12	1079803-49-8
1-12	8022-00-2
1-12	867-27-6
1-12	919-86-8
1-13	13171-21-6
1-14	298-00-0
1-14	37359-35-6
1-14	63653-66-7
1-15	123720-03-6
1-15	13981-51-6
1-15	13982-78-0
1-15	149038-91-5
1-15	15064-97-8
1-15	15116-82-2
1-15	15756-15-7
1-15	378782-04-8
1-15	378782-05-9
1-15	378782-08-2
1-15	378782-18-4
1-15	51887-47-9
1-15	7439-97-6
1-15	8030-64-6
1-15	8031-27-4
1-15	92355-34-5
1-15	92786-62-4
1-15	UN2809
1-16	11125-23-8
1-16	11133-88-3
1-16	12640-29-8
1-16	12640-30-1
1-16	12641-96-2
1-16	12733-65-2
1-16	14265-71-5
1-16	14687-60-6
1-16	15422-57-8
1-16	15422-58-9
1-16	15758-45-9
1-16	19869-93-3
1-16	37256-19-2
1-16	37258-85-8
1-16	37276-15-6
1-16	37368-02-8
1-16	378784-17-9
1-16	378784-19-1
1-16	50954-17-1
1-16	51882-60-1
1-16	7782-49-2
1-16	95788-45-7
1-17	79-19-6
1-18	107-49-3
1-19	13890-81-8
1-19	13890-82-9
1-19	16760-37-5
1-19	22083-74-5
1-19	25162-00-9
1-19	54-11-5
1-19	551-13-3
1-19	6912-85-2
1-19	74555-91-2
1-19	UN1654
1-2	12185-10-3
1-2	14596-37-3
1-2	15749-66-3
1-2	29879-37-6
1-2	7723-14-0
1-2	UN1338
1-2	UN1381
1-2	UN2447
1-20	12612-55-4
1-20	13005-31-7
1-20	13463-39-3
1-20	14875-95-7
1-20	26024-55-5
1-20	33637-76-2
1-20	33637-77-3
1-20	36252-60-5
1-20	42126-46-5
1-20	60120-57-2
1-20	71327-12-3
1-20	848779-18-0
1-21	14304-78-0
1-21	14687-61-7
1-21	14809-44-0
1-21	14809-45-1
1-21	15422-59-0
1-21	15575-20-9
1-21	15755-33-6
1-21	15755-35-8
1-21	16685-55-5
1-21	39277-51-5
1-21	55624-62-9
1-21	7440-38-2
1-21	UN1558
1-21	UN1562
1-22	32057-09-3
1-22	326604-75-5
1-22	7664-39-3
1-22	UN1052
1-22	UN1790
1-23	72-20-8
1-24	115-29-7
1-24	12640-58-3
1-24	19595-59-6
1-24	29106-31-8
1-24	33213-65-9
1-24	33213-66-0
1-24	426824-51-3
1-24	6994-04-3
1-24	8003-45-0
1-24	959-98-8
1-25	144-49-0
1-25	7574-44-9
1-25	9074-77-5
1-25	UN2642
1-26	640-19-7
1-27	12037-82-0
1-27	12066-62-5
1-27	12165-69-4
1-27	129680-27-9
1-27	1314-80-3
1-27	1314-85-8
1-27	132620-99-6
1-27	16857-09-3
1-27	337913-53-8
1-27	341007-60-1
1-27	342401-47-2
1-27	409325-03-7
1-27	62140-13-0
1-27	952005-45-7
1-27	UN1339
1-27	UN1340
1-27	UN1341
1-27	UN1343
1-3	21152-15-8
1-3	297-78-9
1-3	3212-31-5
1-4	152-16-9
1-5	8063-06-7
1-6	14846-40-3
1-6	1762-26-1
1-6	1762-27-2
1-6	1762-28-3
1-6	1920-90-7
1-6	3440-75-3
1-6	65121-94-0
1-6	65151-08-8
1-6	75-74-1
1-6	78-00-2
1-6	RR-04210-4
1-6	RR-43765-0
1-7	191234-22-7
1-7	3017-23-0
1-7	341972-31-4
1-7	74-90-8
1-7	UN1614
1-8	13998-03-3
1-8	143-33-9
1-8	25596-52-5
1-8	UN1689
1-9	110616-89-2
1-9	11111-91-4
1-9	56-38-2
1-9	8057-70-3
