100-56-1	Adopted 1992
100-57-2	Adopted 1992
102-98-7	Adopted 1992
10265-92-6	Adopted 1997
103-27-5	Adopted 1992
104-60-9	Adopted 1992
106-93-4	Adopted 1992
107-06-2	Adopted 2001
108-07-6	Adopted 1992
11096-82-5	Adopted 1993
11097-69-1	Adopted 1993
11100-14-4	Adopted 1993
11104-28-2	Adopted 1993
11141-16-5	Adopted 1993
115-29-7	Adopted 2011
116-06-3	Adopted 2011
1163-19-5	Adopted 2022
118-74-1	Adopted 1997
1184-57-2	Adopted 1992
1191-80-6	Adopted 1992
12001-28-4	Adopted 1993
12172-73-5	Adopted 2004
122-64-5	Adopted 1992
126-72-7	Adopted 1993
12672-29-6	Adopted 1993
12674-11-2	Adopted 1993
12767-79-2	Adopted 1993
13029-08-8	Adopted 1993
13071-79-9	Adopted 2023
13171-21-6	Adopted 1997
13302-00-6	Adopted 1992
1336-36-3	Adopted 1993
1336-96-5	Adopted 1992
134237-50-6	Adopted 2019
134237-51-7	Adopted 2019
134237-52-8	Adopted 2019
13654-09-6	Adopted 1993
137-26-8	Adopted 2004
14024-55-6	Adopted 1992
1461-22-9	Adopted 2008
147601-87-4	Adopted 1993
151820-27-8	Adopted 1993
1563-66-2	Adopted 2004
1563-66-2	Adopted 2017
15862-07-4	Adopted 1993
15968-05-5	Adopted 1993
15972-60-8	Adopted 2011
1600-27-7	Adopted 1992
165245-51-2	Adopted 1993
16605-91-7	Adopted 1993
16606-02-3	Adopted 1993
16751-55-6	Adopted 1992
1691-99-2	Adopted 2013
17068-78-9	Adopted 2004
17140-73-7	Adopted 1992
1763-23-1	Adopted 2013
17804-35-2	Adopted 2004
18259-05-7	Adopted 1993
1983-10-4	Adopted 2008
2050-67-1	Adopted 1993
2050-68-2	Adopted 1993
2051-24-3	Adopted 1993
2051-60-7	Adopted 1993
2051-61-8	Adopted 1993
2051-62-9	Adopted 1993
2052-07-5	Adopted 1993
2113-57-7	Adopted 1993
2136-99-4	Adopted 1993
2155-70-6	Adopted 2008
21908-53-2	Adopted 1992
2279-64-3	Adopted 1992
22894-47-9	Adopted 1992
2312-76-7	Adopted 2004
23319-66-6	Adopted 1992
23783-98-4	Adopted 1997
2395-00-8	Adopted 2022
24124-25-2	Adopted 2008
2425-06-1	Adopted 1997
2437-79-8	Adopted 1993
24448-09-7	Adopted 2013
251099-16-8	Adopted 2013
25323-68-6	Adopted 1993
25429-29-2	Adopted 1993
25512-42-9	Adopted 1993
25569-80-6	Adopted 1993
25637-99-4	Adopted 2019
2597-95-7	Adopted 1992
2597-97-9	Adopted 1992
26114-17-0	Adopted 1992
26601-64-9	Adopted 1993
26914-33-0	Adopted 1993
27323-18-8	Adopted 1993
27858-07-7	Adopted 1993
2795-39-3	Adopted 2013
28086-13-7	Adopted 1992
28655-71-2	Adopted 1993
29081-56-9	Adopted 2013
29457-72-5	Adopted 2013
297-99-4	Adopted 1997
2974-90-5	Adopted 1993
2974-92-7	Adopted 1993
298-00-0	Adopted 1997
298-02-2	Adopted 2019
2980-64-5	Adopted 2004
307-35-7	Adopted 2013
309-00-2	Adopted 1991
3108-24-5	Adopted 2022
31506-32-8	Adopted 2013
31508-00-6	Adopted 1993
31632-68-5	Adopted 1992
3194-55-6	Adopted 2019
32407-99-1	Adopted 1992
32534-81-9	Adopted 2013
32536-52-0	Adopted 2013
32598-10-0	Adopted 1993
32598-11-1	Adopted 1993
32598-12-2	Adopted 1993
32598-13-3	Adopted 1993
32598-14-4	Adopted 1993
32690-93-0	Adopted 1993
32774-16-6	Adopted 1993
33025-41-1	Adopted 1993
33091-17-7	Adopted 1993
33146-45-1	Adopted 1993
33284-50-3	Adopted 1993
33284-52-5	Adopted 1993
33284-53-6	Adopted 1993
33284-54-7	Adopted 1993
335-66-0	Adopted 2022
335-67-1	Adopted 2022
335-93-3	Adopted 2022
335-95-5	Adopted 2022
33979-03-2	Adopted 1993
34883-39-1	Adopted 1993
34883-41-5	Adopted 1993
34883-43-7	Adopted 1993
35065-27-1	Adopted 1993
35065-28-2	Adopted 1993
35065-29-3	Adopted 1993
35065-30-6	Adopted 1993
35693-92-6	Adopted 1993
35693-99-3	Adopted 1993
35694-04-3	Adopted 1993
35694-06-5	Adopted 1993
35694-08-7	Adopted 1993
3626-13-9	Adopted 1992
36355-01-8	Adopted 1993
36483-60-0	Adopted 2013
36559-22-5	Adopted 1993
37234-40-5	Adopted 1993
37324-23-5	Adopted 1993
376-27-2	Adopted 2022
37680-65-2	Adopted 1993
37680-66-3	Adopted 1993
37680-68-5	Adopted 1993
37680-69-6	Adopted 1993
37680-73-2	Adopted 1993
3825-26-1	Adopted 2022
38379-99-6	Adopted 1993
38380-01-7	Adopted 1993
38380-02-8	Adopted 1993
38380-03-9	Adopted 1993
38380-04-0	Adopted 1993
38380-05-1	Adopted 1993
38380-07-3	Adopted 1993
38380-08-4	Adopted 1993
38411-22-2	Adopted 1993
38411-25-5	Adopted 1993
38444-73-4	Adopted 1993
38444-76-7	Adopted 1993
38444-77-8	Adopted 1993
38444-78-9	Adopted 1993
38444-81-4	Adopted 1993
38444-84-7	Adopted 1993
38444-85-8	Adopted 1993
38444-86-9	Adopted 1993
38444-87-0	Adopted 1993
38444-88-1	Adopted 1993
38444-90-5	Adopted 1993
38444-93-8	Adopted 1993
39485-83-1	Adopted 1993
39635-31-9	Adopted 1993
39635-32-0	Adopted 1993
39635-33-1	Adopted 1993
39635-34-2	Adopted 1993
40088-45-7	Adopted 1993
40088-47-9	Adopted 2013
40186-70-7	Adopted 1993
40186-71-8	Adopted 1993
40186-72-9	Adopted 1993
41411-61-4	Adopted 1993
41411-62-5	Adopted 1993
41411-63-6	Adopted 1993
41411-64-7	Adopted 1993
41464-39-5	Adopted 1993
41464-40-8	Adopted 1993
41464-41-9	Adopted 1993
41464-42-0	Adopted 1993
41464-43-1	Adopted 1993
41464-46-4	Adopted 1993
41464-47-5	Adopted 1993
41464-48-6	Adopted 1993
41464-49-7	Adopted 1993
41464-51-1	Adopted 1993
4151-50-2	Adopted 2013
42740-50-1	Adopted 1993
4342-36-3	Adopted 2008
45285-51-6	Adopted 2022
4665-55-8	Adopted 1992
485-31-4	Adopted 1999
50-29-3	Adopted 1991
502-39-6	Adopted 1992
510-15-6	Adopted 1997
51908-16-8	Adopted 1993
52-68-6	Adopted 2017
52663-58-8	Adopted 1993
52663-59-9	Adopted 1993
52663-60-2	Adopted 1993
52663-61-3	Adopted 1993
52663-62-4	Adopted 1993
52663-63-5	Adopted 1993
52663-64-6	Adopted 1993
52663-65-7	Adopted 1993
52663-66-8	Adopted 1993
52663-67-9	Adopted 1993
52663-68-0	Adopted 1993
52663-69-1	Adopted 1993
52663-70-4	Adopted 1993
52663-71-5	Adopted 1993
