100-56-1	Phenylmercury chloride
100-57-2	Phenylmercuric hydroxide
102-98-7	Phenylmercuric borate
10265-92-6	Methamidophos
103-27-5	Mercury, phenyl(propanoato-O)-
104-60-9	Mercury, (9-octadecenoato-O)phenyl-, (Z)-
106-93-4	1,2-Dibromoethane
107-06-2	Ethylene dichloride
108-07-6	(Acetato-O)methylmercury
11096-82-5	Aroclor 1260
11097-69-1	Chlorodiphenyl (54% chlorine)
11100-14-4	Aroclor 1268
11104-28-2	Aroclor 1221
11141-16-5	Aroclor 1232
115-29-7	Endosulfan
116-06-3	Aldicarb
1163-19-5	Decabromodiphenyl ether
118-74-1	Hexachlorobenzene
1184-57-2	Methylmercury hydroxide
1191-80-6	Mercury oleate
12001-28-4	Crocidolite
12172-73-5	Amosite
122-64-5	Lactatophenylmercury
126-72-7	Tris(2,3-dibromopropyl) phosphate
12672-29-6	Aroclor 1248
12674-11-2	Aroclor 1016
12767-79-2	Aroclor
13029-08-8	PCB 4
13071-79-9	S-tert-Butylthiomethyl O,O-diethylphosphorodithioate
13171-21-6	Phosphamidon
13302-00-6	Mercury, (2-ethylhexanoato-O)phenyl-
1336-36-3	Polychlorinated biphenyls
1336-96-5	Naphthenic acids, mercury salts
134237-50-6	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2R,5S,6R,9R,10S)-rel-
134237-51-7	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2S,5R,6R,9R,10S)-rel-
134237-52-8	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2R,5R,6S,9S,10R)-rel-
13654-09-6	Decabromobiphenyl
137-26-8	Thiram
14024-55-6	Mercury pentanedione
1461-22-9	Tributyltin chloride
147601-87-4	Aroclor 1210
151820-27-8	Aroclor 1216
1563-66-2	Carbofuran
15862-07-4	2,4,5-Trichlorobiphenyl
15968-05-5	1,1'-Biphenyl, 2,2',6,6'-tetrachloro-
15972-60-8	Alachlor
1600-27-7	Mercuric acetate
165245-51-2	Aroclor 1250
16605-91-7	2,3-Dichlorobiphenyl
16606-02-3	2,4',5-Trichlorobiphenyl
16751-55-6	Phenylmercuric thiocyanate
1691-99-2	1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-
17068-78-9	Anthophyllite
17140-73-7	Hydroxymercuri-o-nitrophenol
1763-23-1	Perfluorooctanesulphonic acid
17804-35-2	Benomyl
18259-05-7	2,3,4,5,6-Pentachlorobiphenyl
1983-10-4	Stannane, tributylfluoro-
2050-67-1	3,3'-Dichlorobiphenyl
2050-68-2	4,4'-Dichlorobiphenyl
2051-24-3	Decachloro-1,1'-biphenyl
2051-60-7	2-Chlorobiphenyl
2051-61-8	3-Chlorobiphenyl
2051-62-9	4-Chlorobiphenyl
2052-07-5	1,1'-Biphenyl, 2-bromo-
2113-57-7	1,1'-Biphenyl, 3-bromo-
2136-99-4	2,2',3,3',5,5',6,6'-Octachlorobiphenyl
2155-70-6	Tributyltin methacrylate
21908-53-2	Mercuric oxide
2279-64-3	(Phenylmercurio)urea
22894-47-9	Phenylmercuric formamide
2312-76-7	Sodium salt of DNOC
23319-66-6	Phenylmercuric triethanolammonium lactate
23783-98-4	Phosphamidon ((Z)-isomer)
2395-00-8	Potassium perfluorooctanoate
24124-25-2	Tributyltin linoleate
2425-06-1	Captafol
2437-79-8	2,2',4,4'-Tetrachlorobiphenyl
24448-09-7	1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-
251099-16-8	Didecyldimethylammonium perfluorooctanesulfonate
25323-68-6	Trichlorobiphenyl
25429-29-2	Pentachlorodiphenyl
25512-42-9	Dichlorobiphenyl
25569-80-6	2,3'-Dichlorobiphenyl
25637-99-4	Hexabromocyclododecane
2597-95-7	Methylmercury 2,3-dihydroxypropyl mercaptide
2597-97-9	(Cyano-C)methyl mercury
26114-17-0	Phenylmercuric-8-quinolinate
26601-64-9	Hexachlorobiphenyl
26914-33-0	Tetrachlorobiphenyl
27323-18-8	Chlorobiphenyl
27858-07-7	Octabromobiphenyl
2795-39-3	Potassium perfluorooctanesulfonate
28086-13-7	Phenylmercury salicylate
28655-71-2	Heptachloro-1,1'-biphenyl
29081-56-9	Ammonium perfluorooctanesulfonate
29457-72-5	Lithium perfluorooctanesulfonate
297-99-4	Phosphoric acid, 2-chloro-3-(diethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester, (E)-
2974-90-5	3,4'-Dichlorobiphenyl
2974-92-7	3,4-Dichlorobiphenyl
298-00-0	Methyl parathion
298-02-2	Phorate
2980-64-5	Ammonium salt of DNOC
307-35-7	1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-
309-00-2	Aldrin
3108-24-5	Octanoic acid, pentadecafluoro-, ethyl ester
31506-32-8	N-Methyl perfluorooctanesulfonamide
31508-00-6	2,3',4,4',5-Pentachlorobiphenyl
31632-68-5	[Naphthoato(1-)-O]phenylmercury
3194-55-6	1,2,5,6,9,10-Hexabromocyclododecane
32407-99-1	Phenylmercury dimethyldithiocarbamate
32534-81-9	Pentabromodiphenyl ether
32536-52-0	Octabromodiphenyl ether
32598-10-0	2,3',4,4'-Tetrachlorobiphenyl
32598-11-1	2,3',4',5-Tetrachlorobiphenyl
