108427-53-8	1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ion(1-)
115-32-2	Dicofol
1163-19-5	Decabromodiphenyl ether
118-74-1	Hexachlorobenzene
131-52-2	Sodium pentachlorophenate
1336-36-3	Polychlorinated biphenyls
134237-50-6	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2R,5S,6R,9R,10S)-rel-
134237-51-7	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2S,5R,6R,9R,10S)-rel-
134237-52-8	Cyclododecane, 1,2,5,6,9,10-hexabromo-, (1R,2R,5R,6S,9S,10R)-rel-
13560-89-9	Dechlorane plus
136677-09-3	Polychlorinated dibenzo-p-dioxins
136677-10-6	Polychlorinated dibenzofurans
143-50-0	Kepone
1763-23-1	Perfluorooctanesulfonic acid
1825-21-4	Pentachloroanisole
207122-15-4	1,3,5-Tribromo-2-(2,4,5-tribromophenoxy)benzene
207122-16-5	1,2,3,5-Tetrabromo-4-(2,4,5-tribromophenoxy)benzene
2385-85-5	Mirex
25637-99-4	Hexabromocyclododecane
25973-55-1	UV-328
27735-64-4	Phenol, pentachloro-, sodium salt, monohydrate
307-35-7	1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-
309-00-2	Aldrin
319-84-6	.alpha.-Hexachlorocyclohexane
319-85-7	.beta.-BHC
3194-55-6	1,2,5,6,9,10-Hexabromocyclododecane
32534-81-9	Pentabromodiphenyl ether
33213-65-9	.beta.-Endosulfan
335-67-1	Pentadecafluorooctanoic acid
355-46-4	1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-
36355-01-8	Hexabromobiphenyl
36483-60-0	Hexabromodiphenyl ether
3772-94-9	Pentachlorophenyl laurate
40088-47-9	Tetrabromodiphenyl ether
423-50-7	1-Hexanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-
446255-22-7	1,2,3,5-Tetrabromo-4-(2,3,5-tribromophenoxy)benzene
50-29-3	DDT
5436-43-1	2,2',4,4'-Tetrabromodiphenyl ether
57-74-9	Chlordane
58-89-9	Lindane
60-57-1	Dieldrin
60348-60-9	2,2',4,4',5-Pentabromodiphenyl ether
608-93-5	Pentachlorobenzene
67584-53-6	Glycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium salt
68259-08-5	1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt
68631-49-2	2,2',4,4',5,5'-Hexabromodiphenyl ether
68928-80-3	Heptabromodiphenyl ether
70776-03-3	Polychlorinated naphthalenes
72-20-8	Endrin
72-43-5	Methoxychlor
76-44-8	Heptachlor
8001-35-2	Toxaphene
85535-84-8	Short chain chlorinated paraffins
85535-85-9	Alkanes, C14-17, chloro
87-68-3	Hexachlorobutadiene
87-86-5	Pentachlorophenol
959-98-8	.alpha.-Endosulfan
RR-01965-8	Pentachlorophenol salts
RR-04537-4	Medium-chain chlorinated paraffins
RR-04606-0	Pentachlorophenol esters
RR-158210-1	Long-chain perfluorocarboxylic acids
RR-162331-0	PFHxS related compounds
RR-168220-8	PFHxS salts
RR-171177-9	PFOA-related compounds
RR-211923-5	Long-chain perfluorocarboxylic acids related compounds
RR-211924-6	Long-chain perfluorocarboxylic acids salts
RR-48424-2	Perfluorooctanesulfonic acid salts
RR-64340-3	Pentadecafluorooctanoic acid salts
